rid,CPC020_A375_6H:BRD-K21520694-001-17-2:10,CPC020_A549_6H:BRD-K21520694-001-17-2:10,CPC020_HA1E_6H:BRD-K21520694-001-17-2:10,CPC020_HCC515_6H:BRD-K21520694-001-17-2:10,CPC020_HT29_6H:BRD-K21520694-001-17-2:10,CPD001_MCF7_6H:BRD-K21520694-323-08-9:10,CPC020_MCF7_6H:BRD-K21520694-001-17-2:10,CPD001_MCF7_24H:BRD-K21520694-323-08-9:10,CPC020_MCF7_24H:BRD-K21520694-001-17-2:10,CPC020_PC3_6H:BRD-K21520694-001-17-2:10,CPD001_PC3_24H:BRD-K21520694-323-08-9:10,CPC020_PC3_24H:BRD-K21520694-001-17-2:10,CPC020_VCAP_6H:BRD-K21520694-001-17-2:10,CPC020_VCAP_24H:BRD-K21520694-001-17-2:10
5720,1.0634367466,-0.18237131834,-0.0805656015873,-0.00953578948975,1.4730437994,1.12643373013,-0.0879749879241,-0.265694916248,-0.911043822765,0.922086119652,-0.0382068902254,1.52787268162,0.555690526962,0.25992333889
466,0.383436709642,-0.390060395002,1.24833083153,0.518306136131,1.11276435852,0.819047808647,-0.538187503815,0.380358338356,1.32024526596,1.23370528221,0.0651571154594,-0.626425683498,1.08633756638,0.31483605504
6009,1.45726847649,-0.417181223631,0.852339982986,0.0510337799788,1.47771894932,1.21145236492,0.215587511659,-0.598915278912,0.118982538581,0.355807095766,0.370728671551,0.549796164036,0.495859026909,0.260214149952
2309,-0.852804481983,-0.139026120305,-2.99035763741,-0.133696436882,0.255537986755,-0.420714646578,-0.294537514448,-0.332933336496,0.431589692831,-0.442803353071,-0.757521629333,0.883437395096,-0.532743752003,-0.0610650777817
387,1.31297540665,-0.706060945988,1.36522054672,0.626832306385,1.67144775391,0.996141850948,-0.0318874977529,-0.115194529295,0.757526516914,-0.607148945332,0.0104471743107,0.964668393135,0.458211541176,0.168667405844
3553,-0.0735614895821,0.385861873627,0.268065869808,0.504416167736,-0.681585729122,-0.77352231741,0.358112573624,-0.478494167328,0.93485891819,0.00742105580866,0.0167065560818,-0.0254220366478,-0.584345042706,-0.764264762402
427,1.18778657913,0.255063861609,1.32608389854,1.63004410267,0.242855727673,0.44118732214,0.225650057197,-0.20528113842,2.18639373779,1.11258625984,-0.16902692616,-0.186666324735,1.44107604027,-0.390020728111
5898,0.124247960746,-0.641328632832,1.0421628952,0.00714641809464,-0.288082718849,-0.25515460968,0.113500021398,0.292390704155,0.236514776945,1.23964250088,1.11178040504,-1.36047184467,-0.0339117795229,0.25834813714
23365,0.318549901247,-1.63763165474,0.813022434711,0.489237934351,-0.0364472605288,-0.134194135666,-0.733462631702,0.828829526901,-0.59174567461,-1.12313890457,0.17339065671,-0.258515864611,0.178646743298,-0.532575130463
6657,-0.321560651064,1.2815104723,0.814142525196,0.454358816147,-0.968630433083,-0.350135982037,0.248112529516,-0.361178934574,0.974533557892,0.472654819489,0.257227241993,-0.350518018007,0.355486422777,-0.518108963966
5054,-0.476400017738,-1.26200056076,0.157659783959,0.42822059989,-1.27999126911,-0.64102524519,0.326425045729,-0.0679091662169,2.64764499664,-0.0249083340168,0.191252589226,-1.13395261765,-0.0835875719786,-0.386013090611
3108,0.648264765739,-0.641130149364,-0.158229872584,1.12378644943,1.11264979839,4.59457206726,-0.56387501955,-0.580014884472,0.583481371403,0.322749614716,-1.26859807968,0.0293117985129,-0.146536827087,-0.0780166909099
