rid,CPC008_A375_6H:BRD-K64409586-001-04-5:10,CPC008_A549_6H:BRD-K64409586-001-04-5:10,CPC008_HCC515_6H:BRD-K64409586-001-04-5:10,CPC008_HEPG2_6H:BRD-K64409586-001-04-5:10,CPC008_HT29_6H:BRD-K64409586-001-04-5:10,CPC008_MCF7_6H:BRD-K64409586-001-04-5:10,CPC008_MCF7_24H:BRD-K64409586-001-04-5:10,CPC008_PC3_6H:BRD-K64409586-001-04-5:10,CPC008_PC3_24H:BRD-K64409586-001-04-5:10,CPC008_VCAP_6H:BRD-K64409586-001-04-5:10,CPC008_VCAP_24H:BRD-K64409586-001-04-5:10
5720,0.756088852882,-0.184505090117,-0.124917656183,0.113864190876,-0.372762024403,-1.54240810871,-1.41234993935,-1.03518748283,-1.02075183392,0.067778326571,-0.801965177059
466,0.0686781853437,0.545834422112,-0.377374410629,0.0587146282196,0.0481956154108,-0.332072526217,-4.34870004654,-1.816624403,-0.601691365242,-0.351879835129,-0.126887753606
6009,-0.567317008972,-0.811306715012,-0.427213281393,-0.262296319008,0.467853009701,-0.863678574562,1.52044999599,-0.961700558662,-0.638545751572,1.34216308594,0.111877389252
2309,-0.253931999207,0.548758745193,-0.746252059937,-0.282564938068,0.0251464918256,1.03407788277,-1.76110005379,-0.00522565841675,0.364090532064,-1.04248809814,-0.453697413206
387,-0.27866384387,-0.456544458866,-0.0737211927772,-0.663046002388,0.859624028206,-0.0334765091538,-1.29219996929,-0.498596638441,-1.26180231571,1.00200748444,0.857388854027
3553,-0.895298361778,-0.962835431099,0.547600030899,-0.693442106247,0.466025471687,0.878379821777,1.54299998283,1.48084330559,0.0931760147214,0.199801921844,-0.131872296333
427,-0.0418689996004,-3.41925120354,-0.875738501549,-0.365282148123,0.698999464512,0.453807651997,-0.3016500175,-1.14044225216,-0.437182068825,1.29649114609,0.514836013317
5898,-0.611890256405,-1.00681579113,0.308919608593,0.63860052824,-0.492585271597,-0.401873260736,-2.58474993706,-1.13962888718,0.269350469112,-1.46047413349,0.0418957620859
23365,0.570937871933,-0.114719666541,0.727715492249,-0.256464272738,0.346823960543,0.557276368141,0.725999951363,-0.235180109739,-0.413389205933,-0.41138702631,0.641660273075
6657,-1.46012830734,-0.369713395834,1.69613695145,0.270036488771,0.437852531672,0.83469504118,2.95985007286,1.18479716778,1.30681705475,0.408436596394,0.0235033035278
