rid,CPC020_A375_6H:BRD-A25576662-001-01-4:10,CPC020_A549_6H:BRD-A25576662-001-01-4:10,CPC020_HA1E_6H:BRD-A25576662-001-01-4:10,CPC020_HCC515_6H:BRD-A25576662-001-01-4:10,CPC020_HT29_6H:BRD-A25576662-001-01-4:10,CPC020_MCF7_6H:BRD-A25576662-001-01-4:10,CPC020_MCF7_24H:BRD-A25576662-001-01-4:10,CPD002_MCF7_24H:BRD-K34411947-001-07-5:10,CPC020_PC3_6H:BRD-A25576662-001-01-4:10,CPC020_PC3_24H:BRD-A25576662-001-01-4:10,CPC020_VCAP_6H:BRD-A25576662-001-01-4:10,CPC020_VCAP_24H:BRD-A25576662-001-01-4:10,CRCGN001_HA1E_6H:BRD-A12832192-001-02-3:19.9,CRCGN001_HA1E_24H:BRD-A12832192-001-02-3:19.9,CPD002_MCF7_6H:BRD-K34411947-001-07-5:10,CPD002_PC3_6H:BRD-K34411947-001-07-5:10,CPD002_PC3_24H:BRD-K34411947-001-07-5:10,CRCGN004_HA1E_24H:BRD-A12832192-001-02-3:19.9UM
5720,-1.26079595089,-0.240049988031,0.0856999903917,0.416949987411,-0.0462088957429,-0.616738677025,0.630917608738,-0.122733324766,-0.311626017094,-0.0620849132538,0.656672000885,0.527628779411,-0.749811768532,-0.473394811153,-0.598590314388,-1.17698013783,-1.48815000057,-0.153783723712
466,-1.13582766056,-0.0879000127316,-0.415166705847,-0.273849993944,-1.101821661,-0.432304233313,-0.149397626519,-0.11456656456,0.281447201967,0.319463551044,-0.90267854929,0.0991506427526,-0.266623258591,-0.363710522652,-1.60107684135,0.109766840935,-0.645150005817,-1.25974881649
6009,0.111544921994,-0.479449987411,0.00463332235813,0.55655002594,0.102151401341,-0.308918237686,0.306485116482,0.517966747284,-0.631094574928,0.286000847816,-0.616082370281,-0.0359535515308,-0.801806986332,-0.566225707531,0.856563508511,-0.550872564316,-1.70329999924,-1.81153261662
2309,-0.522492229939,-0.015299975872,-0.437900006771,-0.982249975204,0.187077790499,0.542645096779,-0.0919096022844,0.895233392715,-0.2039526999,-0.418072491884,-0.153191879392,-0.365581512451,-0.102883800864,-0.880275249481,0.0338083356619,1.88726723194,2.40649986267,-0.0741439014673
387,1.00690603256,0.231899991632,0.220733374357,1.37734997272,1.36422288418,0.164220809937,-0.500551819801,1.18283343315,-0.376197457314,-0.142504006624,-0.911999702454,0.257775992155,-0.383084744215,-0.989043235779,0.1381842345,-1.30604052544,1.89364993572,-0.0991856604815
3553,1.94421422482,-0.225050002337,0.477766692638,-0.0148499980569,-0.830612242222,-0.675986349583,-0.499708265066,-0.504499971867,-0.375074058771,0.167153432965,0.406835615635,-0.476547956467,0.594307363033,0.93175303936,-0.0961959660053,-0.555134177208,1.0040999651,0.209787651896
427,-0.166720896959,-1.1765999794,0.0880000367761,-0.130849987268,-0.43489420414,0.471308767796,-0.432333707809,0.00556668639183,-0.37129470706,0.646351575851,-0.271111249924,-0.215256109834,1.29586946964,0.317059874535,-0.302198022604,-0.0189398229122,2.19505000114,-0.965471982956
5898,-2.17625188828,0.857849955559,-0.267899990082,-0.842000007629,0.479925513268,-0.26489418745,-0.171666070819,-2.62603330612,0.406648486853,0.522263169289,-0.542434155941,-0.302462399006,0.85330247879,1.11960375309,-0.517078876495,-0.612872183323,-1.08445000648,-1.12262713909
23365,0.116816997528,-0.768199980259,-0.450966656208,-0.196950003505,0.551183700562,0.384110152721,-0.673847138882,0.129066646099,0.119002781808,0.576393246651,-0.491930603981,0.0853427201509,0.726593911648,0.890647411346,-0.771040916443,1.00988423824,-0.112150013447,-0.220934092999
6657,1.20733726025,0.063299998641,-0.184466674924,-0.0759999975562,-0.543671905994,-0.312987446785,-0.926445126534,0.900266766548,0.0238078478724,-0.84338259697,0.60369437933,-0.348899394274,0.378491997719,0.556239724159,1.1667881012,1.18471205235,0.77270001173,0.152516394854
