rid,DOS049_A375_24H:BRD-K50748030-001-01-0:5,DOS049_HT29_24H:BRD-K50748030-001-01-0:5,DOS049_MCF7_24H:BRD-K50748030-001-01-0:5,DOSBIO001_A375_24H:BRD-K50748030:9.84217,DOSBIO001_A549_24H:BRD-K50748030:9.84217,DOSBIO001_HT29_24H:BRD-K50748030:9.84217,DOSBIO001_MCF7_24H:BRD-K50748030:9.84217,DOSBIO001_PC3_24H:BRD-K50748030:9.84217,DOSBIO001_NEU_24H:BRD-K50748030:9.84217,DOSBIO001_NPC_24H:BRD-K50748030:9.84217
5720,0.695740818977,-3.2201499939,0.210299983621,-0.0668629407883,-0.130612835288,0.667420089245,0.690797030926,0.518788337708,0.193700015545,2.32644128799
466,-0.579018294811,-0.272650003433,-0.808699965477,0.341292381287,-0.0780943036079,0.052421733737,1.42133104801,0.87874764204,-0.781149983406,0.901935458183
6009,-0.946537137032,-0.28284996748,0.930400013924,0.544963002205,-0.512844264507,0.134643554688,0.53895765543,0.720652699471,0.4212000072,0.51385730505
2309,-0.292747795582,0.466150015593,-0.486750006676,-0.331263750792,-0.465194880962,-0.50377368927,0.443643063307,0.0345849096775,-0.730950057507,0.0290327426046
387,-1.01181435585,2.24519991875,1.16495001316,0.00960893929005,-0.298726171255,0.246332898736,0.937101781368,0.248027712107,-0.103850007057,0.473376810551
3553,0.31914627552,0.90340000391,-0.238600000739,-0.0492619872093,0.790144681931,0.47540730238,-0.552062511444,0.090350240469,0.0705999732018,-0.271169036627
427,1.38796126842,-0.477450013161,-0.421950012445,0.02837651968,0.24302765727,-0.122516959906,1.37597155571,0.83123344183,-0.0961000025272,0.476547032595
5898,-1.25800895691,-0.661499977112,0.0569500029087,-0.37259721756,0.608429670334,0.888257443905,0.929167747498,0.674696981907,0.611649990082,1.1135379076
23365,2.15302157402,1.23454999924,-0.0496500134468,-0.0718413889408,-0.730391025543,-0.642368674278,-1.16375803947,-0.522476673126,-1.32255005836,0.566457509995
6657,1.84824883938,0.827299952507,-0.529500007629,-0.93702352047,0.973472893238,0.186528325081,-0.528987705708,-0.245510712266,0.0374500155449,0.0354585647583
5054,0.266149312258,-0.179250001907,-0.0212499797344,1.36553239822,0.020301438868,0.250205695629,-0.0866357088089,-0.717043459415,0.0240000002086,0.00132840871811
3108,-0.583612859249,2.95605015755,-0.0824000239372,-0.0950631201267,0.614454567432,0.274257212877,0.425686299801,0.803772568703,0.308699965477,-0.117360807955
1950,1.93860197067,2.15345001221,-0.632600009441,0.675129413605,1.25876712799,-0.295598864555,-0.329913794994,-0.51963955164,0.906100034714,0.0075281560421
351,0.271737396717,-3.75335001945,-0.203450009227,0.335932344198,0.669012248516,1.44951725006,-1.37925851345,0.435519933701,0.260699987411,-0.322973459959
4846,4.51818227768,-1.22084999084,0.511500000954,-0.396068751812,0.0601735711098,0.150579333305,-0.182090863585,0.39391580224,-0.64050000906,-0.183625146747
1452,-0.748046040535,-1.53469991684,-2.82304978371,0.583660840988,0.0701460838318,0.263657689095,1.59790182114,-0.0342971086502,0.356499999762,0.338184207678
4776,0.860991537571,2.76410007477,-0.750749945641,0.267539858818,-0.120153665543,0.183187097311,-1.04620456696,-1.01794910431,-0.635650038719,-0.966340959072
6908,-1.40529251099,-2.00204992294,-1.96040010452,-0.135595887899,-0.24029353261,0.307442545891,1.57764315605,0.857766389847,-0.35490000248,1.01986098289
672,-0.734858453274,-0.476399987936,-0.398849993944,0.730847418308,0.104561761022,-0.00799929350615,0.219470277429,0.296004951,1.08074998856,0.598126292229
5710,-2.59678459167,-0.3329000175,-1.10089993477,0.0387923419476,-0.967976212502,-0.133759111166,-0.0950414389372,-0.189189702272,-0.118900001049,-0.128039032221
2115,-0.00677592679858,-0.261350005865,-1.22920000553,0.64081287384,1.20695567131,-0.483370512724,-0.523256182671,0.536454677582,-0.391699999571,0.144971266389
7015,1.37372481823,0.238800004125,-0.558650016785,-0.0451722294092,0.371344327927,-0.248687028885,2.34685969353,-1.0873478651,-1.10350000858,0.379862606525
