rid,CPC004_A375_6H:BRD-K60770992-066-15-1:10,CPC004_HA1E_6H:BRD-K60770992-066-15-1:10,CPC004_HA1E_24H:BRD-K60770992-066-15-1:10,CPC004_HCC515_6H:BRD-K60770992-066-15-1:10,CPC004_HCC515_24H:BRD-K60770992-066-15-1:10,CPC004_HEPG2_6H:BRD-K60770992-066-15-1:10,CPC004_HT29_6H:BRD-K60770992-066-15-1:10,CPC004_MCF7_6H:BRD-K60770992-066-15-1:10,CPC004_PC3_6H:BRD-K60770992-066-15-1:10,CPC004_PC3_24H:BRD-K60770992-066-15-1:10,CPC004_VCAP_6H:BRD-K60770992-066-15-1:10,CPC004_VCAP_24H:BRD-K60770992-066-15-1:10,CPC011_A375_6H:BRD-K60770992-066-21-9:10,CPC011_A549_6H:BRD-K60770992-066-21-9:10,CPC011_A549_24H:BRD-K60770992-066-21-9:10,CPC011_HA1E_6H:BRD-K60770992-066-21-9:10,CPC011_HT29_6H:BRD-K60770992-066-21-9:10,CPC011_MCF7_6H:BRD-K60770992-066-21-9:10,CPC011_MCF7_24H:BRD-K60770992-066-21-9:10,CPC011_PC3_6H:BRD-K60770992-066-21-9:10,CPC011_PC3_24H:BRD-K60770992-066-21-9:10,CPC011_VCAP_6H:BRD-K60770992-066-21-9:10,CPC011_VCAP_24H:BRD-K60770992-066-21-9:10,CPC015_A375_6H:BRD-K60770992-066-15-1:10,CPC015_A549_6H:BRD-K60770992-066-15-1:10,CPC015_A549_24H:BRD-K60770992-066-15-1:10,CPC015_ASC_24H:BRD-K60770992-066-15-1:10,CPC015_HEPG2_6H:BRD-K60770992-066-15-1:10,CPC015_HT29_6H:BRD-K60770992-066-15-1:10,CPC015_MCF7_6H:BRD-K60770992-066-15-1:10,CPC015_MCF7_24H:BRD-K60770992-066-15-1:10,CPC015_NPC_24H:BRD-K60770992-066-15-1:10,CPC015_PHH_24H:BRD-K60770992-066-15-1:10,CPC015_SKB_24H:BRD-K60770992-066-15-1:10,CPD001_MCF7_6H:BRD-K60770992-066-19-3:10,CPD001_MCF7_24H:BRD-K60770992-066-19-3:10,CPD001_PC3_24H:BRD-K60770992-066-19-3:10
5720,0.986945152283,0.192895263433,0.945294618607,-2.30055856705,0.384279429913,-0.0225676000118,-0.642289042473,1.27500617504,-1.51903808117,0.383535444736,0.790625572205,0.777649104595,-2.53635787964,0.160604029894,-0.0864505916834,-0.497350007296,-0.857154965401,0.373400002718,0.379299998283,0.158837780356,-0.283207118511,1.31136512756,0.756259202957,1.43460333347,0.54834997654,0.2240280509,0.154981434345,-0.433099985123,-0.298869371414,0.915310144424,-0.45126581192,1.84287714958,1.02294993401,0.999799966812,1.68480432034,-0.158608496189,0.641799986362
466,0.586076498032,-0.22485896945,0.6638225317,1.53540420532,1.25145411491,0.740238904953,0.588482320309,1.17210900784,0.750481784344,0.358930110931,0.0662918314338,0.787184238434,-1.13440024853,1.58345890045,0.742189824581,0.0261499993503,0.0989412665367,-0.0908499956131,-0.893800020218,-0.563883066177,0.654626011848,1.01201164722,1.52632951736,-0.152339607477,-0.212750002742,0.105282858014,-0.122616380453,-1.35769999027,0.028922714293,0.730540513992,-0.0403212085366,-0.0925154238939,-0.166500002146,0.904950022697,0.880736589432,0.264456272125,-0.159033343196
6009,0.221829563379,0.696080267429,0.527174711227,0.134965121746,-0.484769821167,0.0200588479638,0.0154358446598,0.230213776231,0.207174450159,0.460894942284,0.125725224614,0.382546782494,-0.881073355675,0.745491802692,-0.795048952103,-0.384549975395,-0.347613453865,0.0220500007272,-1.86575007439,0.424996644258,-0.0672929808497,1.30409741402,1.0343542099,0.15686532855,0.541049957275,0.844198822975,0.168261364102,-0.975849986076,-1.16253006458,0.521638393402,1.67747616768,-0.250246196985,-0.21020001173,-0.0250499993563,0.965796947479,0.588998675346,-0.0762000009418
2309,-0.441803365946,0.114805132151,-0.368291884661,0.747203111649,0.551461577415,1.30670022964,0.2418961972,-1.53818225861,0.832339048386,-0.430131852627,-0.291026711464,-0.161526724696,0.488671600819,0.20944070816,-0.327348053455,1.00924992561,0.574236512184,-1.03410005569,-0.431549996138,0.802737057209,0.155283167958,-0.348930209875,0.0147588253021,0.351865470409,-0.00944999605417,1.16112399101,0.840929329395,0.0515000000596,0.36366468668,-0.193706721067,-0.282621383667,-0.450207471848,0.0460500121117,1.42540001869,-0.613443493843,-0.402759194374,-0.149500012398
387,-0.0308855250478,0.535987436771,0.626060783863,1.46383738518,-0.325304567814,-0.06653816998,-0.560476481915,-0.0140088032931,0.333221912384,-0.116849005222,0.9703951478,0.282893538475,-1.51740050316,0.0880169570446,1.27886915207,0.308249980211,-0.184230655432,-0.14770001173,-0.133299991488,0.983234107494,0.0254432708025,-0.0637186914682,-0.0506856590509,-0.184499621391,0.402999997139,-2.96873283386,0.896441996098,-0.582249999046,-0.05737388134,-0.195417523384,-0.40972790122,-0.175540417433,0.406450003386,0.500800013542,0.164216428995,1.08210492134,-0.25
3553,-0.42431512475,-0.253816276789,-0.765046775341,0.722145199776,-1.24274528027,-0.0833530798554,0.245611324906,-0.371019750834,0.148036956787,-0.923252463341,-0.484642595053,-0.746116816998,0.0410224497318,-1.29131364822,-0.287966191769,-1.04670000076,-0.721637487411,-0.263000011444,2.92604994774,0.458990037441,-0.399040490389,-1.07578361034,-0.869207382202,-1.46653306484,-0.790749967098,0.653062939644,-0.229056835175,0.0900499969721,-1.20468604565,-1.44183909893,-0.023560103029,0.487810999155,-0.0228499770164,-0.5583999753,-0.0868017822504,0.921766161919,0.0192666649818
427,-0.244860380888,-0.00817334651947,0.609558582306,1.38982391357,1.22836375237,0.00225603580475,0.860177636147,0.329802632332,1.03367710114,-0.417037725449,-0.0796492546797,-0.0564573556185,-0.0515793338418,0.69801992178,-0.168824076653,-0.398350030184,-0.31923353672,-0.0161500275135,-2.32249999046,-1.47256422043,0.595978915691,0.240555167198,0.878849387169,-0.603855907917,-1.1684499979,-0.164516478777,-0.0656593739986,-0.942750096321,1.27265179157,-0.649066269398,0.0763370245695,-0.833556771278,-0.518999993801,0.358699977398,0.285586059093,0.263368189335,0.706733345985
5898,0.562231361866,0.799080550671,0.610500097275,1.57970309258,0.0652113780379,-1.69900178909,0.969523310661,0.400203496218,0.78035235405,-0.201408326626,0.505276083946,-0.196715801954,-2.24481630325,0.851433575153,0.0121863782406,-1.07385003567,-0.616586089134,-0.894349992275,-1.65814995766,-0.228708848357,0.15851020813,-0.833395600319,-1.55675590038,-0.40122616291,-0.336499989033,0.095298923552,0.160650759935,-0.669900000095,-0.786437630653,-0.413845419884,-0.351434826851,-0.447768270969,-0.308799982071,-0.676249980927,1.08584046364,-0.205569386482,0.393000006676
23365,-0.522304713726,-1.00901186466,-0.294043213129,1.49244773388,0.0543072149158,5.88455820084,0.179897636175,0.239181250334,0.984042942524,-0.411248236895,-0.565406501293,0.0373699069023,-1.76143407822,-0.0324370861053,-0.274639427662,-0.0873499810696,-0.913695037365,0.0151000022888,0.157949998975,0.0412561893463,0.600758731365,-0.97275364399,-1.08584845066,-0.741704940796,0.034500002861,1.78336215019,0.226005628705,-0.669049978256,0.902612805367,0.144375666976,-0.217494681478,0.165995642543,-0.894899964333,-0.545700013638,0.201730683446,0.525162577629,-0.0791999995708
6657,0.241141289473,-0.379186749458,-1.11358189583,0.249707639217,-1.08758187294,-0.112637668848,0.214502573013,-0.482274383307,0.581152260303,-0.59956151247,-0.187285631895,-0.67641466856,0.194942086935,-1.18460059166,-0.825039029121,0.163549989462,-1.16671609879,0.109149992466,-0.154500007629,1.11367535591,0.568774044514,-1.00472688675,-1.0040487051,-0.308035314083,-0.423849999905,0.494053840637,0.0988991856575,-0.128349989653,-0.724757015705,-0.706705391407,-0.774061560631,-0.211817651987,-0.214100003242,-0.968100011349,-0.851144433022,-0.0644341558218,-0.107800006866
