rid,DOS029_VCAP_24H:BRD-K64968742-001-01-7:5,DOS033_A375_24H:BRD-K64968742-001-01-7:5,DOS033_A549_24H:BRD-K64968742-001-01-7:5,DOS033_HT29_24H:BRD-K64968742-001-01-7:5,DOS033_MCF7_24H:BRD-K64968742-001-01-7:5,DOS033_PC3_24H:BRD-K64968742-001-01-7:5
5720,-0.729807794094,-0.367166697979,0.519691824913,-0.0839662477374,0.356266647577,-0.067124068737
466,-0.033882021904,0.0805333256721,0.254988580942,0.457929074764,-0.775400042534,0.44021910429
6009,0.248521924019,-0.626033306122,0.197679504752,-0.701397120953,-0.344099998474,0.415834754705
2309,-2.3964111805,-0.684766709805,0.61414796114,-0.119931280613,-0.117899999022,-0.538561880589
387,-0.792458176613,0.17566666007,-0.326288342476,-0.694427609444,0.167233347893,0.377373218536
3553,0.968706130981,0.433200001717,-0.760676145554,-0.442415475845,-0.366899996996,0.145817160606
427,0.527488648891,-0.373966664076,-0.711121797562,0.2521019876,-0.0286000072956,0.396046340466
5898,1.0277557373,0.134966671467,-0.899556875229,0.119724169374,-0.0270333439112,0.276400774717
23365,0.733780801296,0.488900005817,0.145865961909,0.3909471035,-0.545466661453,-1.09389650822
6657,-0.224178195,0.0324999988079,1.46148252487,-0.266150355339,0.590499997139,1.74880373478
5054,1.88739085197,0.142533361912,0.0432006269693,-0.365000486374,1.3246999979,0.710323512554
3108,0.153977647424,0.20070001483,-0.601031899452,0.227672025561,0.379633337259,0.653609097004
1950,-0.0994776412845,0.184633329511,-0.190069228411,-0.646527290344,0.0810000225902,0.9799233675
351,0.641530871391,0.0647333264351,-1.41708648205,-0.90856128931,-0.557533383369,-0.212327301502
4846,0.416617512703,0.66369998455,-1.35064589977,0.710501611233,-0.243300020695,0.031171143055
1452,-0.179201990366,0.275066673756,-0.390019237995,0.159960985184,0.251833349466,-0.784677147865
4776,0.189887225628,0.61360001564,0.00417191162705,-0.405237823725,-0.108966678381,1.26764392853
6908,0.340950042009,1.37196671963,0.00244544446468,0.47261941433,0.262800008059,0.612343728542
672,0.953610181808,-0.7228333354,0.855243086815,0.812383770943,-0.151200011373,0.986849427223
5710,-0.278181880713,-0.185900017619,-0.573780715466,-0.340051323175,0.118633329868,-2.26757240295
2115,-0.695331573486,0.377533376217,-0.267936944962,-0.115357145667,-0.0930333286524,-0.659529089928
7015,0.120085790753,-0.460033357143,-0.187270313501,-0.706152677536,1.0083334446,1.32870256901
8726,1.30417513847,0.0208333432674,-0.372539371252,1.84677326679,1.13630008698,-0.614010334015
2185,1.62722373009,0.517233371735,-0.527982056141,-0.447111308575,0.0198333412409,1.19288635254
3315,-0.153001412749,0.23710000515,0.278081178665,0.276128798723,-0.625266671181,-0.323131203651
5289,0.874822318554,1.52910017967,-0.466767430305,-0.240246891975,-0.165000006557,0.721608757973
868,1.39385223389,0.602100014687,0.32846018672,-0.39762198925,0.334133327007,0.384610325098
1677,0.85599064827,0.0890333652496,-0.0850155204535,0.0241853892803,0.251966714859,0.144704729319
7043,1.03783619404,0.474966675043,-0.247912183404,-0.255809217691,-0.117866650224,1.19895672798
5613,0.786635756493,0.265799999237,1.26254701614,0.167548298836,0.251466691494,0.913711667061
