rid,DOS025_VCAP_6H:BRD-K70852733-001-01-6:5,DOS025_VCAP_24H:BRD-K70852733-001-01-6:5,DOS047_A375_24H:BRD-K70852733-001-01-6:5,DOS047_A549_24H:BRD-K70852733-001-01-6:5,DOS047_HT29_24H:BRD-K70852733-001-01-6:5,DOS047_MCF7_24H:BRD-K70852733-001-01-6:5,DOS047_PC3_24H:BRD-K70852733-001-01-6:5
5720,1.26194405556,-0.321933329105,0.0165175646544,0.44470718503,0.180510491133,0.944228053093,0.752939462662
466,1.02359044552,-0.426600009203,0.325884252787,0.678176879883,1.35442197323,1.29286205769,1.28466057777
6009,0.367953360081,-0.0610000193119,-0.0912437736988,-0.640137314796,-0.39865398407,-0.169467136264,-0.750377714634
2309,0.934458255768,-3.31973338127,-0.851618587971,0.308476984501,0.767592787743,1.13303661346,-0.394833624363
387,0.833692491055,-1.25356674194,-1.11405515671,-0.238784492016,-2.08466768265,-0.815111100674,-0.527824521065
3553,-0.691176712513,0.119066670537,-0.368725597858,-0.355079323053,-0.270917773247,0.900275588036,-0.843777775764
427,1.41673481464,0.343400001526,0.934609651566,-0.66466742754,0.195578917861,1.30564403534,0.884492099285
5898,0.00726651027799,0.384400010109,-1.04287433624,-1.45262646675,0.503238677979,1.6024723053,0.922396659851
23365,-1.27127730846,0.424033343792,0.171896517277,0.675187945366,0.673813283443,1.91543567181,0.784527182579
6657,-0.884892106056,-0.286300003529,-1.18826854229,-0.0508717447519,0.0142895206809,0.281472980976,-0.179749310017
5054,-0.682787001133,-0.00989999622107,-0.576573431492,-0.668197393417,0.146102070808,0.874779760838,0.366808414459
3108,0.152289867401,0.000800006091595,-1.06544709206,-0.51320874691,0.4463108778,-0.815525054932,-0.746761739254
1950,-0.303548187017,-0.257566690445,0.16324275732,-4.27475500107,-0.530346274376,-0.0979488641024,-0.541403532028
351,-0.574940025806,0.252699971199,0.665909528732,0.80111604929,-0.389451950788,0.221797168255,0.242764353752
4846,0.868625223637,-0.798099994659,-0.580852389336,1.0966258049,0.606627464294,-0.70495146513,0.458371818066
1452,-0.713201284409,0.0727999955416,-0.411257892847,-0.950710296631,-0.436097472906,0.34761634469,-0.342918276787
4776,-1.32689964771,-0.215099990368,0.437030851841,-0.791925549507,-0.112887695432,0.998040139675,-0.482773721218
6908,1.62199270725,-0.335333347321,0.0904681235552,0.649626731873,-0.2434207201,1.09113967419,0.663016080856
672,0.430176317692,0.392333328724,0.163043469191,0.825263440609,1.93648195267,1.40548479557,0.21748316288
5710,0.757544994354,0.195299983025,0.575497150421,0.554174900055,0.626566827297,0.0935723185539,0.868068575859
2115,-0.681379139423,-0.853133320808,-2.30634856224,-0.613951802254,0.423973917961,-1.13910031319,-0.167589604855
7015,-1.26349568367,-0.131300002337,0.439843475819,-0.396220088005,-0.274762779474,1.88027024269,-0.398820221424
8726,1.09700667858,-0.437000006437,0.120656967163,0.319749861956,-0.496055722237,0.909769892693,1.05439925194
2185,-1.06618583202,-0.0711000263691,0.704821944237,-0.459998786449,-0.117825105786,0.84038990736,-0.664509057999
3315,-0.372642070055,-0.203999996185,-0.786393105984,0.589301466942,-0.464863032103,-2.23999071121,0.691022753716
5289,0.405913025141,-0.382933348417,1.21683001518,-0.165723592043,0.019806176424,0.236786812544,0.770774781704
868,-0.0583654046059,-0.241166681051,-1.59574484825,-0.298045456409,0.448037922382,0.733813405037,-0.968570291996
1677,-0.351482570171,0.179833337665,1.29591453075,0.225744232535,0.303042799234,3.30225801468,0.250544399023
7043,-0.479489862919,0.493966668844,-0.214924544096,0.0405662804842,-0.372659534216,0.720230042934,0.531293034554
5613,-1.13575279713,0.373399972916,-0.286323666573,-0.369423210621,-0.742024064064,0.687300741673,-0.197886437178
595,1.10620653629,-0.253833353519,-0.978480577469,0.230934172869,0.861145794392,0.436155974865,0.384748697281
4793,-0.0829128026962,-0.595899999142,-0.0768663659692,0.407147467136,-0.0368651151657,2.12035751343,0.0498358458281
2736,-0.14275585115,3.19676661491,0.352949976921,-0.239067822695,-0.036596685648,-0.576992332935,0.549648702145
5290,0.311040967703,0.434433341026,-0.0857555866241,-0.516307175159,-0.723598122597,1.37359023094,-0.912494301796
6194,0.225443080068,0.0,-0.153081730008,-0.317499727011,0.452866077423,-2.5991499424,1.51759815216
1676,-1.09762644768,0.328833341599,-0.571626901627,-1.8753619194,-0.820244431496,0.334419727325,-0.30771908164
23512,1.33967912197,0.0371333360672,0.041073679924,1.1431170702,0.826510965824,-1.38094007969,-0.529308080673
148022,0.435379087925,0.274866610765,-1.08898305893,-0.795467436314,-0.431623280048,2.25911641121,-0.392543882132
1906,-1.02099943161,0.274533331394,-0.925884366035,-1.64529848099,-0.499971568584,0.505062222481,-0.241297781467
8878,0.287464678288,-0.228300005198,0.561636805534,0.00916234403849,-0.104404076934,-0.185236126184,-0.202582299709
3091,-0.115539833903,0.25856667757,0.928666174412,0.6650146842,0.499024629593,0.145798116922,0.197693094611
5743,-0.686460018158,0.686266720295,-2.61269664764,0.785705089569,1.73023796082,0.460844933987,0.0224535986781
5321,-0.594792068005,-0.497466683388,0.348423570395,-2.46947622299,-0.816146314144,0.0685229375958,0.0666257143021
4144,0.617076992989,-0.462033331394,0.437353879213,-0.106144316494,-0.310924232006,-2.44303846359,-0.198828265071
1981,0.161464959383,-0.306133329868,-0.494313508272,-1.58088672161,-1.27708411217,-0.407190024853,-0.0819564685225
695,-0.524307370186,-0.015333339572,0.561270713806,0.674772441387,1.59210288525,0.659022986889,1.20517659187
