rid,DOS007_VCAP_24H:BRD-K46033477-001-01-4:5.1
5720,-0.316423088312
466,-0.534165859222
6009,-0.177193582058
2309,-0.101320639253
387,-0.51267850399
3553,1.35133421421
427,0.211118131876
5898,0.745059132576
23365,0.494945943356
6657,0.411692738533
5054,0.138831913471
3108,-0.0720322430134
1950,0.454545915127
351,-0.165350466967
4846,-0.18959787488
1452,-1.14259815216
4776,0.469911843538
6908,0.221035093069
672,-0.0624295771122
5710,-0.486768752337
2115,0.342720717192
7015,0.245801955462
8726,0.203694373369
2185,0.128367856145
3315,0.094316907227
5289,0.157204672694
868,1.28983485699
1677,0.153889685869
7043,0.446137785912
5613,0.669672131538
595,0.797855138779
4793,-0.390619337559
2736,-0.225647240877
5290,-0.812623023987
6194,0.113711662591
1676,0.224843859673
23512,-0.451844602823
148022,0.509470522404
1906,0.27715909481
8878,-0.603483974934
3091,0.487686425447
5743,-0.137376964092
5321,0.155593693256
4144,-1.26133394241
1981,-0.189724937081
695,0.148248910904
10398,-0.0521837174892
5708,-0.0966287255287
1213,-0.174186363816
226,0.111478380859
6777,-1.0677587986
2113,0.631594479084
3329,-0.189696535468
1050,0.943600893021
9491,0.0892159566283
22926,0.790496051311
5899,-1.03984451294
5467,-1.36651408672
6774,-0.532431542873
1788,0.0644371435046
5921,2.17784070969
5721,-0.0244579389691
2263,0.184963881969
808,0.389706283808
30001,-0.189830109477
348,-0.551740169525
30849,0.547268629074
1454,-0.28431224823
6500,-0.584386765957
5627,0.309514462948
5715,0.094660192728
4791,-0.24244555831
56924,-1.58823823929
2690,0.211654946208
1019,0.264917165041
51422,-0.882490634918
5788,0.411071866751
6709,-0.636583089828
1277,0.0974529385567
993,0.951311528683
7157,1.30738997459
1958,0.393505096436
4582,0.467347741127
9212,-0.210828900337
8440,0.0500035583973
6790,-0.204997286201
8851,0.190201535821
2534,0.0447110831738
4893,0.147463843226
665,0.02024564147
4313,0.266638934612
1022,0.458333045244
5880,0.261343717575
3162,-1.24350190163
1282,0.726296246052
3383,0.361376047134
727,-0.306055188179
4792,-0.871713876724
4794,-0.0138889849186
902,-0.310706138611
8091,0.49947053194
3486,-0.847096741199
10818,0.490536928177
3454,-0.186206638813
4282,-0.154839396477
1605,-0.917812108994
10644,0.371273845434
2065,-0.251514643431
8321,0.183148816228
8503,-0.852934241295
7027,0.64480638504
6850,0.303560465574
1978,-0.635375499725
896,0.371172517538
5777,-0.749132156372
1846,-0.360801696777
5925,0.243942707777
142,-0.18894726038
1021,0.514032363892
5699,0.25491976738
8061,0.320463240147
1870,-0.199257016182
1398,-0.55267059803
3312,-0.447345405817
891,-0.0671901330352
4775,0.865881502628
5111,-0.461664974689
5696,-0.390375435352
5588,0.190271526575
6839,0.137060135603
329,-0.556289315224
5058,0.812225341797
998,-0.716641902924
9134,0.0278081446886
6616,-0.104953080416
5223,-0.189775452018
4690,-0.204696729779
958,-0.126227036119
1616,0.445939868689
991,-0.274537205696
6347,0.197654262185
6714,1.22645449638
652,0.773687958717
4331,-0.191537559032
7099,0.484058946371
10320,-0.916297376156
2042,0.0292153805494
843,1.42363786697
840,0.242298409343
7048,-0.181838959455
4851,-0.345409810543
6464,0.861791610718
23410,-0.0695292875171
54205,-0.0135938283056
2770,0.445244342089
80204,0.558829307556
4208,-0.241615504026
1845,0.111017033458
23368,0.202906847
5583,0.343429505825
8900,-0.125568315387
581,0.498298883438
6193,-0.37244707346
6622,0.207296684384
11261,0.230757191777
6696,0.549555122852
8312,0.904336869717
835,0.156661003828
8324,-0.317862123251
1848,-0.88760471344
154,-0.0496933087707
4312,0.52886724472
994,0.031913459301
2048,0.159696191549
1111,0.159880638123
5154,-0.470092624426
2920,0.90650087595
3122,0.247187793255
2769,-0.167106002569
5900,0.264295578003
6304,-0.610894203186
5211,-0.0172995384783
2886,-0.0863159894943
9261,0.273065716028
8569,-0.0983400046825
3303,-0.168841302395
5331,0.0289337337017
5347,0.17837330699
4638,-0.328696161509
2264,0.612783968449
1029,0.628480613232
1027,-5.34518861771
2597,0.025464348495
55847,1.5233938694
25803,0.89096903801
3480,-0.265904575586
2946,-0.072509765625
9517,-0.0792210772634
25987,0.571034371853
23670,0.198724687099
11182,0.68693113327
2146,0.231793045998
3385,0.0258875787258
5261,-0.00143878161907
10765,1.33251202106
25839,-0.525298953056
4172,0.281241357327
23161,-0.0312527865171
10298,-0.118332087994
1802,-0.150124639273
58533,-0.278510153294
147179,0.535678744316
29937,-0.662358820438
6184,-0.0477289482951
9854,-0.563287377357
2553,-0.345238029957
5440,0.108395792544
