rid,CVD001_HEPG2_6H:BRD-K74548617-001-01-7:10.1038,CVD001_HEPG2_6H:BRD-K74548617-001-01-7:2.5259,CVD001_HEPG2_24H:BRD-K74548617-001-01-7:10.1038,CVD001_HEPG2_24H:BRD-K74548617-001-01-7:2.5259,CVD001_HUH7_6H:BRD-K74548617-001-01-7:10.1038,CVD001_HUH7_6H:BRD-K74548617-001-01-7:2.5259,CVD001_HUH7_24H:BRD-K74548617-001-01-7:10.1038,CVD001_HUH7_24H:BRD-K74548617-001-01-7:2.5259,CVD001_PHH_6H:BRD-K74548617-001-01-7:10.1038,CVD001_PHH_6H:BRD-K74548617-001-01-7:2.5259,CVD001_PHH_24H:BRD-K74548617-001-01-7:10.1038,CVD001_PHH_24H:BRD-K74548617-001-01-7:2.5259,DOS026_VCAP_6H:BRD-K74548617-001-01-7:5.05,DOS026_VCAP_24H:BRD-K74548617-001-01-7:5.05,DOS048_A375_24H:BRD-K74548617-001-01-7:5.05,DOS048_A549_24H:BRD-K74548617-001-01-7:5.05
5720,-3.28699016571,0.40027153492,-1.22265863419,0.0584758631885,-0.597800016403,-0.411839544773,-0.135101258755,0.330428421497,-0.71844804287,-0.239186018705,-0.508013188839,-0.089918538928,0.751842856407,0.318233251572,0.985350012779,-0.733501434326
466,0.93471455574,0.474896878004,0.832771062851,0.890456199646,1.18514990807,-0.018906712532,0.487294226885,0.00188925117254,0.444760382175,-0.401734232903,0.121884211898,0.08968308568,0.25153273344,0.754341244698,1.34179997444,-0.710581183434
6009,0.661625266075,-0.029228001833,0.444332003593,-0.493851542473,0.504249989986,-0.126283839345,0.741405367851,-0.10022226721,-0.108970671892,0.978326320648,-0.15056887269,-0.803542971611,2.14569544792,0.334912836552,0.95634996891,-0.709280967712
2309,1.38846564293,0.112664207816,0.765172064304,-0.576480984688,-1.25244998932,-0.475666701794,-0.0942802131176,-0.247585102916,0.417373478413,0.34068185091,-1.23158478737,-1.28092741966,0.986376643181,0.387703537941,0.370299994946,0.444101542234
387,1.67495822906,0.442990899086,0.11656716466,0.532824873924,-0.287100017071,-0.276193708181,0.061100050807,-0.436147779226,0.294558107853,-0.664624214172,-0.0924648493528,-0.832467138767,0.502315878868,0.319919347763,-0.225100010633,-0.846994400024
3553,0.584756970406,0.657562077045,-0.0189486443996,0.198115676641,0.421249985695,-0.408175647259,0.182476401329,-0.221773415804,-0.973752915859,0.729716181755,0.55243575573,0.596817851067,-0.867501020432,-1.48994088173,-0.193349987268,0.841665387154
427,0.102676615119,0.369966953993,0.372304260731,1.13214588165,1.78775000572,1.07320308685,1.36097538471,0.405252575874,-0.119671314955,0.557108044624,-0.0648969709873,0.630410671234,-0.256249666214,0.35925090313,-0.683200001717,0.33430981636
5898,1.27773928642,0.0891046598554,1.55741000175,0.538001656532,1.62240004539,0.0613296329975,0.0314063429832,-1.02422237396,0.605644404888,0.159785941243,-0.695644378662,0.72012668848,-0.664889276028,-0.432279467583,-1.10804998875,0.666143596172
23365,0.737853884697,-0.545937657356,-0.0279482007027,0.373977482319,-0.483499974012,0.566190958023,0.609555602074,0.0221134349704,0.815397262573,1.39436125755,-0.660074830055,-0.0967731028795,-0.613549351692,0.549883842468,-0.334899991751,-0.0594017952681
6657,0.52451723814,1.66886711121,0.187909215689,0.3426245749,-0.538150012493,-0.959660947323,0.0392976254225,0.682375431061,-1.25254678726,-0.212942138314,-0.879814445972,0.63121932745,-1.67277574539,-0.575914204121,-0.966650009155,0.271811068058
