rid,CPC020_A375_6H:BRD-A13188892-001-02-2:10,CPC020_A549_6H:BRD-A13188892-001-02-2:10,CPC020_HA1E_6H:BRD-A13188892-001-02-2:10,CPC020_HCC515_6H:BRD-A13188892-001-02-2:10,CPC020_HT29_6H:BRD-A13188892-001-02-2:10,CPC020_MCF7_6H:BRD-A13188892-001-02-2:10,CPC020_MCF7_24H:BRD-A13188892-001-02-2:10,CPC020_PC3_6H:BRD-A13188892-001-02-2:10,CPC020_PC3_24H:BRD-A13188892-001-02-2:10,CPC020_VCAP_6H:BRD-A13188892-001-02-2:10,CPC020_VCAP_24H:BRD-A13188892-001-02-2:10,CPD003_MCF7_6H:BRD-A13188892-066-16-5:10,CPD003_MCF7_24H:BRD-A13188892-066-16-5:10,CPD003_PC3_6H:BRD-A13188892-066-16-5:10,CPD003_PC3_24H:BRD-A13188892-066-16-5:10
5720,0.566289842129,0.0936000049114,0.413436025381,0.222549974918,-0.771287024021,0.643418312073,-0.948006272316,0.214660003781,0.284269243479,-0.122713074088,-0.15491682291,0.0172500014305,0.238538399339,-0.21590846777,-0.0807500034571
466,0.521044611931,0.446949988604,0.200580999255,0.219449996948,-0.505914747715,0.73845988512,0.535271525383,0.381159991026,-0.575477302074,0.587785840034,-0.197915315628,0.252249985933,0.367091208696,0.0824800059199,0.888750016689
6009,0.708763182163,-1.32139992714,-0.357101172209,0.212650001049,-0.642075657845,-0.559688091278,0.0025744214654,-0.422360002995,-0.254677861929,0.129641592503,-0.122373186052,0.586400032043,0.924148321152,-0.527842283249,-1.12664997578
2309,0.867421448231,2.72440004349,0.356945663691,0.775600016117,-0.287642121315,-0.275472760201,-0.0239547789097,-0.0928600206971,3.99559926987,-0.737022995949,-1.26330339909,0.618399977684,-0.101884827018,0.949744403362,-0.615700006485
387,0.0507607832551,-0.412800014019,-0.296935945749,-1.08399999142,-1.55005836487,-1.02152466774,-0.308601140976,-0.411959975958,2.90426301956,-0.872133135796,-0.624100089073,0.83210003376,-1.10681092739,-0.324216991663,-1.09100008011
3553,-0.5040320158,0.210649996996,-0.898638546467,0.692050039768,0.678139448166,-0.570465922356,2.73915266991,-0.316540002823,0.369724214077,-0.721976339817,0.77829927206,0.648549973965,0.860235214233,-0.923292994499,0.107600003481
427,-0.561250925064,0.121249996126,0.378875315189,0.852850019932,0.66937828064,0.461444199085,0.87412083149,0.241060018539,0.285552710295,0.446331202984,0.353670716286,0.373350024223,-0.73124063015,-0.869643032551,2.3531999588
5898,0.0963536426425,-2.64809989929,1.23062479496,-0.140499994159,-1.01639640331,-0.360600054264,0.978987395763,0.376460015774,-0.922333419323,-0.881490707397,-0.0489870458841,-1.59089994431,0.0343548357487,-0.82298207283,-2.50404977798
23365,0.0851526558399,-0.00404998660088,0.530048489571,-1.11244988441,-0.247724607587,-0.732979297638,1.0307943821,0.145100027323,-0.110248029232,-0.443465530872,-0.0381901077926,0.2662999928,-1.15124249458,-0.754219949245,-0.564100027084
6657,-0.577173471451,0.846150040627,-0.982712864876,0.179899990559,0.710738062859,1.8065649271,1.43759453297,-0.0151600083336,1.46029698849,0.219577521086,0.483931601048,0.176200002432,-0.161378487945,0.163869529963,0.0689499974251
5054,0.00319021008909,-4.69324970245,0.0777789503336,-0.142199993134,0.872848987579,-0.578089416027,0.803452134132,0.0042399764061,0.680228233337,-0.129355728626,0.592579722404,-0.125399976969,0.103735253215,-0.788176715374,0.00644999928772
3108,0.213797241449,-0.524250030518,-0.357834786177,0.693250000477,0.380775868893,-1.73546302319,0.809940040112,-0.159419983625,0.571024417877,-1.25655329227,-0.648852467537,0.687900006771,0.362616956234,1.0929954052,-0.467899978161
1950,-0.327090233564,1.37849998474,-1.11447310448,1.43505001068,1.07763743401,1.93398594856,1.57127892971,0.531300008297,1.48185420036,1.45928263664,-0.0851619467139,0.608699977398,1.22370278835,0.346898376942,1.39845001698
351,-0.85202986002,1.21119999886,-0.221910893917,0.36265000701,-0.420690268278,0.988056957722,0.61885613203,0.202800005674,0.0661073848605,0.512814342976,0.112028479576,-1.04844999313,0.937611877918,-0.733807444572,0.810299992561
4846,-0.139078021049,-0.392749994993,-0.217905238271,0.611550033092,0.95895242691,0.41843265295,-0.227314502001,0.430680006742,1.96230340004,0.171173498034,-0.121651977301,-0.52144998312,-0.172595351934,-0.50769329071,0.0923999845982
1452,-1.82252526283,-0.854050040245,0.0318761654198,-0.205099970102,-0.731598556042,-1.06514382362,0.458984494209,0.331380009651,0.26036170125,0.223442852497,-0.89301609993,-0.261749982834,0.43862247467,0.206526085734,-1.29834997654
4776,-0.72045725584,0.758749961853,-0.0793339535594,0.0585500001907,0.657574951649,0.36500787735,1.6879119873,-0.202440008521,1.02579545975,-0.0196947604418,0.859109461308,0.624399960041,0.401048511267,0.13839289546,0.0709000006318
6908,0.778371274471,-1.03849995136,0.266304373741,0.875650048256,-0.758336782455,0.322072833776,-0.465364724398,-0.704039990902,1.8722717762,-1.03592133522,0.222404196858,0.245249986649,0.155447393656,-0.617477536201,-0.390450000763
672,0.765375494957,-0.403800010681,0.861043453217,0.418799996376,-0.586740374565,0.253223091364,-0.263687133789,0.0615399852395,0.606303393841,-0.297731429338,0.431234061718,-0.612299978733,-0.127893671393,-0.328148245811,0.670599997044
5710,0.453436136246,-0.829400002956,-0.943596065044,-0.384550005198,-1.13313269615,-1.08464205265,0.269620865583,-0.0312200132757,0.909059762955,-0.966000556946,-0.34985986352,-0.702000021935,-0.158383190632,-1.40652608871,-0.0976999998093
2115,0.718054890633,-0.396399974823,0.106202423573,0.0376999974251,0.560928463936,0.302663683891,0.702761232853,0.290200024843,1.14443898201,-0.495700955391,0.205294340849,0.106100022793,-0.130968570709,-0.204898998141,0.0132500007749
7015,-0.368102818727,0.0540499985218,-0.844339311123,1.49434995651,0.688657164574,0.53798687458,1.56621158123,0.44629997015,1.42795133591,0.317624866962,0.337139546871,0.259999960661,0.301042854786,0.81707572937,1.0340000391
8726,0.852839231491,-0.158249974251,0.681388378143,-0.64745002985,-0.289319217205,-1.09071731567,-0.457581400871,-0.0249200165272,-1.43997764587,-0.221417844296,0.202010467649,-1.1847499609,-0.310541808605,-0.763230323792,-0.115450002253
2185,-0.985110282898,1.12829995155,-1.16768229008,0.665600061417,0.920331716537,0.344754010439,1.67334973812,-0.345260024071,0.77193915844,-0.393980622292,0.564913272858,0.619149982929,0.301194339991,0.237966969609,0.420700013638
3315,0.171119630337,0.778500020504,0.939910292625,-1.00304996967,-0.791626691818,-0.79700756073,-0.179800286889,-0.352140009403,2.66882991791,0.00502434372902,-1.17026567459,-1.3789999485,-0.0331998020411,-0.0405697524548,0.0010000000475
5289,0.0885664075613,-0.71639996767,-0.219252452254,1.10920000076,0.497523158789,-0.0474952459335,0.162255361676,0.276740014553,-0.247141003609,-0.647936165333,-0.251693874598,1.12794995308,0.444272041321,-0.064369738102,0.464550018311
868,-0.512958467007,-0.700049996376,-0.243531942368,0.543099999428,1.59143018723,-0.0842448994517,-0.145116612315,0.251640021801,1.37292671204,0.230650067329,0.470386356115,0.298799991608,-1.20357704163,-0.0774357616901,0.824299991131
1677,2.71922111511,0.808349967003,-0.445359408855,-0.548300027847,0.858967065811,0.538065850735,0.569942116737,0.399380028248,0.992651224136,0.315751492977,0.378862440586,1.07394993305,-0.354688405991,0.21101783216,-0.298350006342
7043,-0.980174303055,0.409150004387,-1.41959559917,-1.30455005169,0.880192995071,-0.655259609222,0.942738175392,-0.0578800067306,1.60320043564,-0.525770246983,0.359135150909,0.610700011253,-0.901329874992,-0.98466193676,0.153800010681
5613,-1.34150147438,0.637300014496,-0.912492573261,1.66449999809,0.920897126198,0.702535927296,1.24749302864,0.399540066719,0.979636669159,-0.0337195470929,0.745305836201,0.392650008202,-0.320698142052,-0.894505858421,-0.143649995327
595,0.423392683268,-0.457949995995,1.18852782249,-2.10025000572,-0.396794617176,-0.499567896128,-1.10057115555,0.357439994812,0.72954928875,-0.907263875008,-0.0833600759506,0.705500006676,-0.261238366365,0.229191973805,-1.01715004444
4793,0.793128073215,-0.229999989271,0.0608668923378,2.47804999352,-0.424673676491,-0.208343431354,-0.512733340263,0.121940001845,3.02731704712,-0.0494405142963,0.456628590822,-0.27500000596,-0.491913348436,2.13229775429,0.319599986076
2736,-0.64277869463,-0.298599988222,0.334485679865,1.20630002022,0.795054793358,0.190256029367,3.11266350746,0.0786799862981,1.87723445892,-0.0252408161759,0.579847097397,0.138900011778,-0.48103427887,-0.607459843159,-0.0253500044346
5290,-0.537029385567,0.882799983025,-1.8282186985,-0.171050012112,0.575681328773,0.163272306323,1.52591073513,-0.0662200078368,0.53565454483,0.0201106145978,1.01077258587,0.299300014973,0.006158657372,1.53883528709,0.429349988699
6194,0.785133779049,0.00164999999106,-0.0254828389734,0.845499992371,-0.497282832861,-0.627501666546,-1.03437042236,-0.143420010805,-1.63504886627,-0.150141790509,-0.685234427452,0.607199966908,-0.529438793659,0.172555059195,-0.217849999666
1676,-0.720483660698,0.321749985218,-1.09859275818,-0.828399956226,0.627128362656,-0.232940495014,1.00100076199,0.138799995184,0.333861410618,-0.222333669662,-0.603662192822,-1.06605005264,-0.51682382822,-2.1013917923,0.365799993277
