rid,DOS049_A375_24H:BRD-K34030207-001-01-1:5,DOS049_HT29_24H:BRD-K34030207-001-01-1:5,DOS049_MCF7_24H:BRD-K34030207-001-01-1:5
5720,0.069747403264,0.677100002766,1.79275000095
466,-1.4999922514,0.0856499969959,2.50215005875
6009,0.228606760502,0.818599998951,1.22589993477
2309,-0.248005703092,0.50024998188,-0.959649980068
387,0.0133148133755,0.345450013876,0.335799992085
3553,-0.403292030096,-0.915799975395,0.196250021458
427,-0.581213414669,-0.401150017977,1.13020002842
5898,0.343108296394,-0.511350035667,0.674499988556
23365,-0.258499383926,-0.555649995804,0.220299988985
6657,-0.566283762455,-0.828050017357,1.06575000286
5054,-0.785300135612,-4.60999965668,0.238199993968
3108,0.693834543228,0.201049998403,0.895500004292
1950,-0.553761839867,-0.453899979591,-0.47365000844
351,-0.54200142622,-1.09355008602,-0.839699983597
4846,-0.625064611435,1.03905010223,-0.562150001526
1452,0.55248862505,0.879099965096,-0.858599960804
4776,-0.693492472172,-0.662100017071,-0.339850008488
6908,-0.0647751092911,1.80885004997,0.458350002766
672,1.08346843719,-0.31194999814,0.477899998426
5710,-0.565045893192,0.375900000334,-0.420650005341
2115,0.516014993191,-0.789149999619,1.09864997864
7015,-0.188499316573,-0.270399987698,2.03845000267
8726,0.119246467948,0.47025001049,0.821850001812
2185,-0.892305910587,-1.08780002594,0.669550001621
3315,-0.531298160553,0.186549991369,-0.156499996781
5289,-0.649046123028,-0.831050038338,0.80245000124
868,-0.435490101576,-0.644550025463,-1.12619996071
1677,-0.0318774580956,0.00739997625351,0.352849960327
7043,-0.947781920433,-1.31414997578,-0.404300004244
5613,-0.726342499256,-0.875549972057,-0.22365000844
595,-0.0960131883621,1.48905003071,0.165549993515
4793,-0.0645860806108,2.23854994774,-0.182400003076
2736,-0.730993151665,-0.480250000954,-0.594850003719
5290,-0.336984783411,0.0584499835968,0.138399988413
6194,0.000525067036506,0.00065000000177,0.0
1676,-0.798298537731,-0.550999999046,-0.180399999022
23512,-0.0491810888052,0.167500004172,-0.55245000124
148022,0.00440055131912,-0.717600047588,-0.269250005484
1906,0.249818891287,0.352949976921,-1.11110007763
8878,-0.812499046326,0.0979999899864,-0.0910499989986
3091,0.503363847733,0.537000000477,0.676150023937
5743,-0.465961426497,0.927399992943,-0.284199982882
5321,-0.133061036468,-2.90194988251,-1.3723000288
4144,-1.50453233719,-0.541199982166,-0.700200021267
1981,-0.457605451345,0.451700001955,-0.0611499547958
695,-0.354068219662,-0.216100037098,-1.00654995441
10398,-0.539283514023,-1.24934995174,1.37490010262
5708,-0.155841886997,0.950999975204,0.388799995184
1213,0.0348691940308,-0.566699981689,-1.8627499342
226,0.262834966183,-0.539649963379,-0.326299965382
6777,-0.043219357729,0.58370000124,-0.165899991989
2113,0.57820045948,0.221799999475,1.71895003319
3329,0.508817911148,0.353349983692,-0.134799987078
1050,-0.613487958908,0.841749966145,-0.200199961662
9491,-0.490435630083,-0.788249969482,-0.809000015259
22926,-0.0860021114349,0.0807000026107,-1.6548500061
5899,0.551118075848,-0.376100003719,-0.861649990082
5467,-0.346042245626,0.55505001545,-0.606549978256
6774,-0.128668144345,-0.236499994993,0.667800068855
1788,-0.608487784863,-0.360749989748,2.32424998283
5921,0.0861948430538,0.114899992943,-1.24734997749
5721,-0.115586280823,0.749549984932,-0.203500002623
2263,2.22199892998,-0.47310000658,-0.474700003862
808,-0.710573554039,0.571399986744,-0.424300014973
30001,-0.712248682976,0.0266000032425,1.21669995785
348,0.245684087276,-0.7174000144,2.39650011063
30849,-0.749451220036,0.570550024509,-0.539149999619
1454,0.187122613192,-0.364149987698,0.900400042534
6500,0.653777837753,0.212400004268,0.482349991798
