rid,DOS007_VCAP_24H:BRD-K70681322-001-01-6:5
5720,0.273048043251
466,0.101325064898
6009,-0.614537477493
2309,1.79263758659
387,-0.927721381187
3553,0.272181421518
427,-0.00680610537529
5898,1.41817975044
23365,0.355308949947
6657,-0.528036594391
5054,-0.331990152597
3108,-0.671146929264
1950,-0.0917870923877
351,-0.667504370213
4846,-0.621427953243
1452,-0.208739608526
4776,-0.360997498035
6908,-0.327164173126
672,0.351857483387
5710,0.0339155346155
2115,-0.594397783279
7015,0.339538216591
8726,2.62643766403
2185,-0.411707878113
3315,2.57518649101
5289,0.279794871807
868,-0.276253044605
1677,0.37603366375
7043,-0.992136776447
5613,-0.504321336746
595,-1.0917236805
4793,1.27663660049
2736,0.476675570011
5290,-0.333299338818
6194,0.232749909163
1676,-1.07911062241
23512,-0.338356435299
148022,-0.929699540138
1906,-0.952488303185
8878,-1.23680949211
3091,0.0623414516449
5743,-0.848615527153
5321,-0.643151640892
4144,-6.04781675339
1981,0.833213508129
695,0.0237963199615
10398,-0.5166259408
5708,-0.1389939785
1213,-0.491933703423
226,-0.347720950842
6777,-1.04781675339
2113,0.112825334072
3329,-0.598569989204
1050,0.0564226992428
9491,-0.452650129795
22926,0.812877655029
5899,-0.379265666008
5467,-0.0167478807271
6774,0.461225837469
1788,-0.434144735336
5921,3.45819497108
5721,-0.746303260326
2263,0.245770528913
808,-0.372141569853
30001,0.0251969918609
348,-0.373750418425
30849,-0.874610900879
1454,-0.761394143105
6500,-0.80524122715
5627,0.117402687669
5715,-0.692387521267
4791,0.948441147804
56924,-0.894543170929
2690,-0.0704317390919
1019,1.1110817194
51422,-0.2772808671
5788,-0.00232608616352
6709,-0.144159555435
1277,0.113365665078
993,1.55538666248
7157,-0.0612795352936
1958,-0.402537196875
4582,0.823294639587
9212,-0.50638282299
8440,-0.0579523257911
6790,-0.409143984318
8851,-0.76980137825
2534,-0.41561883688
4893,-0.429026603699
665,0.451415777206
4313,-0.482381939888
1022,0.370056539774
5880,1.67309212685
3162,0.0150835514069
1282,0.80489552021
3383,1.20366680622
727,-0.41574344039
4792,-0.833483040333
4794,-0.0492843389511
902,0.0842015743256
8091,0.644035458565
3486,-0.529359459877
10818,-1.05975747108
3454,-0.940545380116
4282,0.365853816271
1605,-0.773539423943
10644,-0.310034453869
2065,-1.27875971794
8321,-0.836044549942
8503,0.199576824903
7027,3.33279848099
6850,0.48275372386
1978,-0.051282659173
896,1.5809006691
5777,1.4132193327
1846,0.851401388645
5925,-1.12309932709
142,0.637444257736
1021,0.119400642812
5699,1.09644389153
8061,3.02775287628
1870,3.01382470131
1398,-0.856913566589
3312,-0.252771288157
891,-0.136745348573
4775,-0.248454540968
5111,-0.600141465664
5696,0.557075083256
5588,0.449283093214
6839,1.3766926527
329,1.04802596569
5058,1.10330545902
998,0.323912322521
9134,0.69195574522
6616,1.68817055225
5223,-2.57148814201
4690,-0.0871248096228
958,1.93802332878
1616,-0.456766098738
991,0.337410390377
6347,0.543441772461
6714,0.518489837646
652,-0.0264984667301
4331,-0.739529967308
7099,-0.730073451996
10320,0.819346308708
2042,-0.512864768505
843,-0.0156158953905
840,-0.876332998276
7048,-0.0391373336315
4851,-0.686482965946
6464,-0.441605478525
23410,-0.611213445663
54205,-1.340670228
2770,0.808057904243
80204,1.10673892498
4208,1.55083239079
1845,0.568706154823
23368,-0.245820134878
5583,0.155144423246
8900,0.436164140701
581,-1.00138604641
6193,0.0117877721786
6622,0.18399181962
11261,0.341345012188
6696,0.629633188248
8312,1.54750609398
835,1.00053369999
8324,0.915519475937
1848,-0.397467404604
154,0.721996247768
4312,1.08953344822
994,0.77012360096
2048,0.540540933609
1111,-0.341871321201
5154,0.801390826702
2920,-0.543649256229
3122,1.43980872631
2769,-0.104970484972
5900,0.655803620815
6304,-0.416575729847
5211,-0.54210960865
2886,-0.61437022686
9261,1.30957102776
8569,-1.37439250946
3303,2.41731882095
5331,-0.0178719907999
5347,-0.05623729527
4638,-0.165830045938
2264,0.951421797276
1029,-0.0905661135912
1027,-2.0353167057
2597,-0.998556733131
55847,-1.53749370575
25803,-0.236215263605
3480,-0.310777813196
2946,-0.811244368553
9517,0.0203763544559
25987,-0.467870980501
23670,1.42008948326
11182,0.604096531868
2146,0.00610287301242
3385,-0.629524290562
5261,0.878223001957
10765,-0.268635779619
25839,-0.0424971878529
4172,-0.0217024069279
23161,-1.10622227192
10298,0.406372249126
1802,1.09512460232
58533,0.471559882164
147179,-0.0304697006941
29937,-1.10418784618
6184,0.913920164108
9854,0.961809098721
2553,0.838724970818
5440,-0.0241411551833
54623,-0.0767179578543
9533,-0.596202731133
8607,-0.0897791311145
207,0.189522996545
26054,-1.1139947176
10682,0.607754528522
8573,-0.112285763025
23378,0.273266583681
8553,-0.175561755896
622,1.04641389847
9467,0.050161652267
5525,-0.255547016859
256364,0.706819117069
332,0.14753344655
2058,0.862611234188
7849,-0.201306968927
23244,0.299885213375
7494,-0.469986379147
4836,-1.12257277966
23647,-0.183153480291
10617,-2.57627701759
2184,-0.171727180481
5355,0.662615180016
6659,-6.19903182983
7016,-0.274216204882
90861,-0.439054340124
10670,-0.170657351613
79071,1.4096364975
64746,-0.300526082516
5366,0.4150801301
11344,1.0263248682
10013,0.0214222073555
5829,-0.786146402359
5257,-1.17141366005
22794,-0.46621543169
9761,-6.71097564697
23326,0.0318785607815
10972,0.142476081848
10523,0.137732833624
79090,1.13761389256
