rid,DOS027_VCAP_6H:BRD-M55020616-001-01-9:5,DOS027_VCAP_24H:BRD-M55020616-001-01-9:5,DOS051_A549_24H:BRD-M55020616-001-01-9:5,DOS051_HT29_24H:BRD-M55020616-001-01-9:5,DOS051_MCF7_24H:BRD-M55020616-001-01-9:5,DOS051_PC3_24H:BRD-M55020616-001-01-9:5
5720,-1.52404999733,0.100157149136,-0.0896000042558,-0.950049996376,0.0518499910831,0.260199993849
466,-0.572349965572,0.377279400826,-0.479600012302,-0.83185005188,-0.345850020647,-1.0828499794
6009,0.130199998617,-1.09304618835,0.70459997654,0.74270004034,-0.00209999084473,-0.679250001907
2309,-0.323500007391,-3.06211590767,-0.948650062084,-0.105349987745,-0.373600006104,1.76335000992
387,0.930400013924,0.0958270281553,-0.691599965096,0.422800004482,0.0452000051737,-0.96774995327
3553,-0.0518000125885,0.077235430479,1.00444996357,-1.7023999691,1.14724993706,-0.108249992132
427,-0.131949990988,0.308697372675,-0.986500024796,0.615299999714,0.433449983597,-1.2445499897
5898,0.726899981499,0.378837406635,-0.133399993181,0.257149994373,-1.61594998837,-0.450149983168
23365,0.0239499807358,0.14130063355,0.813049912453,-0.506600022316,-0.144850000739,0.332000017166
6657,0.194350004196,-0.259670764208,0.165199995041,-0.16274997592,1.39319992065,0.528149962425
5054,0.739149987698,0.113309398293,-0.000349998474121,-0.511199951172,0.403900027275,-0.419050008059
3108,-0.607100009918,-0.419437348843,-0.361499994993,0.0166000016034,-0.504050016403,-0.0681999996305
1950,-0.933099985123,-0.592677175999,-1.28894996643,-0.957799971104,0.691699981689,0.772449970245
351,0.710100054741,0.224469169974,-0.000650000059977,-0.660799980164,0.578550040722,0.498799979687
4846,1.84700000286,-0.289152234793,-0.379999995232,-0.449299991131,-4.73274993896,1.46504998207
1452,-1.27764999866,-0.386026263237,-1.03554999828,-0.592700004578,-0.957549929619,-0.140750005841
4776,0.415600001812,-0.483925133944,1.68285000324,-0.996850013733,0.78225004673,0.811699986458
6908,-1.02505004406,-0.802373766899,0.475749999285,-0.466500014067,0.367599993944,-0.849950015545
672,-1.36195003986,0.856309533119,-0.0200500003994,-0.700850009918,-0.701449990273,-1.20299994946
5710,0.537099957466,0.272449076176,0.77380001545,-0.993600010872,-0.743099987507,0.00650000572205
2115,0.613799989223,-0.710527598858,-0.148800000548,-0.87165004015,0.962650001049,-0.137050002813
7015,0.377000004053,-0.661273419857,0.299000024796,-0.32380002737,0.282399982214,0.361949980259
8726,0.511099994183,-0.430300205946,1.0366499424,-0.230899989605,-0.579699993134,-0.609300017357
2185,-0.150900006294,-0.789575457573,0.402799993753,0.196850001812,2.17149996758,0.297250002623
3315,1.48399996758,-0.473756670952,-1.47039997578,0.140950024128,0.334549993277,-0.303099989891
5289,0.634050011635,0.2714445889,0.746150016785,-0.394299983978,0.48789998889,-1.07980000973
868,0.907450079918,0.278393805027,0.506749987602,-0.595650017262,1.87339997292,-0.361400008202
1677,0.421850025654,0.310932070017,-0.259049981833,0.0927999913692,0.374000012875,1.07945001125
7043,0.35974997282,-0.54100471735,0.66060000658,-0.820850014687,0.857649981976,0.223299995065
5613,-0.132800042629,-0.183587402105,-0.202349990606,-0.22135001421,1.17065000534,1.19505000114
595,-0.201150000095,-0.583398222923,2.28469991684,0.51004999876,-0.289250016212,-0.15934997797
4793,0.97209995985,0.0359149202704,0.271299988031,-0.758049964905,0.159399986267,0.382899999619
2736,0.22310000658,-0.534456670284,0.0364000014961,-0.912899971008,1.24070000648,0.419550001621
5290,0.553049921989,-0.349801719189,1.40560007095,-0.382399976254,1.51014995575,0.460299968719
6194,0.380849987268,-0.721884787083,0.00034999998752,-0.549049973488,0.00034999998752,-0.942299962044
1676,0.131799995899,-0.394499033689,0.867049992085,-4.30205011368,0.682649970055,0.616000056267
23512,-0.364250004292,0.306631743908,-0.212199985981,-4.43620014191,-2.43654990196,-1.50744998455
148022,0.145150005817,4.09314632416,0.470100015402,-0.290800005198,0.527849972248,-0.215999990702
1906,-0.436100006104,-0.196741640568,0.0378499925137,0.52380001545,0.0500499904156,0.695950031281
8878,0.211149960756,-0.383801162243,-0.385850012302,0.456250011921,-0.814149975777,-0.337350010872
3091,-0.483149975538,0.124197766185,0.406949996948,-0.382550001144,0.125600010157,-0.00369998812675
5743,4.26139974594,-1.81033301353,-0.0393500030041,-1.39814996719,-0.678750038147,0.519050002098
5321,0.348849952221,-1.12738788128,-0.167549997568,-1.08354997635,-0.827950000763,-0.807000041008
4144,-0.466049998999,-0.52071917057,0.0452000200748,-0.443700015545,0.34730002284,0.485249996185
1981,-1.77869999409,-0.162554010749,5.1875,-0.859150052071,-0.48679998517,-0.39200001955
695,-0.582199990749,0.669856190681,0.248949974775,0.836049973965,0.503549993038,-0.466399997473
10398,0.175300002098,-1.59013199806,1.06235003471,-0.706799983978,1.50060009956,0.614499986172
5708,0.125100001693,-0.560209929943,-0.124950006604,0.517300009727,0.760949969292,-0.0258999988437
1213,0.245399981737,2.71450519562,1.34700000286,-0.955700039864,-0.442449986935,0.629950046539
226,0.195950001478,-0.539686083794,0.423049986362,0.530550003052,0.631049990654,0.527649998665
6777,1.52079999447,-0.252042889595,0.175149992108,0.673750042915,-0.1481000036,-0.655400037766
2113,0.375399947166,-0.97212511301,0.539449989796,1.04984998703,-0.289399981499,-1.32704997063
3329,-3.93474984169,0.451273530722,1.47969996929,-3.8641500473,-0.490549981594,-0.513949990273
1050,0.459299981594,0.622662186623,0.655799984932,0.411050021648,-1.47090005875,-0.413000047207
9491,-0.176600009203,-0.984860539436,0.461950033903,-1.02499997616,0.542999982834,0.983500003815
22926,0.49555003643,-0.097714073956,-3.50745010376,-0.614449977875,-0.14335000515,-0.389649987221
5899,0.0340500026941,-0.0224236175418,0.328399986029,0.518000006676,-1.40345001221,-1.03515005112
