rid,DOS046_A375_24H:BRD-K40910787-001-01-4:5,DOS046_A549_24H:BRD-K40910787-001-01-4:5,DOS046_HT29_24H:BRD-K40910787-001-01-4:5,DOS046_MCF7_24H:BRD-K40910787-001-01-4:5,DOS046_PC3_24H:BRD-K40910787-001-01-4:5
5720,0.00923334062099,0.370191693306,-0.652999997139,0.460500001907,-0.176308810711
466,-0.579533338547,-0.0966181159019,0.945899963379,-4.23649978638,-0.350491642952
6009,-0.806233346462,0.486030638218,-0.495449990034,-0.979799985886,0.794073879719
2309,0.272466659546,-0.183041200042,-0.769150018692,-0.388949990273,-0.946972727776
387,-0.605433344841,0.0868089199066,-0.197100013494,0.562799990177,-0.798876523972
3553,-0.190400004387,0.0939492583275,-0.495749980211,0.783699989319,0.0603679344058
427,0.602366685867,0.689466536045,-0.473299980164,-0.750599980354,1.13833367825
5898,0.288433343172,-0.198231831193,0.173950001597,-0.00439995527267,0.248391091824
23365,-0.321900010109,0.337892591953,1.42059993744,0.780250012875,-5.52558517456
6657,0.426833361387,-0.01276871562,-0.134499996901,-0.432250022888,2.24171543121
5054,-0.434400051832,0.848049581051,0.138249993324,0.812700033188,-0.100765429437
3108,0.618900001049,0.858892321587,1.45179998875,0.169850021601,-0.395166635513
1950,0.0572333335876,-1.28275239468,0.611449956894,-0.658050000668,1.02260041237
351,-0.13956668973,-0.263384997845,0.603749990463,-0.51139998436,-1.00346374512
4846,0.0307999998331,-0.550581216812,0.185649991035,-1.30754995346,-2.22967147827
1452,0.160066664219,-2.63631367683,0.44500002265,-0.79414999485,0.0127959102392
4776,0.5476334095,-0.363691747189,0.338850021362,0.852800011635,1.16591823101
6908,-0.385833323002,-0.0223531723022,0.484500020742,-1.72210001945,-0.757462620735
672,0.303333342075,-2.32691335678,0.0291499979794,0.141500025988,-1.73658514023
5710,1.02620005608,0.310752421618,0.863299965858,0.445149987936,0.190236717463
2115,-0.786900043488,0.170788660645,-0.885450005531,-0.126299992204,-0.282607972622
7015,0.45126670599,0.186163648963,-0.178100004792,-0.237049996853,3.08768749237
8726,0.26210001111,-0.791415572166,2.16770005226,-0.198449999094,-1.16558277607
2185,0.322333335876,-0.306353449821,0.0261499881744,-0.106700003147,2.08987760544
3315,-1.48933339119,0.261943638325,1.09420001507,1.51944994926,-0.245364546776
5289,1.27340006828,-0.52228474617,0.208599999547,0.304399996996,1.05746495724
868,1.20886671543,1.10712075233,0.436599999666,-0.738800048828,-0.0261585637927
1677,0.149533361197,-0.176340937614,-0.109850004315,-0.287200003862,0.537656784058
7043,-0.125666618347,0.0606793016195,0.235499978065,0.903599977493,0.340860724449
5613,0.262000024319,-0.273937404156,0.0718000009656,-0.470499992371,1.19525694847
595,0.0667999982834,0.801893591881,0.328949987888,1.40779995918,0.742280304432
4793,-0.469600021839,0.736295342445,-0.284500002861,-1.40645003319,-0.75779736042
2736,0.311199992895,-1.43042063713,-0.52144998312,-0.422599971294,-0.240577951074
5290,0.150300011039,-0.101655319333,-0.306950002909,-0.557449996471,2.98683428764
6194,-0.194499999285,0.183617949486,-1.43060004711,0.0,-0.222038775682
1676,0.106966659427,0.498811125755,0.171149998903,1.08515000343,0.743314146996
23512,0.555133342743,0.0726475194097,0.26424998045,-1.49150002003,-0.400992661715
148022,-0.330500036478,0.41597443819,0.576550006866,0.797299981117,0.588054835796
1906,-0.0394999980927,-0.300899624825,-1.28550004959,-0.111850008368,0.89849126339
8878,0.870700001717,0.648293673992,1.79035007954,-0.196249991655,-0.708990871906
3091,0.74430000782,-1.03574776649,-1.0013999939,0.193299993873,-2.08267998695
5743,0.598033428192,0.884377121925,0.531449973583,0.0249999761581,0.0198044851422
5321,-0.0977333337069,-0.583640933037,0.377099990845,0.28409999609,-0.053659722209
