rid,MUC.CP006_MCF7_6H:BRD-K68645163-001-01-7:3.3928,MUC.CP006_MCF7_6H:BRD-K68645163-001-01-7:1.1309,MUC.CP006_MCF7_6H:BRD-K68645163-001-01-7:0.377,MUC.CP006_MCF7_24H:BRD-K68645163-001-01-7:10.1783,MUC.CP006_MCF7_24H:BRD-K68645163-001-01-7:3.3928,MUC.CP006_MCF7_24H:BRD-K68645163-001-01-7:1.1309,MUC.CP006_MCF7_24H:BRD-K68645163-001-01-7:0.377
5720,-1.76295435429,-1.91234695911,-0.516950011253,0.746848702431,0.163864344358,0.146660223603,-0.395975291729
466,1.22560822964,0.673397123814,0.0441500023007,0.570090889931,0.22943238914,0.907952964306,0.26826685667
6009,0.0204300880432,0.572107553482,-0.745249986649,0.600208342075,0.242507010698,0.936688184738,0.36784940958
2309,-0.579322576523,-1.33336651325,-0.476950019598,0.0471066907048,-0.656819105148,-0.213872089982,-0.335449576378
387,-0.232259899378,-0.698222637177,-1.63280010223,0.78581738472,0.137113243341,0.652275025845,0.543997943401
3553,1.11355733871,0.789816141129,0.550350010395,-0.578836083412,-0.453492492437,-0.194386810064,-0.302129566669
427,0.943496584892,0.529645979404,-0.381399989128,0.925030529499,1.06160569191,0.233936399221,0.481244623661
5898,1.07762026787,0.972127318382,-0.0568000003695,-0.476751208305,0.118578486145,0.76330435276,-1.40083765984
23365,-0.171856954694,-0.63281494379,-1.02009999752,2.84279108047,-0.0428753122687,-0.48939165473,-1.01435506344
6657,0.0911385715008,-0.482293397188,-0.128349989653,-0.646359682083,-0.562555134296,-0.639620423317,-0.270852267742
5054,3.67836761475,0.665135979652,0.48710000515,-0.540304303169,0.939507722855,-0.593644022942,0.341178715229
3108,0.292588472366,0.392742484808,-0.784150004387,0.194134473801,-0.572608292103,-0.24901509285,-0.908965289593
1950,0.71189892292,0.547107458115,0.68305003643,-0.735251307487,-0.155481427908,-0.665899634361,0.139343753457
351,-0.0423268526793,0.955545842648,0.299250006676,-0.713546454906,-0.520117759705,-0.664962291718,0.09199141711
4846,0.385450959206,0.372839361429,-0.987800002098,0.330154955387,0.396222174168,0.324269145727,6.35987472534
1452,0.336344182491,-0.496413320303,0.428750008345,0.90846323967,0.205638632178,0.59343534708,-0.00761892646551
4776,-0.174840420485,0.253316611052,1.48539996147,-1.28717803955,-0.423941940069,-0.216092690825,0.131466239691
6908,1.02823972702,-0.0753291770816,-1.04489994049,0.508524894714,-0.072949975729,0.699938476086,-0.192659318447
672,0.826014578342,0.342158555984,1.51649999619,0.446205496788,0.486818671227,0.74254322052,0.10726325959
5710,-0.709710776806,-0.141477838159,0.194999992847,0.221854478121,-0.122426137328,0.313498586416,-0.508209645748
2115,-0.200444981456,-0.524474859238,-0.445749998093,-0.0934438109398,-0.35539919138,-0.746806263924,-1.3076210022
7015,-0.118629552424,0.0146355032921,0.644450008869,-1.10081577301,-0.608231306076,-1.05313253403,-0.485281825066
8726,0.893545210361,0.918082714081,0.286099970341,0.663667559624,0.419855237007,0.760961055756,0.397856354713
2185,-0.0775989145041,-0.356744289398,-0.00749999284744,-1.07364797592,-0.355359852314,-0.618644058704,-0.110644310713
3315,-1.172773242,-0.168913826346,0.0,0.117654539645,0.339370310307,0.618565320969,0.210103094578
5289,0.823414087296,-0.154796615243,-0.455149978399,0.150619238615,-0.242645069957,-0.375501930714,-0.338130265474
868,0.0804389566183,-1.04366624355,-0.222200006247,-0.541018486023,-0.576373636723,0.202316224575,-0.442331194878
1677,-0.122479200363,0.0594597682357,0.710950016975,-0.765192389488,0.210827201605,-0.50234156847,-0.407738208771
7043,0.499583244324,0.243673428893,-0.284249991179,0.375704973936,0.00761996954679,0.183894053102,-1.39703571796
5613,0.370248347521,0.314355105162,0.109749995172,-0.580639302731,-0.292237490416,-0.622507572174,-0.510209798813
595,0.466468513012,-0.0649040043354,0.0288999974728,0.698618650436,0.86164444685,0.939092695713,0.093219615519
4793,-0.169479012489,-0.378677040339,0.355299979448,0.116255730391,-0.0404003933072,-0.178263068199,-0.296939820051
2736,-0.488455325365,0.210665255785,-0.0229499936104,-0.438082993031,-0.366056442261,-0.916554927826,-0.129470080137
5290,-0.386388748884,-0.257263809443,0.652099967003,0.0886905789375,-0.818434894085,-0.896584391594,0.333311468363
6194,-1.61436724663,0.168913826346,-1.01339995861,0.305186778307,-1.10820448399,0.24266988039,0.0
1676,-0.762609481812,0.530659019947,0.776650011539,-0.86146914959,-0.486789822578,-0.551397442818,-0.706089019775
23512,1.8141283989,0.577170610428,1.35010004044,0.325930058956,0.203530669212,0.33759829402,-0.344005018473
148022,-0.212121859193,0.378805339336,-1.31384992599,-0.405694425106,1.13747870922,-0.60860145092,0.189121320844
1906,-0.178150340915,0.576342046261,0.445349991322,-1.47239148617,-0.285547405481,-0.95083963871,-0.24349796772
8878,1.04525148869,-0.422201752663,-0.732400000095,0.0656037926674,-0.0872718244791,-0.0355867743492,-0.764996886253
3091,0.975768923759,0.242699146271,0.384750008583,0.0914114415646,0.02019110322,0.0431281626225,-0.342388808727
5743,0.149006664753,-0.233832985163,1.77775001526,-0.368390500546,-0.180967494845,-0.405873477459,0.565752565861
5321,0.0572557896376,0.0906666889787,0.104299992323,-1.35488212109,-0.608644247055,-0.605117499828,0.151584073901
4144,-0.442734718323,-0.486714333296,0.342399984598,-1.14063704014,-0.85443675518,-0.986420571804,-0.119200140238
