rid,CPD001_MCF7_6H:BRD-K12437696-001-04-6:10,CPD001_MCF7_24H:BRD-K12437696-001-04-6:10,CPD001_PC3_24H:BRD-K12437696-001-04-6:10
5720,0.281744360924,-0.0598351657391,0.606305003166
466,0.554561257362,0.788029074669,-0.537873744965
6009,-0.0623497068882,0.0328684151173,-0.547985315323
2309,-0.05127293244,-0.373104214668,1.57639241219
387,0.0417934656143,-0.791277825832,0.235518217087
3553,-1.05297446251,-0.930063605309,0.430888593197
427,0.698310494423,1.21760106087,-0.0104314684868
5898,-0.170873701572,0.418327003717,-1.28908336163
23365,0.134185627103,-0.294460445642,-0.878352761269
6657,-1.21304523945,-0.74425560236,-0.542942225933
5054,-0.0394732058048,-0.10993899405,-0.3529753685
3108,0.152785480022,-0.153936237097,-0.224019527435
1950,0.0238744020462,0.0122716426849,1.27088904381
351,0.456814736128,0.730804622173,-0.777970433235
4846,0.586418747902,1.09434449673,-1.30316579342
1452,-0.119561716914,-0.0130718946457,-0.872814238071
4776,-0.623393237591,-1.02692651749,-0.975318431854
6908,0.0213334560394,-0.398065894842,0.422370672226
672,1.81640625,0.99524897337,-0.192368984222
5710,0.00851916894317,-0.878311157227,-0.628788590431
2115,-0.789033412933,-0.818596065044,-0.115483656526
7015,-0.0824437141418,-0.754022240639,-0.648986697197
8726,0.0318203121424,1.04223978519,-0.230858638883
2185,-0.737691640854,-1.07955145836,-0.10434858501
3315,-0.11098459363,-0.0743547230959,-0.573225557804
5289,-1.95092880726,-0.902192175388,-0.383058041334
868,-0.304515004158,0.188261151314,-0.618100225925
1677,0.168554395437,-0.267423093319,-0.325337409973
7043,-0.702419877052,-1.11404728889,-0.689830124378
5613,-0.503002762794,-0.475231796503,-0.5381757617
595,0.210533335805,0.00959104299545,-0.934176146984
4793,2.07963848114,-0.211465924978,-0.434406220913
2736,-0.137652158737,-0.626938700676,2.95742630959
5290,1.64235758781,-0.468821406364,0.041751101613
6194,1.13807845116,-0.398681968451,-1.09604096413
1676,-2.46386885643,-0.893495321274,-0.98573410511
23512,0.176687061787,-0.859404265881,-1.15916109085
148022,-0.410602718592,-0.755833745003,-0.335971802473
1906,-0.140247806907,-0.7913646698,0.206241801381
8878,-0.145488858223,-0.732276558876,-0.600902438164
3091,-0.303478986025,0.157470539212,-0.334451675415
5743,-0.705232441425,-0.647899091244,-0.0504518896341
5321,-0.715004444122,-0.40214368701,-0.118481874466
4144,0.221303671598,-0.793646633625,-0.566044032574
1981,0.318484425545,-0.447329252958,1.12256503105
695,0.114339582622,-0.309601694345,0.0048108920455
10398,-0.53070127964,-0.823340117931,-0.113441586494
5708,-0.628205537796,-1.04403209686,0.781361222267
1213,0.430143684149,0.379574328661,-0.918780863285
226,0.421563357115,-0.684111595154,-1.13046526909
6777,-0.237388402224,-0.732686161995,-0.432331562042
2113,-0.575036108494,-0.695522010326,-0.171983778477
3329,0.434847533703,0.579823374748,-0.128371834755
1050,2.13592243195,0.00991274230182,0.490338891745
9491,-0.507479250431,-0.91704750061,-0.503046095371
22926,-0.317864924669,-1.6528750658,0.131142377853
5899,0.654115200043,-0.874371409416,0.210918694735
5467,-0.575012564659,-1.01358342171,-0.928037822247
6774,1.12680268288,0.0273788273335,-0.0941409468651
1788,0.211725145578,-1.04875767231,-0.732716560364
5921,2.0873799324,-0.422498494387,-0.416787415743
5721,0.444683730602,0.775383234024,0.525270819664
2263,-0.216718524694,-0.377618253231,-0.391305088997
808,-0.87631893158,-0.565727472305,-0.672343790531
30001,-0.154863387346,-0.923826038837,0.622484624386
348,-0.437644690275,-0.841099619865,-0.754580616951
30849,0.584900319576,-0.521291673183,-0.310447871685
1454,-0.689447164536,-1.62491893768,0.333559632301
6500,2.01554083824,0.190121591091,-0.925811231136
5627,0.0821043550968,-0.311002105474,-0.115586742759
5715,0.550931930542,0.251156777143,-0.702071666718
4791,3.06094288826,-0.0809365063906,-0.0249355137348
56924,0.116241648793,0.689163923264,1.54601669312
2690,1.25293779373,1.55529415607,0.284288465977
