rid,ERG012_PC3_24H:BRD-K22836524-001-01-1:9.98854,ERG012_PC3_6H:BRD-K22836524-001-01-1:9.98854,ERG016_VCAP_24H:BRD-K22836524:9.99,ERG016_VCAP_24H:BRD-K22836524:3.33,ERG016_VCAP_24H:BRD-K22836524:1.11,ERG016_VCAP_24H:BRD-K22836524:0.37,ERG012_VCAP_24H:BRD-K22836524-001-01-1:9.98854,ERG012_VCAP_6H:BRD-K22836524-001-01-1:9.98854
5720,-0.184993833303,-0.355696469545,0.660976052284,0.180482566357,1.36055159569,-0.240290075541,-0.81731146574,0.478439569473
466,-0.374592065811,-0.206954628229,0.722244381905,0.463110268116,0.397882938385,0.237801089883,-0.728058934212,0.186621472239
6009,1.2600402832,0.647423267365,-0.89973294735,-0.502824008465,-0.204756379128,-0.767323613167,-1.26948094368,0.168922930956
2309,-0.348006099463,0.835119247437,1.3003436327,-0.49697458744,0.0250772610307,-0.621513843536,-0.0606306865811,1.12788009644
387,-0.368744045496,-1.09614443779,-0.508787870407,0.390141040087,-0.243866950274,-0.086290538311,-0.317740678787,0.0289114192128
3553,0.180607125163,-1.09645688534,0.0508007109165,-0.488625854254,-0.601088583469,-0.0385334193707,-0.0666609406471,-0.24707198143
427,-0.361639499664,-0.0754709541798,0.538501381874,0.749180734158,0.289782464504,0.579317927361,-0.616822242737,0.286696612835
5898,-2.40518927574,-0.0894928574562,-0.767678678036,0.0207261368632,-1.30383872986,0.117654532194,-0.214435815811,0.712999343872
23365,-0.406194776297,-0.179497659206,-0.710408329964,-0.28840059042,-1.86199140549,-0.839584708214,-0.197216197848,-0.0117670595646
6657,-0.0737616866827,0.508424460888,-0.0994770079851,-0.341049611568,-0.446225911379,-0.323964357376,0.712679862976,-0.29629778862
5054,-0.242104366422,-1.07398748398,0.0769703686237,0.0971774458885,0.0528780966997,0.179948329926,0.255385518074,1.02886128426
3108,-1.24805736542,0.136210605502,-0.258839190006,-0.168361544609,-0.586225152016,-0.339274704456,-0.230234146118,0.266955643892
1950,0.78611189127,1.81209468842,0.556072056293,-0.310480833054,0.204492673278,0.423529952765,0.547518193722,-0.143831938505
351,0.823615908623,-0.0426566749811,0.73091429472,0.661172270775,1.06344532967,1.62161934376,-0.748356819153,0.0536071360111
4846,0.0901926457882,0.28300267458,0.658334136009,0.000481083989143,-0.047651052475,1.1700450182,0.262591898441,-0.291432052851
1452,-0.0229560360312,-0.554487884045,0.379955112934,-1.0448153019,-0.523370325565,-0.466400146484,0.00133174657822,0.617929935455
4776,-0.19289149344,0.937492609024,0.53273242712,-0.433577060699,-0.375179350376,-0.483589887619,0.971759438515,-0.102150261402
6908,-0.174638643861,-1.56664252281,-0.456159025431,0.2382774055,-0.590414643288,-0.392079085112,-1.23305106163,0.353081583977
672,-0.453763365746,-0.239174425602,-1.25481438637,0.0856794565916,-0.0867838263512,0.034808922559,-0.921052873135,0.282616138458
