rid,CPD002_MCF7_24H:BRD-K16077845-001-03-8:10,CPD002_MCF7_6H:BRD-K16077845-001-03-8:10,CPD002_PC3_6H:BRD-K16077845-001-03-8:10,CPD002_PC3_24H:BRD-K16077845-001-03-8:10
5720,-0.34067311883,-0.546055138111,-0.439888775349,-0.602400779724
466,0.572733640671,-0.188565671444,-1.11815214157,0.291371613741
6009,0.312886595726,0.393175184727,0.764305949211,1.01347184181
2309,-0.233924999833,-0.0841895192862,0.287919074297,1.78851604462
387,-0.393807411194,-0.305372983217,-0.515259206295,-0.306240320206
3553,-0.570175766945,-0.996129512787,1.22142922878,3.24484491348
427,0.271989047527,1.10339987278,0.175119146705,0.455715119839
5898,0.0511572510004,-0.787874281406,-0.446803957224,0.254750967026
23365,0.453402251005,1.76103055477,1.48469114304,-0.0428804792464
6657,-0.150085657835,-0.0916269719601,0.672193050385,-0.27595064044
5054,-0.214294046164,-0.47426366806,0.213989585638,-0.244860306382
3108,-0.249564111233,-0.416006177664,0.197587549686,0.289268225431
1950,-0.0322489514947,-0.488285064697,-2.05557918549,-0.743035018444
351,-0.0821982845664,-0.114194452763,0.58820027113,-0.134844124317
4846,-1.72897624969,0.505106389523,-0.100838422775,-0.310404658318
1452,0.0764010995626,-0.209925323725,0.305720150471,0.215332537889
4776,-0.182892516255,1.26420652866,0.756721735001,0.282566905022
6908,-0.255027115345,-0.78590118885,0.995052933693,0.59177172184
672,0.97955083847,0.229732394218,-0.605897545815,-0.531077444553
5710,-0.302028477192,1.09927892685,0.520220160484,0.210633993149
2115,-0.876548230648,-0.27525806427,0.100473582745,-0.916780948639
7015,-0.557785332203,-0.885120391846,0.270334243774,0.709238886833
8726,0.993340432644,0.769217789173,0.0826305299997,0.358681201935
2185,-0.577823996544,-0.59735918045,0.685687184334,0.539084136486
3315,-0.566772043705,0.184222489595,0.458322942257,-0.719887137413
5289,-0.365078687668,-2.7785217762,0.445257753134,-0.52652078867
868,-0.166761860251,0.402910590172,-0.0545208752155,-0.0971985459328
1677,0.28898832202,0.114613473415,2.39207673073,0.604298472404
7043,-0.83443915844,0.467798054218,0.974176645279,-0.389146029949
5613,0.392801195383,-0.133385166526,0.298599720001,1.2494969368
595,0.0464004799724,0.374889761209,0.282863229513,-0.446289002895
4793,0.298963606358,0.323771357536,0.401512145996,0.500193655491
2736,-0.699206411839,-0.152812182903,0.158572301269,-0.459534585476
5290,0.256566673517,-1.32554638386,-0.0892497599125,0.280564785004
6194,0.165127187967,-0.22191876173,-0.531981706619,0.129637867212
1676,0.118326835334,0.255883812904,1.115046978,0.53531908989
23512,0.187858119607,0.36808681488,-0.456127732992,0.252876162529
148022,-0.0741309374571,0.176001548767,0.883027374744,0.371657848358
1906,-0.613530993462,-0.00275585800409,0.707047104836,-0.417780697346
8878,-0.365222811699,0.167186751962,-0.3507784307,-0.101560711861
3091,-1.14106798172,0.0421635806561,-0.563123106956,0.496667146683
5743,-0.114609345794,-0.310457646847,1.67807006836,1.37665009499
5321,-0.157618552446,-0.216311603785,0.376112192869,0.171751797199
4144,-0.516482591629,-0.653075456619,0.359330832958,0.175962120295
1981,-0.0496307760477,0.0975701585412,0.173837274313,-0.186762094498
695,-0.108668670058,0.336272060871,-1.35781002045,0.806315779686
10398,-0.0695971697569,-0.693144977093,-0.154571175575,-1.11124253273
5708,-0.0539472252131,1.296910882,1.04276072979,0.640505313873
1213,0.0393829680979,0.889599442482,0.182745814323,-0.251343220472
226,-0.209585472941,-1.46218526363,0.494289219379,-0.507182180882
6777,0.27018392086,0.926909983158,0.166095048189,0.0991999804974
2113,-0.414991557598,-0.701835751534,1.10063862801,2.00555610657
3329,0.604810118675,0.937294900417,-3.69953632355,0.564367771149
1050,-0.652526199818,0.0866342633963,1.01356756687,0.125433892012
9491,-0.889964342117,-0.273971736431,0.364698678255,0.0372816063464
22926,-0.879884600639,-0.169866278768,0.0582054629922,-0.20569190383
5899,-0.466607630253,-0.165257409215,-0.199770450592,-0.768960237503
5467,-0.843236327171,0.0224949717522,3.34771203995,3.48232293129
6774,0.419953405857,1.69049847126,-0.790681540966,0.437799870968
1788,-0.348774015903,0.401619404554,-0.0146794468164,-0.0473980009556
5921,-0.179531231523,4.27759695053,-0.510084629059,-1.14520275593
5721,0.807302951813,-0.700639247894,0.54906129837,0.460165977478
2263,0.0532900094986,-0.598558843136,0.228344619274,0.173082113266
808,0.0803180038929,-0.565520823002,-0.866004943848,0.20990164578
30001,-0.356491088867,-0.0862410068512,-0.445658713579,-0.455485880375
348,-0.84387075901,-0.672608435154,0.679208636284,-0.423862755299
30849,-0.327964991331,1.06083452702,0.401771128178,0.701126813889
1454,0.0443857610226,-0.11148904264,0.801651537418,0.145405471325
6500,0.368746221066,6.34234380722,-0.203721925616,-0.0400507748127
5627,0.373144865036,-0.284202873707,8.73409461975,-0.562474489212
5715,0.0653129592538,0.437349289656,-0.329863846302,-0.988982856274
4791,0.279640197754,9.62547302246,5.73313903809,0.163753926754
56924,-1.35248708725,2.33970212936,-0.127449393272,0.859808206558
2690,0.51606553793,-0.0764449983835,-0.540732324123,0.781914889812
1019,0.944035053253,-0.462798058987,-0.642347812653,0.278505116701
51422,-0.21500004828,-0.113914743066,4.32491016388,-0.182550221682
5788,-0.273627132177,0.495272666216,0.320294737816,-0.0993232876062
6709,-0.288819372654,-0.00512215401977,0.223712712526,-0.432913422585
1277,-0.606598854065,-0.319220125675,-0.941921412945,-0.425080299377
993,-0.242241740227,-0.178874507546,1.24994730949,0.877891361713
7157,0.503536462784,0.681892752647,3.79109740257,-0.339559823275
1958,0.293866455555,2.59791874886,0.210474640131,0.122644841671
4582,0.3212479949,0.276563405991,-0.25892418623,-0.804653763771
9212,-0.544327735901,-0.0270432755351,0.149547755718,-0.262203276157
8440,1.35178732872,-0.813918530941,-0.452291846275,-1.30338263512
6790,-0.457867205143,0.428974419832,0.422526896,-0.257771730423
8851,0.268855005503,0.568034768105,4.56618452072,-1.45142841339
2534,-0.177713289857,0.392626196146,0.731877982616,-0.826467454433
4893,0.0910378843546,-0.520986735821,0.117813244462,-0.599000513554
665,0.1639290452,1.61467015743,-0.378000557423,-0.715701699257
4313,-0.17874571681,1.17615532875,-0.157450675964,-0.112723141909
1022,-0.401659220457,-0.10533259064,-1.26251530647,-0.179175823927
5880,-0.29697740078,0.774967908859,-0.610575914383,0.720643937588
3162,-0.123648948967,0.670114398003,0.984402060509,2.41265869141
1282,-0.125289648771,-0.969373464584,0.993710458279,0.767102241516
3383,-0.432723879814,0.0666852891445,-0.86525785923,0.371220529079
727,-0.463061869144,6.55559635162,1.03159308434,-0.500444352627
4792,0.322395682335,1.11160337925,-1.46784853935,-1.44641709328
4794,-0.327328771353,0.136721134186,0.53657078743,-0.489389061928
902,0.136157721281,-0.0336781144142,0.21617385745,0.476131975651
8091,-0.531304180622,1.33541870117,-0.340195059776,-0.992584586143
3486,-0.686330497265,-0.316544890404,0.0542266182601,-0.0689118281007
10818,-1.03335309029,-0.170475050807,1.27171754837,0.0262925028801
3454,-0.652224421501,-0.138583317399,1.38438010216,-0.0198765993118
4282,0.0292283892632,0.569218277931,0.0783012807369,-0.734245598316
1605,-0.0200930088758,1.24397158623,-0.473937213421,-0.133853986859
10644,-0.0906751900911,-0.0344962701201,-1.51411581039,-1.25924491882
2065,1.58163917065,1.28535795212,-1.03499937057,0.715864896774
8321,-0.372758030891,-0.682611584663,-0.609668850899,-0.370164334774
8503,0.00172732025385,0.0767901539803,-0.246122583747,-0.894706010818
7027,-0.606101751328,-0.615848243237,-0.0852557644248,0.733669579029
6850,-0.565169870853,-1.08757889271,-0.75021314621,0.452865600586
1978,0.256045073271,0.602419674397,0.436792731285,0.341797530651
896,0.17535404861,-0.343697369099,0.164205625653,-1.25062334538
5777,-0.213943958282,0.434296905994,0.165774151683,-0.798722147942
1846,0.625190556049,0.106297113001,-0.273943394423,-2.68908452988
5925,-0.1182038486,-0.330574631691,0.781033694744,0.143883109093
142,-0.792610168457,1.55527830124,0.00360184907913,-0.931945860386
1021,0.079418182373,2.820520401,8.69291877747,0.688277125359
5699,-0.102503053844,-1.7587916851,1.30965733528,1.55266880989
8061,-0.281191796064,0.959624648094,0.0920754224062,0.392316430807
1870,-0.207289472222,0.0298958420753,-0.375265628099,0.509410917759
1398,1.05334913731,0.442791879177,0.567019641399,0.983674764633
3312,0.242915153503,-2.80316114426,0.221359580755,0.281350046396
891,0.546087682247,0.98681730032,-4.86348676682,-0.378780305386
4775,1.59389591217,0.374087959528,0.911735057831,0.0575809702277
5111,-4.93883323669,0.468946784735,1.0368013382,1.01780176163
5696,-0.936060488224,-0.935056805611,0.284526020288,-0.176736980677
5588,-0.469282388687,-1.07801818848,-0.159758925438,-1.15326833725
6839,0.00334307551384,-0.038759406656,-0.518598914146,-0.492980718613
329,-0.804787099361,-0.302241832018,-0.813504755497,-0.309289813042
5058,-0.452162414789,-1.86496150494,-0.830186605453,-0.0706120282412
998,-0.0174632295966,0.556236147881,0.018080085516,-1.1471824646
9134,0.13417430222,-0.854229092598,-0.906138598919,-0.412863790989
6616,0.113562896848,-0.619909286499,0.479700088501,0.302746504545
5223,-0.279411971569,-0.212815672159,-0.495117664337,-0.17458768189
4690,-0.269982755184,-1.13527834415,0.430383145809,-2.34312868118
958,0.134683072567,-0.552329897881,0.0791841819882,0.186574816704
1616,-0.303711235523,-0.162220805883,-0.523955583572,-0.215025886893
991,-0.884988188744,0.12099058181,-1.02975416183,-0.282019138336
6347,0.130270808935,-0.486941576004,-0.562236905098,-0.185193493962
6714,0.969168424606,1.18995630741,0.411993801594,0.151279807091
652,-0.653725504875,0.654675424099,-0.336919039488,-0.445574909449
4331,0.268757224083,-0.893841207027,-0.0483112186193,-0.371919155121
7099,-0.441734135151,-1.34658706188,0.732027232647,-0.77675807476
10320,-1.23136556149,0.0754469558597,0.834936261177,-0.552552521229
2042,-0.172714963555,1.80178332329,0.466804504395,0.019097039476
843,-0.367903351784,-0.935366988182,0.229950174689,-0.379753321409
840,1.35293519497,0.298605233431,0.227846130729,1.67443776131
7048,-0.681937992573,-0.929476201534,1.14425384998,-1.29656529427
4851,-0.553003251553,0.513848185539,1.20381212234,0.0494361668825
6464,0.241453021765,-0.576968550682,-0.0821029022336,0.220927476883
23410,-0.771151006222,-0.233701407909,0.899068295956,2.84609603882
54205,0.391731530428,0.527131319046,-0.491304755211,0.786772012711
2770,0.363952189684,0.105983562768,-0.229663044214,0.824238061905
80204,-1.25100135803,0.333860218525,0.0760008990765,-0.513487696648
4208,1.94867455959,-0.612195134163,-0.36212465167,0.111778728664
1845,-1.85013449192,-0.0103698121384,0.0789003074169,-0.395339727402
23368,-0.149212598801,-0.0763788744807,0.0397711992264,-0.630875527859
5583,0.496719032526,1.12855267525,-0.344243317842,0.635822415352
8900,-0.756446063519,-0.616178929806,0.818925261497,1.6142282486
581,0.617670357227,-0.435387909412,1.09076547623,-0.430305302143
6193,-2.72800707817,-0.609632194042,0.0326548069715,0.462415158749
6622,-0.744359016418,-0.557560861111,-0.256447404623,0.564004719257
11261,0.668718993664,0.306690633297,0.0804068595171,0.847619771957
6696,0.425581395626,1.13364243507,1.09863209724,-0.417418479919
8312,-0.771217823029,2.40405106544,2.35921907425,0.480764508247
835,-0.174333304167,0.847589671612,0.442693352699,-0.307766675949
8324,0.250450015068,-0.321916699409,-1.10485100746,-0.930904865265
1848,0.0356527194381,-1.05114543438,-0.12787117064,-2.63554739952
154,0.813163042068,-1.01532077789,2.64626073837,2.92921543121
4312,-0.160684660077,0.381741464138,-1.25560808182,-1.53796684742
994,0.0542206913233,1.22215163708,0.293455123901,-0.755333304405
2048,0.0958696007729,-0.811190664768,-0.657889902592,0.587809801102
1111,0.933242380619,0.36996036768,2.17950034142,0.680036127567
5154,0.18320864439,-0.345475703478,0.157616615295,0.350299954414
2920,-0.728302240372,0.623749315739,-0.531023144722,-0.180693745613
3122,-0.154118865728,2.59770202637,0.97501373291,0.229983299971
2769,-0.65853536129,0.432350456715,0.112222351134,-0.0691788196564
5900,-0.262296319008,0.685965538025,0.143813431263,0.27549636364
6304,0.127398699522,-0.409053385258,-0.952583909035,-0.570793092251
5211,-0.275840818882,0.463951349258,-0.513849198818,-0.0449510812759
2886,0.288426727057,-0.772517800331,-0.430274814367,0.153025075793
9261,-1.44812941551,-0.779057621956,-0.0728427171707,0.0255741477013
8569,-0.499765098095,-0.124043941498,-0.0527873113751,0.66510373354
3303,-0.817704796791,-0.500706076622,0.378621280193,-0.140785962343
5331,-0.832867503166,0.464585125446,0.292836427689,-0.587525725365
5347,-0.124741241336,0.428641021252,-0.190452128649,0.034441575408
4638,-0.543083071709,-0.763699829578,5.56627416611,0.396025717258
2264,0.229624837637,-0.578857064247,0.214600294828,-0.363860458136
1029,-0.853201270103,-0.474178671837,0.286649763584,-0.375137478113
1027,0.642198801041,1.25241923332,-0.782472133636,-0.49663323164
2597,-0.375297904015,0.000114538946946,0.0,-0.318083316088
55847,0.55671018362,0.806367456913,0.679197430611,-0.215882569551
25803,-0.565346479416,-0.26094943285,0.33311021328,-0.401318281889
3480,0.403612554073,0.881018877029,2.13404464722,-0.133536815643
2946,-0.0409315079451,1.17654776573,-1.90476322174,-0.698309779167
9517,-0.429212927818,1.51927125454,0.17612759769,0.998244643211
25987,0.750239610672,0.446908921003,0.745974063873,1.47136664391
23670,-0.316026926041,-1.91088545322,-0.185960486531,0.0829774141312
11182,-0.1175416857,0.626727044582,-0.0974407792091,-0.823494255543
2146,-0.462359845638,0.567270815372,-1.26910042763,-0.48961943388
3385,-0.0174511410296,-0.192140385509,0.224268078804,0.570052504539
5261,0.545880615711,-0.83446508646,-0.898847222328,-0.331679940224
10765,-0.0362426042557,0.419752299786,-0.735628783703,-0.832168459892
25839,0.0989932492375,-0.871916472912,-1.46112239361,0.0550124049187
4172,-0.428429782391,0.442548274994,-0.500047087669,0.59408146143
23161,0.33467656374,-0.919410586357,-0.0586535781622,0.978910505772
10298,-0.571965813637,0.0935417339206,-0.211564481258,-0.932307898998
1802,-0.0275752693415,0.962643027306,0.136211022735,0.261631786823
58533,-0.0450287386775,-0.991240024567,-0.510474026203,-0.405165731907
147179,0.123784512281,-0.349857032299,-0.0815791487694,-0.0295852422714
29937,-0.537134468555,-1.08428966999,-0.059920579195,-0.82533955574
6184,-0.470779716969,2.19134092331,0.979439854622,-0.271748781204
9854,-0.635495185852,-0.604393601418,3.78113698959,0.642566740513
2553,0.0500740557909,-0.0567249432206,-1.17090439796,0.0118010044098
5440,0.59176337719,-0.389599502087,-0.107307970524,0.741621255875
54623,-0.0154416300356,-0.583427131176,0.247514903545,-0.62318956852
9533,-0.134827807546,-1.68760514259,-0.210132032633,1.12184560299
8607,-0.493090838194,0.805124878883,-0.0933292508125,0.64212179184
207,-0.115060955286,-1.26624464989,-0.580395936966,-0.182802543044
26054,0.223563462496,0.713165044785,0.99991440773,-0.309404551983
10682,0.305253595114,0.510019361973,0.33948802948,0.132811695337
8573,-0.403498768806,-0.235702514648,-0.990488648415,0.277510970831
23378,-0.0162867307663,-0.0990434736013,-0.854357421398,0.757512152195
8553,-0.858942270279,0.426482617855,-0.133142247796,-1.56796121597
622,0.00363148003817,1.34087860584,0.363598287106,0.248305380344
9467,0.677074670792,-0.731514036655,0.795029163361,0.871713578701
5525,-0.387859255075,0.387122422457,-0.412429571152,-0.293370246887
256364,-0.839574038982,5.09345054626,0.582327365875,0.626320362091
332,0.123292967677,-0.393518567085,-1.37191367149,-0.290182858706
2058,0.441977441311,0.502613127232,-0.224471330643,0.591720640659
7849,-0.629569172859,-0.929281651974,10.0,1.13790154457
23244,0.222566232085,0.490433484316,0.427234321833,-0.696052372456
7494,-0.387908637524,-0.74884390831,0.307568192482,0.520955204964
4836,-0.422117382288,-0.971387624741,0.744349122047,-0.251409798861
23647,0.195834994316,0.288741081953,-0.216249495745,-0.295982122421
10617,0.294797301292,1.26829624176,1.0075865984,-0.498293042183
2184,0.411601543427,0.267933547497,0.56811439991,0.430380642414
5355,0.70991396904,0.635300517082,1.32886457443,0.290782094002
