rid,DOS020_VCAP_6H:BRD-K76439996-001-01-8:5.4,DOS020_VCAP_24H:BRD-K76439996-001-01-8:5.4,DOS043_A375_24H:BRD-K76439996-001-01-8:5.4,DOS043_A549_24H:BRD-K76439996-001-01-8:5.4,DOS043_HT29_24H:BRD-K76439996-001-01-8:5.4,ERG010_VCAP_6H:BRD-K76439996-001-01-8:10.799,ERG010_VCAP_24H:BRD-K76439996-001-01-8:10.799
5720,0.562681615353,0.417305529118,-0.00281564891338,0.263150006533,0.915218532085,1.09854996204,1.38253545761
466,-0.0578141212463,-0.180482387543,-0.000936582684517,-1.03034996986,0.744910180569,-0.429049968719,-0.0017907358706
6009,-1.05479884148,-0.503470122814,-0.291933566332,0.00739999860525,0.791398346424,0.827600002289,0.0203616023064
2309,0.485324561596,-0.27098685503,-1.36110925674,1.09595000744,-0.702081501484,-0.679949998856,-1.5472894907
387,-0.583050191402,-0.40444996953,0.218355923891,-1.23460006714,0.189694687724,0.383599996567,2.01047611237
3553,-0.200333669782,-0.611089468002,1.27655255795,0.337850004435,0.814909517765,-1.46584999561,3.6550321579
427,-0.297072768211,0.0964917987585,-0.110238581896,-0.667450010777,-0.162890851498,0.276649981737,-1.42678773403
5898,0.137625813484,0.27269166708,0.608201861382,0.223250001669,1.26227021217,-1.61630010605,-1.32105851173
23365,0.172751933336,-0.449250102043,-0.113651067019,-0.536650002003,0.198002994061,-1.10434997082,0.13239967823
6657,-0.747691035271,-0.352514028549,0.961395859718,0.774100005627,-0.784794926643,1.26719999313,1.00269341469
5054,-0.184802159667,2.01317286491,1.07065451145,-0.381749987602,0.0604958571494,-1.23294997215,-1.26925432682
3108,0.124153345823,0.654354393482,0.165289521217,0.127149999142,-0.710913896561,0.778300046921,0.718104720116
1950,-0.482305884361,-0.281506568193,-0.0130821317434,-0.0142499804497,-0.971983730793,1.24755001068,1.66572165489
351,0.0587259158492,-0.507195055485,-0.174286544323,-0.899100065231,-1.26978182793,-0.962400019169,-1.43514835835
4846,-0.489570587873,0.435389876366,-0.0310975909233,-0.126049995422,0.092279791832,7.09004974365,0.953960835934
1452,0.968441307545,0.353413701057,-0.792773008347,-0.531149983406,0.394886791706,-1.07545006275,-3.04446005821
4776,-0.51403605938,-0.558344304562,1.67333638668,-0.608250021935,-1.25395429134,-0.561500012875,-0.211107954383
6908,1.56795358658,-0.474240094423,-0.405302852392,-0.645449995995,0.311916023493,-0.61669999361,-1.26597332954
672,0.151047468185,0.31259059906,-0.321173101664,-0.283699989319,0.493373781443,-1.27300000191,0.427944123745
5710,1.70711135864,0.182226508856,-0.184082478285,-0.2799000144,0.850925087929,-1.08364999294,-3.10765790939
2115,-0.698312401772,0.0714526921511,0.158169358969,-0.037150003016,-0.690031707287,1.53804993629,0.193785443902
7015,-0.393959075212,-0.351439893246,0.813155472279,0.179600000381,-0.824342608452,0.505050003529,0.817481279373
8726,-0.53258228302,-0.285167664289,-0.0135638527572,-0.320550024509,0.210924163461,-1.60755002499,-0.474158942699
2185,-0.59623581171,-0.334034621716,0.680562257767,-0.0665999948978,-0.578585624695,0.329650044441,-0.592389762402
