rid,DOS024_VCAP_6H:BRD-K96663038-001-01-9:5.31,DOS024_VCAP_24H:BRD-K96663038-001-01-9:5.31,DOS053_A375_24H:BRD-K96663038-001-01-9:5.31,DOS053_A549_24H:BRD-K96663038-001-01-9:5.31,DOS053_MCF7_24H:BRD-K96663038-001-01-9:5.31,DOS053_PC3_24H:BRD-K96663038-001-01-9:5.31
5720,-0.816899955273,-2.03939819336,0.435750007629,0.251650005579,-0.663049995899,0.610749959946
466,-1.95414996147,0.0216863155365,0.0457499995828,0.242149993777,-0.20450001955,0.490299999714
6009,0.39099997282,-0.440037310123,0.683200001717,-0.329400002956,1.17039990425,-0.251150012016
2309,1.1359000206,1.63836371899,0.617850005627,-0.947899997234,1.18470001221,1.08679997921
387,-1.65459990501,-1.06351184845,0.63220000267,-0.625900030136,0.552900016308,0.900849997997
3553,0.753450036049,-0.244897425175,-0.482650011778,-0.762699961662,-1.17190003395,0.0746500194073
427,-0.855999946594,0.354439854622,-1.09889996052,0.892549991608,0.0341500043869,-0.377699971199
5898,-2.62224984169,0.188553214073,0.541949987411,-0.702800035477,0.0857499986887,-0.359649986029
23365,-1.6998000145,0.766668558121,0.595399975777,-3.72630000114,0.190149992704,0.844499945641
6657,0.601549983025,-0.668449163437,0.660950005054,0.216999977827,-0.647849977016,-1.51754999161
5054,-0.0794999971986,0.101058617234,-0.039400011301,0.787150025368,-0.280900001526,0.790250003338
3108,0.91010004282,1.077657938,0.492400020361,-1.7459000349,-1.62059998512,0.68465000391
1950,1.14594995975,-0.848321437836,-0.267450004816,0.460099995136,-0.628499984741,-1.12335002422
351,1.71569991112,0.49802428484,-0.245000004768,0.630899965763,-1.71600008011,-0.458750009537
4846,-1.15600001812,-0.277367174625,-0.333200007677,0.207800000906,-0.518400013447,-0.271050006151
1452,-0.815299987793,-0.291741758585,0.070149987936,0.243050009012,-0.409699976444,-0.388950020075
4776,1.26540005207,-0.740198791027,-0.590049982071,-0.0230000019073,-0.805149972439,-1.13559997082
6908,-0.966950058937,-0.590801000595,0.793449997902,0.78409999609,0.917700052261,2.11205005646
672,-1.59909999371,0.0543669462204,-0.379150003195,0.301099956036,-0.227199971676,1.4266500473
5710,-1.15285003185,0.466632604599,1.04314994812,0.337700009346,-0.141400009394,0.747900009155
2115,-0.0207000076771,0.180369764566,-0.0730499923229,-0.246500000358,-1.32029998302,-0.423050016165
7015,2.35680007935,0.801024794579,-0.518049955368,0.181050002575,-0.816050052643,-1.05945003033
8726,-2.00480008125,0.867558836937,-0.44185000658,-1.52349996567,0.913499951363,0.847649991512
2185,0.842700004578,-0.125560760498,-0.699750006199,0.318399965763,-1.51555001736,-1.04340004921
3315,1.04100000858,0.834044575691,1.15230000019,0.469650000334,0.147649973631,0.414849996567
5289,-1.32245004177,0.0862049758434,-0.126450002193,0.158950001001,-1.22729992867,-0.909399986267
868,-0.723349988461,-0.272337436676,-0.91354995966,-0.631600022316,-0.812650084496,-0.770550012589
1677,0.647749960423,0.660837292671,0.439700007439,0.589650034904,-0.565199971199,-0.331599980593
7043,0.243100002408,0.545806765556,-0.323250025511,-0.467849999666,-1.28279995918,-0.823400020599
5613,0.602199971676,-0.197859764099,-0.232299998403,-1.15065002441,-1.39575004578,-1.46300005913
595,-0.232050001621,1.00297415257,-0.454600006342,0.783250033855,0.472000002861,0.7242000103
4793,2.36520004272,0.804939329624,1.13505005836,0.613150000572,1.27335000038,0.0216000080109
2736,0.388650000095,0.793822407722,-0.229300007224,-0.256650000811,-1.63759994507,-1.25255000591
5290,1.62849998474,-1.73192107677,-0.646049976349,0.0257000029087,-0.531850039959,-1.43645000458
6194,0.311099976301,-0.109112396836,-0.00034999998752,-0.810249984264,0.00034999998752,0.36779999733
1676,0.358850002289,-5.72999191284,-0.0422499999404,0.0584999993443,-0.673050045967,-1.04824995995
23512,-2.01955008507,0.209961175919,-0.12625002861,0.547250032425,0.365049988031,-0.834049999714
148022,-0.377300024033,1.97123789787,-0.266099989414,-0.369949996471,0.213700026274,0.466100037098
1906,0.742399990559,-0.43523350358,-0.316599994898,-0.299100011587,-0.790600001812,-1.47134995461
8878,0.239250004292,0.779511988163,0.455650031567,-0.395049989223,0.788650035858,0.548949956894
3091,0.620450019836,0.126277893782,0.453850030899,-0.471300035715,0.400000035763,0.353150010109
5743,1.40839993954,3.19119501114,0.102350026369,-0.0097000002861,0.016650006175,0.2649500072
5321,-1.09599995613,-1.03591907024,0.458649992943,-1.25279998779,-0.291799962521,-3.72469997406
4144,1.30649995804,1.08099591732,-3.37945008278,0.0764499902725,-0.85070002079,-1.06115007401
1981,-0.186050012708,0.819236695766,-0.170049995184,0.443150043488,0.392400026321,0.627149999142
695,-0.332200020552,-0.00669479370117,0.00575000420213,0.456950008869,1.09724998474,-2.23480010033
