rid,CPC005_A375_6H:BRD-K90574421-001-01-9:10,CPC005_A375_24H:BRD-K90574421-001-01-9:10,CPC005_A549_6H:BRD-K90574421-001-01-9:10,CPC005_A549_24H:BRD-K90574421-001-01-9:10,CPC005_HA1E_6H:BRD-K90574421-001-01-9:10,CPC005_HA1E_24H:BRD-K90574421-001-01-9:10,CPC005_HCC515_6H:BRD-K90574421-001-01-9:10,CPC005_HT29_6H:BRD-K90574421-001-01-9:10,CPC005_HT29_24H:BRD-K90574421-001-01-9:10,CPC005_MCF7_24H:BRD-K90574421-001-01-9:10,CPC005_MCF7_6H:BRD-K90574421-001-01-9:10,CPC005_PC3_6H:BRD-K90574421-001-01-9:10,CPC005_PC3_24H:BRD-K90574421-001-01-9:10,CPC005_VCAP_6H:BRD-K90574421-001-01-9:10,CPC005_VCAP_24H:BRD-K90574421-001-01-9:10,CPD002_MCF7_24H:BRD-K90574421-001-02-7:10,CPD002_MCF7_6H:BRD-K90574421-001-02-7:10,CPD002_PC3_6H:BRD-K90574421-001-02-7:10,CPD002_PC3_24H:BRD-K90574421-001-02-7:10
5720,0.361735314131,-0.759660065174,-0.74257838726,-0.0468872971833,0.159049987793,-0.0739797279239,1.71574997902,-0.408364057541,0.63018476963,0.722617268562,0.247250288725,0.0443820804358,-0.192122593522,-0.179432019591,0.999981820583,0.167538821697,-0.111848369241,0.0536004975438,-0.0793665796518
466,0.782924175262,-0.608028650284,-1.2214640379,-0.59435659647,0.10625000298,-0.921743035316,0.59944999218,-1.36303567886,0.727224171162,0.895260453224,-0.729713737965,-0.12020213902,1.1728233099,0.623131752014,0.892531275749,-0.561059832573,0.579621374607,-0.248196169734,-0.0269946083426
6009,0.263578265905,0.0848746672273,0.286913096905,0.807333648205,-0.111749991775,0.136810287833,0.0751999914646,1.40913891792,-0.420204699039,-0.336697041988,-0.0743908286095,-0.128453701735,0.018124230206,0.695232629776,0.746677577496,0.192891418934,-0.546528697014,-0.403810560703,-1.03256082535
2309,0.646829545498,1.14622986317,-0.327577352524,0.218311950564,0.208599999547,0.739600777626,0.800750017166,0.35197031498,-0.294252157211,-0.802464008331,-0.0989328101277,0.300535321236,0.0164830870926,0.226462453604,0.190530776978,-0.595473468304,0.109131231904,-0.252106517553,-0.285665780306
387,1.54541230202,0.246704816818,0.155169159174,-0.341573178768,0.427900016308,-1.05553746223,0.319499999285,-0.375418782234,-0.679119110107,0.637935340405,-1.06574213505,0.472170859575,-0.414922505617,0.568476974964,0.0563253760338,-0.0146678090096,-0.322504460812,-0.979942560196,-0.465016305447
3553,-0.292538523674,-0.291593670845,0.782154142857,-0.534602999687,0.644700050354,1.27658784389,-0.147499978542,-0.44363617897,0.594612717628,-0.368257164955,-0.606131911278,0.70365935564,0.0556613244116,-0.720711886883,-1.16868841648,0.87413084507,0.706470429897,0.471894770861,0.461799860001
427,-0.0707750543952,-0.523687601089,-0.188326910138,0.268636703491,0.163950011134,0.189818844199,0.234099984169,-0.635532855988,1.00355780125,0.845318317413,-0.383032768965,-0.132774114609,-0.0838330388069,-0.124162361026,0.408288568258,0.0586620904505,-0.0989781618118,1.31355679035,-0.443261742592
5898,0.301200866699,-0.873026371002,-0.394939899445,-0.770907998085,0.0743499994278,-1.29955017567,-0.90934997797,-2.00475478172,0.742238879204,0.297788590193,0.358403503895,-0.96680277586,0.632444262505,-1.28796100616,-0.408684253693,0.315342485905,-0.339083135128,0.791723132133,0.0174136571586
23365,-0.68871486187,0.354713737965,0.835859000683,-0.980736553669,-0.387050002813,-1.92506313324,0.391250014305,-0.267664670944,-0.946034669876,0.16508051753,-0.856514573097,-0.453771084547,-0.682005167007,0.0686310455203,-0.153131529689,-0.514138400555,-0.457697272301,-0.190957903862,0.0166897475719
6657,0.429587632418,0.0523197948933,1.87309467793,-0.513817369938,-1.00189995766,1.42905938625,-0.6236500144,1.38518023491,-0.98761177063,0.124641515315,-0.0553687475622,0.9876049757,-0.187302961946,-0.239526540041,-0.672617197037,0.301967799664,-0.174943298101,1.48903012276,0.0522769726813
