rid,DOS029_VCAP_24H:BRD-K56208365-001-01-4:5,DOS033_A375_24H:BRD-K56208365-001-01-4:5,DOS033_A549_24H:BRD-K56208365-001-01-4:5,DOS033_HT29_24H:BRD-K56208365-001-01-4:5,DOS033_MCF7_24H:BRD-K56208365-001-01-4:5,DOS033_PC3_24H:BRD-K56208365-001-01-4:5,DOSBIO001_A375_24H:BRD-K56208365:9.99744,DOSBIO001_A549_24H:BRD-K56208365:9.99744,DOSBIO001_HT29_24H:BRD-K56208365:9.99744,DOSBIO001_MCF7_24H:BRD-K56208365:9.99744,DOSBIO001_PC3_24H:BRD-K56208365:9.99744,DOSBIO001_NEU_24H:BRD-K56208365:9.99744,DOSBIO001_NPC_24H:BRD-K56208365:9.99744
5720,0.665488183498,-0.623000025749,0.310031682253,1.16220259666,-0.120744526386,0.72214871645,0.407602488995,0.514471054077,0.363230258226,0.590868532658,0.190390646458,0.989899992943,1.08062553406
466,0.909562885761,-0.232700020075,0.249274119735,-0.468043059111,-0.204522028565,0.493611574173,0.0995155721903,0.0799522027373,-0.245389312506,0.36794680357,-0.946688055992,1.76950001717,1.1710370779
6009,-0.0927851200104,-0.786800026894,-1.05534398556,-0.0356690883636,-1.08565354347,0.0233129486442,0.524375796318,-0.529525399208,0.124506354332,0.0306812897325,0.269378721714,0.283800005913,-0.392421990633
2309,-0.49858212471,0.220066666603,0.760717988014,-0.110019087791,0.813833892345,0.417739897966,-0.229709252715,-0.550822079182,2.59192037582,-0.27574133873,-0.201043844223,0.793299973011,0.235736101866
387,-0.19285158813,0.147000029683,-0.704445004463,0.243240952492,0.645272731781,-0.42475271225,-0.658937752247,0.0214920639992,-0.611835241318,0.246801495552,0.62030339241,0.115550011396,-0.357123047113
3553,0.347238183022,0.588999986649,0.474929988384,-0.63226300478,-0.544791638851,1.25201797485,-0.342728734016,0.786864042282,-0.175812348723,0.128502607346,-0.201740086079,-0.254550009966,0.340565502644
427,0.0686236619949,0.193499997258,0.486037105322,-0.195488393307,-0.383248806,-0.31854134798,0.305891126394,-0.403871536255,-0.862135946751,0.436482161283,-0.238678991795,-0.151749998331,-0.651064813137
5898,1.03747725487,0.116100013256,0.510593235493,0.883303761482,0.108357563615,-0.663774430752,0.696790337563,0.449814617634,-0.093783646822,0.950627684593,0.862474918365,-1.73905003071,0.779264330864
23365,0.596708714962,0.587166666985,-2.20784711838,0.707571685314,0.170123308897,-0.377523481846,-0.911356508732,0.225074097514,0.0531150400639,-0.287498533726,0.106157839298,0.158649995923,-0.32527166605
6657,-0.722053766251,1.17560005188,0.00369414687157,-0.733320951462,-0.528981328011,0.136399134994,1.31977319717,0.869887530804,0.682759523392,-0.638161182404,-0.559416413307,-1.22950005531,-0.247664019465
5054,1.6090195179,-2.57233333588,0.481196522713,0.186715349555,-0.0690038949251,0.129879102111,-0.640519440174,-0.162268981338,-0.675471186638,-0.57123696804,-0.367642343044,0.664950013161,0.342817515135
