rid,CPC013_A375_6H:BRD-K49861754-001-04-3:10,CPC013_A549_6H:BRD-K49861754-001-04-3:10,CPC013_A549_24H:BRD-K49861754-001-04-3:10,CPC013_ASC_24H:BRD-K49861754-001-04-3:10,CPC013_HA1E_6H:BRD-K49861754-001-04-3:10,CPC013_HCC515_6H:BRD-K49861754-001-04-3:10,CPC013_HEPG2_6H:BRD-K49861754-001-04-3:10,CPC013_HT29_6H:BRD-K49861754-001-04-3:10,CPC013_MCF7_6H:BRD-K49861754-001-04-3:10,CPC013_MCF7_24H:BRD-K49861754-001-04-3:10,CPC013_NEU_24H:BRD-K49861754-001-04-3:10,CPC013_NPC_24H:BRD-K49861754-001-04-3:10,CPC013_PC3_6H:BRD-K49861754-001-04-3:10,CPC013_PC3_24H:BRD-K49861754-001-04-3:10,CPC013_SKB_24H:BRD-K49861754-001-04-3:10,CPC013_VCAP_6H:BRD-K49861754-001-04-3:10,CPC013_VCAP_24H:BRD-K49861754-001-04-3:10
5720,0.19049757719,-0.322649985552,0.396700024605,0.371313840151,-0.83816665411,1.21435785294,-0.320970624685,-0.0872332155704,0.338497132063,2.17894339561,-0.266999989748,-0.189440280199,0.48356154561,0.531736016273,0.943818807602,0.0558341518044,1.01066982746
466,0.622392296791,0.322950005531,-0.410000026226,0.984590172768,-0.910700023174,-0.106490261853,0.536978423595,-0.221636354923,-0.0286711454391,-1.08583700657,0.410300016403,0.445346295834,1.65621745586,-0.949176192284,0.111559867859,0.293901056051,0.424394249916
6009,-0.826851963997,-0.947299957275,-0.0552999973297,-0.677948951721,-3.21516680717,0.604519844055,-0.341058552265,-0.380460977554,-1.09287571907,-0.87645983696,1.48985004425,-0.848138213158,-0.0657292604446,-0.355154037476,-1.45015215874,-0.661907911301,0.582873463631
2309,-0.640350759029,0.211300000548,0.471399992704,0.176065072417,-1.40860009193,0.929680287838,-0.527293682098,2.25740289688,-0.333343803883,0.924174308777,0.581750035286,-0.722408890724,2.01249623299,-0.923908531666,-0.149403229356,-1.89247691631,0.557893037796
387,-0.35683247447,-0.719650030136,-0.375949978828,0.375312387943,-0.953566670418,0.405306279659,-0.459085255861,0.0929157212377,-0.380518347025,-0.0324455276132,0.652350008488,-0.32169008255,0.506476581097,-0.394301772118,-0.681539177895,-2.28509378433,-0.970902919769
3553,-0.681281030178,0.0936499983072,-0.0876000225544,-0.561098515987,0.2431666255,-0.505372524261,-0.205879598856,-0.693774104118,-0.119214549661,-0.516877055168,-0.656700015068,0.000424385070801,0.536135792732,0.42667722702,0.375890880823,0.504990518093,-0.217956110835
427,-0.919886112213,0.315949976444,-0.594449996948,-0.596714437008,-0.390766650438,-1.09869146347,-0.881527721882,-0.451427400112,-0.636202633381,0.761489033699,-0.314300000668,-0.613743543625,0.700064659119,-0.708322882652,-1.04220223427,0.746530652046,0.156088590622
5898,0.195438593626,0.184599995613,0.445050030947,0.34900444746,-1.97586679459,-1.05897474289,-0.228144600987,-0.652788639069,-0.0717717036605,0.849729299545,-0.411149978638,-0.630388736725,-0.226313263178,-0.359200507402,-0.162694662809,0.653919816017,-0.267608761787
23365,0.0336299352348,0.15094999969,0.67040002346,-0.143973141909,-1.43920004368,-1.26429367065,-0.284911751747,-0.290700495243,-0.480490446091,0.349498122931,0.452450037003,-0.13959646225,-0.411287605762,-0.442501068115,0.124224789441,0.230181649327,-0.178654268384
6657,-0.545997858047,0.394699990749,-0.229550004005,1.52758669853,0.0340000092983,-0.744795620441,0.177899718285,-0.419366031885,0.16863578558,-0.24447375536,1.42304992676,-0.346552699804,-0.483371078968,-0.243573799729,0.192206457257,-1.44700992107,-0.43258535862
5054,-0.583675563335,-2.1615998745,-0.779500007629,0.237984344363,-1.49896669388,-0.278495877981,1.20682954788,-0.0731657221913,0.157159954309,-0.0204727500677,-0.853350043297,-0.398535698652,0.00430297106504,-0.293252259493,-0.48268994689,0.69892847538,-0.208548814058
3108,-0.273829400539,-0.134100005031,0.212499976158,-0.406658232212,3.36943340302,1.24764943123,0.618656098843,0.0610418133438,-1.48516798019,0.422031521797,3.92740011215,3.10146045685,-0.257287800312,-0.326010376215,0.131677106023,-0.633854746819,-0.0830711126328
