rid,CPC003_HA1E_6H:BRD-K40990712-001-02-4:10,CPC003_HA1E_24H:BRD-K40990712-001-02-4:10,CPC003_HCC515_6H:BRD-K40990712-001-02-4:10,CPC003_HCC515_24H:BRD-K40990712-001-02-4:10,CPC003_PC3_6H:BRD-K40990712-001-02-4:10,CPC003_PC3_24H:BRD-K40990712-001-02-4:10,CPC003_VCAP_6H:BRD-K40990712-001-02-4:10,CPC003_VCAP_24H:BRD-K40990712-001-02-4:10,CPC018_A375_6H:BRD-K40990712-001-02-4:10,CPC018_A549_6H:BRD-K40990712-001-02-4:10,CPC018_ASC_24H:BRD-K40990712-001-02-4:10,CPC018_HEPG2_6H:BRD-K40990712-001-02-4:10,CPC018_HT29_6H:BRD-K40990712-001-02-4:10,CPC018_MCF7_6H:BRD-K40990712-001-02-4:10,CPC018_MCF7_24H:BRD-K40990712-001-02-4:10,CPC018_NPC_24H:BRD-K40990712-001-02-4:10,CPC018_PHH_24H:BRD-K40990712-001-02-4:10,CPC018_SKB_24H:BRD-K40990712-001-02-4:10
5720,-0.756549954414,-0.194427609444,-0.0203286111355,-0.897530078888,1.16143012047,0.272560477257,-0.286840975285,-0.506850004196,-0.577610373497,-0.546904981136,10.0,0.450018703938,0.652615368366,-0.0660463422537,1.31401598454,-1.5135999918,9.19915008545,9.31116580963
466,-1.5177500248,-1.16801965237,-0.450469851494,-0.299013912678,-3.75247621536,-0.870207667351,-0.743454635143,0.0836499929428,-0.683109402657,1.04857552052,3.06870007515,0.612460494041,-2.23148012161,0.291946917772,1.42864561081,0.391650021076,1.42239999771,0.595948457718
6009,-0.0292000006884,-0.403211414814,-0.358201175928,-0.162613838911,0.211188614368,-0.161008626223,-0.357319682837,0.587350010872,-0.154582709074,0.119018852711,-0.764800012112,0.171625182033,1.24963593483,0.341253966093,1.1060860157,-0.567399978638,-0.202400013804,-0.783581078053
2309,0.162000000477,-1.38669788837,-0.0571232140064,-1.13206398487,0.0538194552064,0.219165802002,0.127447798848,1.06885004044,0.215414091945,-0.177904754877,0.50980001688,-0.0673401653767,1.23409426212,0.375785589218,-1.91673874855,-1.22035002708,1.3953499794,1.49114501476
387,0.329300045967,-0.0398525297642,-1.00815665722,0.512820839882,0.593311190605,-0.731993317604,-0.276145756245,0.393700003624,0.24879398942,0.0636646151543,-0.239199995995,-0.610416948795,0.847385883331,0.714194297791,0.670200169086,-0.838649988174,1.35490000248,1.68251609802
3553,-0.115199998021,3.08932590485,0.0863328278065,-0.0912823230028,1.63166427612,-0.0223875567317,-0.494151294231,0.77429997921,-0.379680037498,-0.306765675545,-0.83370000124,0.485356926918,-0.889355123043,-0.603418290615,-0.564571857452,0.360600024462,-0.637950003147,-1.62307524681
427,0.0886499881744,-0.578660964966,-0.57383286953,-0.590179026127,-0.205465525389,-0.330681920052,-0.433722436428,-0.0961999967694,-0.11533947289,0.925157546997,-6.18170022964,-0.999164581299,-1.14083504677,-0.271135151386,0.707209408283,0.182099997997,4.62440013885,1.09854912758
5898,0.15949998796,-1.30512869358,-0.535339951515,-1.12675786018,0.292375802994,-0.770057737827,-0.343166351318,-0.662200033665,-0.967147290707,0.18761382997,-2.55719995499,0.0577683895826,-2.30782365799,0.350579589605,0.143060952425,1.18140006065,0.783100008965,0.203236818314
23365,0.293550014496,-0.703866362572,-1.4979557991,0.0441965647042,-0.374664306641,-0.974962353706,-0.534477114677,-0.363999992609,-0.251425951719,-0.765312194824,3.63870000839,0.737761676311,-0.605304419994,-0.194193482399,-0.0454666875303,-1.33319997787,-0.0756499767303,1.32875800133
6657,3.26900005341,2.40919160843,0.691730558872,1.10065948963,-0.306602418423,0.325273156166,-0.340106993914,0.510450005531,0.262791067362,-0.635045647621,8.50940036774,0.368176847696,-0.520657777786,-0.77369582653,-0.527268826962,-0.307600021362,2.7025001049,5.48161792755
