rid,CPC012_A375_6H:BRD-A15010982-001-01-9:10,CPC012_A549_6H:BRD-A15010982-001-01-9:10,CPC012_A549_24H:BRD-A15010982-001-01-9:10,CPC012_ASC_24H:BRD-A15010982-001-01-9:10,CPC012_HA1E_6H:BRD-A15010982-001-01-9:10,CPC012_HCC515_6H:BRD-A15010982-001-01-9:10,CPC012_HT29_6H:BRD-A15010982-001-01-9:10,CPC012_MCF7_6H:BRD-A15010982-001-01-9:10,CPC012_MCF7_24H:BRD-A15010982-001-01-9:10,CPC012_NEU_24H:BRD-A15010982-001-01-9:10,CPC012_NPC_24H:BRD-A15010982-001-01-9:10,CPC012_PC3_6H:BRD-A15010982-001-01-9:10,CPC012_PC3_24H:BRD-A15010982-001-01-9:10,CPC012_PHH_24H:BRD-A15010982-001-01-9:10,CPC012_SKB_24H:BRD-A15010982-001-01-9:10,CPC012_VCAP_6H:BRD-A15010982-001-01-9:10,CPC012_VCAP_24H:BRD-A15010982-001-01-9:10
5720,-0.67021137476,0.110164068639,-1.51909995079,0.40009984374,-1.60794901848,-0.716628551483,-0.207890078425,-0.368456363678,-1.55539321899,0.918051421642,-0.879112541676,1.53174817562,0.173492878675,1.2970802784,0.00843404233456,-0.357550442219,-1.26782751083
466,-0.0540525242686,0.647840857506,-0.589800000191,0.514643669128,-0.296811759472,0.613737285137,-0.629997730255,0.209841072559,-1.11416685581,-0.190481990576,-2.9578204155,0.258971810341,-0.528518199921,-1.67154788971,-0.0746602118015,0.133738696575,-1.18503677845
6009,-0.0677635073662,1.01357531548,-0.848399996758,0.50766068697,-0.820245623589,0.687153697014,-0.47516694665,0.591023504734,0.610310196877,0.0200586020947,-1.27488732338,0.909862458706,1.76623046398,-0.307895600796,0.941242098808,0.822047889233,-0.308120548725
2309,1.71696233749,-0.101094529033,-1.37704992294,0.397023826838,0.23253968358,-0.710279524326,-0.0894037932158,0.211172536016,-0.0029169023037,-1.08342206478,-0.557032704353,-0.00694622471929,0.643117427826,0.129999727011,-1.37842953205,0.565809309483,-0.0616968907416
387,-1.25472724438,-0.142388403416,-1.74644994736,0.15373839438,-0.141213342547,-0.419230759144,-0.157481580973,-0.402587026358,-0.66815662384,-1.51588201523,-3.96882677078,-0.209707051516,0.21562987566,-1.18480730057,-0.218059405684,1.18301641941,-0.386172443628
3553,0.982661247253,0.752953350544,0.71044999361,-0.40463578701,3.17009139061,0.0240798890591,0.292857319117,-0.208199650049,0.848007977009,0.255300909281,3.05513858795,1.93632876873,1.57783854008,-0.245738983154,0.124765813351,-0.416251182556,0.560789167881
427,-0.0804079696536,0.204034522176,-1.12979996204,-0.331912875175,-1.6623814106,-0.237011089921,0.0593453943729,-0.798990905285,1.74990534782,0.945002198219,1.88723051548,-0.448629170656,-0.881962954998,0.862370371819,-0.716849207878,0.114526681602,-0.895445585251
5898,0.183221846819,2.10184669495,0.518949985504,0.599903225899,0.770689427853,1.0070964098,-0.0331937409937,-0.50384414196,-0.340772628784,0.223209917545,1.38939809799,-0.382770597935,0.287113428116,-0.879119098186,0.226396858692,0.818167388439,-0.0882708877325
23365,-0.91315215826,1.21628141403,0.116449996829,-0.650185823441,0.275555938482,0.980129063129,0.343248814344,-0.723060965538,-0.708329975605,-0.894386589527,-1.39943957329,-0.709429323673,-0.797885477543,-1.20377874374,-0.486926943064,-0.273421615362,0.0409377962351
6657,-1.38830947876,0.311672151089,-0.0260000005364,-0.432806611061,-0.199447989464,0.967594981194,0.914889335632,-0.505400717258,0.538583397865,-3.64573955536,-7.06252574921,0.0475495010614,-1.51845777035,0.312851965427,-1.11379766464,-0.799277544022,0.163713365793
