rid,DOS010_VCAP_6H:BRD-K77629773-001-01-2:4.97,DOS010_VCAP_24H:BRD-K77629773-001-01-2:4.97,DOSBIO002_A375_24H:BRD-K77629773:9.93611,DOSBIO002_A549_24H:BRD-K77629773:9.93611,DOSBIO002_HT29_24H:BRD-K77629773:9.93611,DOSBIO002_PC3_24H:BRD-K77629773:9.93611,DOSBIO002_MCF7_24H:BRD-K77629773:9.93611,DOSBIO002_NEU_24H:BRD-K77629773:9.93611,DOSBIO002_NPC_24H:BRD-K77629773:9.93611
5720,-4.18202400208,0.89161324501,-0.276261389256,0.252792656422,0.493751943111,-0.0285522341728,0.797996282578,-0.218600004911,0.75677895546
466,-2.47498369217,-0.706087708473,0.19932025671,-1.2324410677,0.317930698395,0.422423571348,0.88774985075,0.518500030041,0.10078959167
6009,2.15227603912,0.107807472348,0.186090797186,1.14365851879,-0.229517236352,0.547261476517,-0.0987602770329,-1.11389994621,-0.0316910147667
2309,2.09085416794,-1.3470082283,-0.395116686821,0.330617547035,-0.687548995018,-0.741641044617,-1.86886036396,-0.415049999952,-0.949489712715
387,3.03501939774,-0.443648636341,0.137818694115,-0.144589588046,-0.0132367834449,-0.242620155215,-0.183690398932,-0.116050004959,-0.369731128216
3553,-0.662638485432,0.560676515102,-0.818884849548,1.29108667374,-0.529545068741,-0.590576887131,0.400738418102,0.52404999733,0.530240416527
427,-2.48717164993,0.345354408026,-1.03119289875,0.984329819679,0.0555040836334,0.713955938816,3.64619231224,0.458649992943,0.516395330429
5898,1.09220695496,-0.889240145683,0.132561534643,-2.98515248299,0.558672130108,0.707584679127,-1.32010018826,-1.1847499609,-0.474382519722
23365,0.477294564247,0.599104881287,-0.334734559059,0.678429961205,0.0867721885443,-1.87706494331,-0.614554047585,-0.779150009155,-1.14909410477
6657,0.916039168835,-0.313882350922,4.47458839417,1.50177621841,0.0811795890331,0.849842846394,0.675452828407,-0.416000008583,-1.68979465961
5054,-2.555352211,0.166148930788,1.77423834801,-1.18919241428,-0.091679006815,-0.607748270035,0.216745704412,0.702549993992,-0.567626535892
3108,4.28568935394,-0.0869728922844,0.437771618366,-0.062892138958,-0.508327245712,-0.464892357588,-0.662604689598,0.545949995518,0.222982630134
1950,-1.46991193295,1.84166705608,-0.517846941948,0.779049634933,0.379797011614,4.00405979156,0.643102407455,0.449300020933,1.61372590065
351,1.25513219833,0.643111228943,0.382694244385,-1.47544419765,-0.346501231194,0.280159980059,0.260741651058,0.256300002337,0.142373815179
4846,-0.337012380362,0.587221026421,-0.268730312586,0.94079875946,-1.03863930702,-0.116580419242,-0.101996332407,-0.106900006533,-0.0028287768364
1452,-0.284228354692,-0.506694257259,0.39943665266,0.817746579647,0.425815880299,-0.65688085556,0.205137759447,-0.118649989367,-0.857416510582
4776,-2.64257049561,-0.10547247529,-0.308841407299,-0.203430637717,-0.0241993367672,0.586215376854,-0.205384671688,-0.326699972153,-0.00199939310551
6908,-2.12382245064,-1.06636059284,-0.0935922935605,2.18339824677,-0.0531865358353,-0.823935687542,0.476109057665,-0.368799984455,-0.954119324684
672,-2.71356248856,-1.01339411736,0.178370028734,0.212012186646,0.388169169426,0.271655261517,0.63893777132,0.207849994302,0.0494139194489
5710,-2.20338082314,-0.311240106821,-0.453343242407,0.687889635563,-0.068224683404,-0.502486348152,-0.181152775884,-0.558250010014,-0.994404435158
2115,1.30493164062,-0.435934722424,-0.369416385889,-0.676262795925,0.0373907387257,-0.513133406639,0.29111123085,-0.064099997282,-0.0829675197601
7015,1.14504051208,-0.540772140026,-0.133011579514,1.78698003292,-0.199045598507,1.83818554878,0.503508210182,-0.173749998212,0.887752175331
8726,-0.080561183393,0.290811032057,0.393381148577,-1.86409878731,1.00874173641,-0.434009730816,-0.382981568575,0.573599994183,-1.17238712311
2185,1.03063261509,-0.0188575983047,-0.0454594194889,0.563638031483,-0.413293927908,1.04479682446,0.203615769744,0.127399995923,0.611905455589
3315,2.98785853386,0.250708371401,0.909757852554,0.268268883228,-0.690088152885,0.174922913313,-0.787113189697,0.475349992514,0.390005320311
5289,1.498919487,-0.862959504128,0.140829205513,1.88611721992,-0.00681989639997,0.708974599838,0.628844022751,0.0998999997973,0.637534320354
868,0.185429498553,-0.300952583551,0.435782492161,-0.239063739777,-0.160838574171,-0.369858503342,0.0906308889389,-0.0337499976158,-1.1773648262
1677,-0.224759399891,-0.920167922974,-0.295731604099,0.742870807648,0.896595001221,1.39808249474,0.852780401707,0.551599979401,0.956286489964
7043,-0.257138550282,0.0661763548851,0.186313033104,-0.315916240215,0.0913740098476,-0.552647709846,0.0612059235573,0.213999986649,0.195226877928
5613,-1.19426643848,-0.385452330112,0.183928266168,0.756351411343,-0.104165054858,1.84141528606,0.116828799248,0.446649998426,-0.000541344285011
595,-2.46886348724,0.185050904751,-0.238782033324,0.306009948254,0.294402629137,-0.860501527786,-0.244581073523,0.0652000010014,0.431882798672
4793,-0.150261998177,-0.138930410147,-0.778663992882,0.247839599848,0.0203905403614,-0.0500839948654,-0.632250964642,0.420100003481,0.352480471134
2736,1.90493452549,-0.409946024418,-1.54335689545,0.25812664628,0.157870188355,1.12514638901,-0.430762410164,-0.0554499998689,0.0775988772511
5290,1.87776482105,-0.352556616068,2.65151906013,0.136674448848,-0.360592722893,0.379522025585,-0.759304404259,0.835049986839,0.655816376209
6194,0.0,-0.366637170315,-1.13479423523,0.777805447578,-0.208570465446,0.358031392097,-0.0984056442976,-0.242449969053,-0.187252923846
1676,0.0669301226735,0.0709328651428,0.700944781303,-0.142450809479,0.280505031347,0.145076364279,0.388635933399,0.505549967289,0.282056719065
23512,-1.50524449348,0.19768294692,1.21537065506,0.438814401627,0.389408230782,-0.872105240822,0.743331432343,-0.225100010633,-0.532037258148
148022,-0.872062504292,0.268901467323,-0.461634457111,-0.0852819681168,-0.0950201004744,-0.904464125633,0.530547499657,0.076849989593,0.0607883930206
1906,0.331436604261,0.114427551627,0.298368930817,-1.55976045132,0.291856229305,1.82369661331,0.159511640668,0.248600006104,0.428489506245
8878,-3.07310390472,0.597745120525,0.363403469324,0.6096098423,0.0713428929448,-1.18412137032,-0.323720097542,-0.511349976063,-1.12742769718
