rid,DOS050_HT29_24H:BRD-K47686314-001-01-5:5,DOS050_MCF7_24H:BRD-K47686314-001-01-5:5,DOS050_PC3_24H:BRD-K47686314-001-01-5:5,ERG011_VCAP_6H:BRD-K47686314-001-01-5:10.037,ERG011_VCAP_24H:BRD-K47686314-001-01-5:10.037
5720,-0.337322592735,-0.166250005364,-0.235449999571,0.807899951935,1.36347186565
466,0.482122302055,0.421599984169,-1.21539998055,-0.669799983501,-1.1804394722
6009,-0.195797622204,-0.191999971867,-1.55714988708,0.585099995136,-0.391157031059
2309,-0.258412629366,-0.655900001526,-0.070799998939,0.907000005245,0.771466612816
387,-1.11531567574,0.604600012302,-0.643199980259,-1.28224992752,0.0169123746455
3553,0.345621317625,0.00844999402761,0.0960500016809,-0.0672000050545,-0.441542804241
427,-0.288164287806,0.104149997234,0.587700009346,-0.336700022221,-0.493212193251
5898,-1.41591775417,-1.13734996319,0.0450000017881,-1.84264993668,-1.2026771307
23365,0.230664938688,0.33930003643,1.02565002441,-0.32855001092,-0.473620325327
6657,1.07199585438,-0.345349997282,1.60159993172,0.939999997616,-0.100127033889
5054,-0.335433036089,0.295450001955,-0.370900034904,-1.27939999104,0.237754777074
3108,-0.0372580736876,-3.09695005417,-0.323949992657,-0.446149945259,-0.0112599357963
1950,0.173178687692,-0.827849984169,0.273649990559,0.328949987888,0.881089270115
351,-0.18145596981,-0.485149979591,0.0841000005603,-1.79814994335,-0.760545790195
4846,0.156735748053,0.6833999753,-0.755299985409,-0.60045003891,-0.113815076649
1452,-1.4772105217,0.902599990368,-0.767900049686,-0.947250008583,-0.605999410152
4776,0.411290287971,0.107650011778,1.43449997902,0.0753500014544,-0.173322483897
6908,0.00954837258905,0.588349997997,-1.60494995117,-0.499149978161,-0.0116298384964
672,0.236210927367,0.425149977207,0.362500011921,-1.05494999886,-0.315404087305
5710,0.158146291971,-1.22039997578,-0.885200023651,-0.0179000198841,-0.946835160255
2115,0.159297168255,0.0388500392437,0.204950004816,-0.129850000143,0.241228297353
7015,-0.442559838295,-0.469850003719,0.696200013161,1.14619994164,1.15150177479
8726,-2.13844227791,0.805150032043,-0.156549990177,-0.601750016212,-1.14455354214
2185,1.46866416931,-0.187849998474,1.78890001774,-0.187950000167,-0.216300353408
3315,0.33246576786,-0.978999972343,0.191149994731,4.26555013657,0.293532937765
5289,0.453115701675,0.519549965858,1.08174991608,0.855800032616,0.0253702923656
868,0.10891456157,-1.11784994602,0.541850030422,-0.156849995255,2.61081695557
1677,0.0676854401827,-0.956700026989,0.166500002146,-0.34295001626,0.595662415028
7043,0.68902784586,-0.211499989033,1.94409990311,-1.03500008583,-0.225018918514
5613,0.429754257202,-0.122100003064,0.635949969292,-0.197499990463,0.0998170748353
595,-0.0804838687181,0.675449967384,0.270550012589,-1.25080001354,-0.114173538983
4793,-0.512616217136,0.287200003862,0.164499998093,0.754299998283,1.50935721397
2736,0.55702060461,-0.25024998188,2.24940013885,0.22230002284,0.289349019527
