rid,CPC004_A375_6H:BRD-K30020243-051-01-7:10,CPC004_HA1E_6H:BRD-K30020243-051-01-7:10,CPC004_HA1E_24H:BRD-K30020243-051-01-7:10,CPC004_HCC515_6H:BRD-K30020243-051-01-7:10,CPC004_HCC515_24H:BRD-K30020243-051-01-7:10,CPC004_HEPG2_6H:BRD-K30020243-051-01-7:10,CPC004_HT29_6H:BRD-K30020243-051-01-7:10,CPC004_MCF7_6H:BRD-K30020243-051-01-7:10,CPC004_PC3_6H:BRD-K30020243-051-01-7:10,CPC004_PC3_24H:BRD-K30020243-051-01-7:10,CPC004_VCAP_6H:BRD-K30020243-051-01-7:10,CPC004_VCAP_24H:BRD-K30020243-051-01-7:10,CPC015_A375_6H:BRD-K30020243-051-01-7:10,CPC015_A549_6H:BRD-K30020243-051-01-7:10,CPC015_A549_24H:BRD-K30020243-051-01-7:10,CPC015_ASC_24H:BRD-K30020243-051-01-7:10,CPC015_HEPG2_6H:BRD-K30020243-051-01-7:10,CPC015_HT29_6H:BRD-K30020243-051-01-7:10,CPC015_MCF7_6H:BRD-K30020243-051-01-7:10,CPC015_MCF7_24H:BRD-K30020243-051-01-7:10,CPC015_NPC_24H:BRD-K30020243-051-01-7:10,CPC015_PHH_24H:BRD-K30020243-051-01-7:10,CPC015_SKB_24H:BRD-K30020243-051-01-7:10
5720,0.287296831608,-0.457812070847,0.0671004354954,-1.45023608208,-0.124588809907,-0.457109600306,-0.00620001554489,-0.860574960709,0.0217191800475,0.0969031453133,-1.62765920162,-0.667447984219,-0.949862599373,-1.40189993382,0.671083569527,-1.18955397606,0.153349995613,0.42636680603,0.737072646618,0.711263656616,0.555433630943,-0.609899997711,-0.131449997425
466,-0.873301506042,-0.475244671106,-1.80817139149,0.56205290556,-0.338508337736,-0.526247620583,-0.551919996738,-0.269299983978,-0.305303126574,-0.599332332611,-0.456978529692,-0.572553157806,-0.620957314968,-1.25240004063,0.758998394012,-0.998637795448,0.211149990559,0.174633339047,-0.188344299793,0.752234220505,-1.24872803688,0.390349984169,0.278499990702
6009,0.18314859271,0.055590108037,-0.183135718107,0.0635072737932,0.0395946800709,-0.364600360394,-0.560460090637,0.244075000286,-0.112799890339,-0.831953883171,-0.450557410717,-0.668482661247,2.24041700363,-1.15834999084,1.24515533447,-0.584453463554,-1.39904999733,-0.277233362198,0.164525061846,-0.0618873089552,0.739119648933,0.531350016594,0.0761500000954
2309,-0.0402228534222,-0.206236243248,0.349599033594,2.55969381332,0.178688555956,-0.549013793468,-0.233140021563,0.0229500085115,-0.024068698287,-0.580689430237,-1.97104823589,-0.691037237644,-0.598314166069,-0.543799996376,0.0243076719344,0.416400164366,-1.01520001888,-0.334900081158,0.135541081429,-0.527648627758,0.871407568455,0.0637999922037,1.55629992485
387,-0.652050673962,-0.494138270617,0.633798062801,1.9836230278,-0.36171284318,-0.236537098885,0.260699987411,-0.413925021887,-0.200795203447,-0.351250290871,-0.0839403942227,-1.24866497517,2.45713663101,-1.10509991646,0.281422823668,0.290127664804,0.226899981499,0.431099951267,-0.557114779949,0.783400177956,1.54527330399,0.2662999928,0.137199983001
3553,0.584936916828,0.784558176994,-0.694302797318,0.60190397501,0.39701884985,-0.436615526676,-0.122640050948,-0.157825022936,3.27275705338,-0.402663558722,1.59975469112,0.630268871784,-1.71047544479,1.96589994431,-0.844200968742,0.0995671823621,0.0640499964356,-0.43440002203,-0.896000266075,-0.527198135853,-0.827052950859,-0.527049958706,-0.914049983025
427,-0.745641946793,-0.799443304539,0.0235786065459,1.09765422344,-0.654613316059,-2.78938937187,-0.174439996481,0.58977496624,-0.909777343273,-0.13525390625,0.102278023958,0.275431334972,-1.18955171108,-1.65564990044,-0.264178335667,3.09696745872,-0.982749998569,0.0215333402157,0.0482628941536,0.718662977219,0.776437044144,-0.797400057316,-0.532850027084
5898,0.439782172441,-1.24615526199,0.58330309391,2.28757381439,-0.725767970085,-5.73094940186,-0.184540003538,-0.0654499977827,0.0558719858527,-0.967143476009,0.312059521675,-0.833867549896,-0.520862281322,0.104450002313,-0.658187270164,-0.437290787697,-0.566449999809,-0.0493666678667,-0.355250239372,0.566552758217,-2.97810721397,0.241600036621,-0.156899988651
23365,0.121401160955,-0.62009125948,-0.659387469292,1.74462389946,-1.45001316071,-1.03496527672,-0.112820006907,0.527400016785,0.446771025658,-0.854464709759,-0.752407431602,-0.741539716721,-1.46794271469,-0.71179997921,-0.210887491703,-0.298010617495,-0.0311499834061,0.766900002956,-1.27534306049,-0.340292453766,0.675840139389,0.392600029707,0.292100012302
6657,0.439697474241,0.70839625597,1.24696588516,1.89109826088,0.295558452606,-0.468844354153,-0.148659974337,1.2927750349,0.617726802826,0.600587010384,1.2382055521,0.533248126507,-2.09258937836,1.58299994469,-1.00645232201,-0.150526106358,0.172049999237,0.226599991322,-0.276415139437,-0.587268292904,0.670146942139,-1.13969993591,-0.673350036144
