rid,DOS025_VCAP_6H:BRD-K75693278-001-01-0:4.77,DOS025_VCAP_24H:BRD-K75693278-001-01-0:4.77,DOS047_A375_24H:BRD-K75693278-001-01-0:4.77,DOS047_A549_24H:BRD-K75693278-001-01-0:4.77,DOS047_HT29_24H:BRD-K75693278-001-01-0:4.77,DOS047_MCF7_24H:BRD-K75693278-001-01-0:4.77,DOS047_PC3_24H:BRD-K75693278-001-01-0:4.77,MUC.CP002_MCF7_6H:BRD-K75693278-001-01-0:9.5486,MUC.CP002_MCF7_6H:BRD-K75693278-001-01-0:3.1829,MUC.CP002_MCF7_6H:BRD-K75693278-001-01-0:1.061,MUC.CP002_MCF7_6H:BRD-K75693278-001-01-0:0.3537,MUC.CP002_MCF7_24H:BRD-K75693278-001-01-0:3.1829,MUC.CP002_MCF7_24H:BRD-K75693278-001-01-0:0.3537,MUC.CP002_MCF7_24H:BRD-K75693278-001-01-0:9.5486,MUC.CP002_MCF7_24H:BRD-K75693278-001-01-0:1.061,MUC.CP002_NKDBA_24H:BRD-K75693278-001-01-0:9.5486,MUC.CP002_NKDBA_24H:BRD-K75693278-001-01-0:3.1829,MUC.CP002_NKDBA_24H:BRD-K75693278-001-01-0:1.061,MUC.CP002_NKDBA_24H:BRD-K75693278-001-01-0:0.3537
5720,0.429966926575,2.82541275024,-1.15065002441,-1.68175077438,-0.503893077374,0.288331866264,0.468059420586,-0.486688673496,1.04924535751,3.36460018158,-1.60646867752,-0.66865003109,-1.02269995213,1.38010001183,-0.0423999987543,0.736064851284,-0.269265830517,-0.815192580223,-0.948133945465
466,-0.0236204564571,0.876662433147,-0.902099967003,-0.723281085491,0.554454386234,0.183479204774,0.84818649292,-1.07209944725,-0.486915528774,2.3234000206,-0.373696118593,-0.202199995518,-0.0552000105381,-0.962499976158,-0.569000005722,0.178071111441,0.49205583334,-0.50777566433,0.121304214001
6009,0.0163301825523,1.23539102077,0.67074996233,0.715285599232,0.558136165142,-0.274592041969,-0.786584436893,0.290671974421,1.78764176369,-0.389466702938,0.596623003483,-0.185499995947,-0.727500021458,-1.86479997635,0.153099998832,1.07746958733,0.692036569118,0.0327115058899,0.854207456112
2309,-1.45840370655,0.607113301754,-1.09839999676,-1.92834305763,0.432975739241,-0.0290671437979,-0.27375203371,0.0421661138535,1.36708283424,-0.294266700745,0.31139677763,1.25160002708,1.33614993095,-0.902499973774,0.269100010395,-0.737744688988,-0.751415371895,-0.837728142738,0.767733454704
387,-1.44611060619,-0.0448008030653,0.528699994087,-0.112057924271,-0.263132750988,-0.396491736174,0.293368756771,1.72374236584,1.23923075199,-0.402900099754,0.364399582148,1.22045004368,0.953299999237,-0.528999984264,-0.00899999961257,1.47119307518,0.48089158535,-0.212309166789,0.623964428902
3553,0.110978424549,0.503423810005,-0.131999999285,2.00385642052,2.08235001564,1.59213161469,-0.0191571414471,2.55652284622,-0.0548037961125,0.585966706276,0.866356134415,0.416999995708,0.110300004482,0.645399987698,0.472799986601,0.180955424905,0.430707573891,0.955080389977,-0.584802389145
427,0.289479464293,0.144501686096,0.00735002756119,-1.2536906004,-1.77178955078,0.377817720175,-0.461471259594,-0.504293203354,0.0210888497531,1.80650007725,-0.159256160259,-0.576000034809,1.42720007896,-0.154599994421,0.867699980736,0.197166085243,-0.924247145653,-0.183926954865,-0.23265093565
5898,-0.826897740364,0.423729896545,0.0443500131369,-0.499120861292,0.67989718914,0.0525181144476,0.584838747978,-2.64364409447,-0.736772537231,0.143733382225,-1.0695066452,-0.791649997234,-1.14665007591,0.0688999965787,-0.965699970722,-0.265330195427,-0.365279376507,-0.0999183952808,-0.601329684258
23365,0.0818601697683,-2.66462993622,1.13599991798,1.86779010296,0.710398435593,-0.571541726589,0.10924743861,1.47063350677,0.0788140296936,1.04570007324,-0.83536362648,0.0376500487328,0.961650013924,-1.19110000134,-0.413399994373,-0.418020099401,0.848481297493,-0.182014465332,-0.46857881546
6657,-0.186380058527,0.178169861436,-0.565799951553,0.520786106586,0.485225021839,1.66966402531,1.29479324818,2.54802680016,0.386466354132,0.835000038147,1.18019449711,0.569050014019,0.544050037861,1.41240000725,0.70759999752,0.382730126381,0.885349988937,1.50300502777,-0.482858866453
5054,0.598679184914,-0.334693014622,-0.987300038338,0.24239513278,-0.356321364641,-0.28882792592,1.4337438345,0.953957438469,-0.247150480747,-0.132333338261,0.910238444805,-0.147699996829,0.287699997425,4.50430011749,1.81610000134,-1.77421581745,-0.338247001171,-2.09110546112,-0.129833251238
3108,0.0431221202016,-0.107861272991,1.24890005589,-0.0394550934434,-1.18512761593,0.752849757671,0.172391057014,1.38062644005,1.11356341839,0.608633339405,-0.207908645272,3.85699987411,4.96799993515,0.82389998436,0.0,2.29041433334,0.266803264618,-0.172270417213,0.688119351864
1950,-0.294474065304,-0.216081470251,0.222499996424,0.406913131475,-0.334054112434,0.78849709034,0.0586887151003,0.240702450275,0.872215151787,-0.0334666967392,0.419504493475,0.435750037432,0.626900017262,2.98020005226,0.904100000858,0.717134535313,-0.116372779012,1.2904034853,-0.11742875725
351,1.12058961391,-0.329219996929,-0.674499988556,0.145027622581,-0.647858738899,0.452984035015,-1.68813550472,-0.533913493156,0.249477684498,0.132266670465,-0.279428184032,-0.0385999977589,0.115100026131,-0.486699998379,0.16400000453,-0.3354395926,-0.693481266499,-0.622086882591,-1.55824100971
4846,-0.79628610611,0.0464473813772,-0.107849955559,0.19266037643,-1.02082085609,-3.09048867226,0.458304256201,0.658422708511,0.836532711983,2.3968334198,0.0261851251125,1.68540000916,4.71689987183,5.72779989243,1.67540001869,2.34598517418,0.00676004588604,0.514481902122,-0.244518116117
1452,0.0304818488657,-0.840293347836,-2.63180017471,-0.838909327984,-1.0726583004,1.359364748,-0.136745542288,-0.272533386946,-0.993958234787,-0.0169000029564,-1.41754746437,-0.956049919128,0.132349997759,0.596000015736,-0.428999990225,0.494379460812,0.422288268805,-0.169258564711,0.75109654665
