rid,DOS029_VCAP_24H:BRD-K42454450-001-01-7:5,DOS033_A375_24H:BRD-K42454450-001-01-7:5,DOS033_A549_24H:BRD-K42454450-001-01-7:5,DOS033_HT29_24H:BRD-K42454450-001-01-7:5,DOS033_MCF7_24H:BRD-K42454450-001-01-7:5,DOS033_PC3_24H:BRD-K42454450-001-01-7:5,DOSBIO001_A375_24H:BRD-K42454450:9.9971,DOSBIO001_A549_24H:BRD-K42454450:9.9971,DOSBIO001_HT29_24H:BRD-K42454450:9.9971,DOSBIO001_MCF7_24H:BRD-K42454450:9.9971,DOSBIO001_PC3_24H:BRD-K42454450:9.9971,DOSBIO001_NEU_24H:BRD-K42454450:9.9971,DOSBIO001_NPC_24H:BRD-K42454450:9.9971
5720,1.19712114334,2.26261091232,0.0909107327461,0.224091127515,0.177281022072,0.308641135693,0.505051732063,0.0712144523859,0.493200004101,0.658048927784,0.692766606808,1.53220009804,-0.303803533316
466,0.667969286442,1.1385653019,-0.651955604553,0.849646925926,-0.272879332304,-2.12040448189,0.110543452203,-0.882778525352,-0.127499997616,0.410364866257,-0.86459672451,1.18094992638,0.758574128151
6009,0.317135870457,0.998669743538,-0.037508957088,-0.966718196869,-0.578674554825,-0.0239989869297,0.751492142677,1.17089474201,0.142349988222,-0.0594829618931,-0.133530527353,0.62524998188,0.725401103497
2309,0.241614460945,1.00705897808,-0.273723810911,-0.43802344799,-3.72870159149,-0.919250607491,-0.667160868645,1.00479900837,0.137299999595,-0.714753866196,0.255441904068,0.969300031662,2.18795824051
387,-2.0680334568,1.0802500248,-0.501698374748,-0.712933182716,-0.0190589725971,-1.17317116261,-0.0350450798869,-0.538229167461,0.123449981213,-0.0951223224401,-0.63928347826,0.406450003386,0.277861088514
3553,0.415308535099,-0.863983750343,0.378867566586,0.192699670792,2.50316095352,0.69135004282,-0.260582357645,-0.00527320057154,-0.115699991584,-0.533998012543,0.552546024323,0.34375,-0.0254466235638
427,-0.807783842087,-0.172373622656,0.877444088459,-0.214611381292,0.234449505806,1.13196253777,-0.260471403599,0.306861698627,-0.198300004005,0.0253532081842,0.167522788048,0.149800002575,0.195393696427
5898,-0.113469213247,0.905551433563,0.196604058146,-0.279126644135,0.0468561649323,-2.30705094337,-0.0229308530688,-0.404890477657,-0.384750008583,1.37726390362,0.12465916574,-0.429849982262,0.991019964218
23365,-1.23000621796,-0.240194767714,-0.327109336853,0.204552397132,-0.255465149879,-1.89071846008,-0.749513149261,-0.958728611469,-0.495599985123,-1.15554380417,-1.0244076252,0.00909996032715,-0.752900004387
6657,1.6194909811,-0.574748337269,0.768833994865,0.205975443125,1.44050991535,1.18447721004,0.100749760866,0.947922825813,-0.12729999423,-0.533193767071,0.351866662502,0.0871500074863,-0.558856964111
5054,0.748398840427,-0.147469758987,-0.0830889940262,0.440088152885,0.865209937096,-0.112875632942,0.398381561041,-0.26548242569,0.311800003052,0.391556590796,-0.330842733383,-1.1658000946,-0.22800514102
3108,-0.15387493372,0.798182547092,-0.720719456673,-0.60557359457,-0.324017822742,-7.02595949173,0.209298476577,-0.0164413526654,0.75444996357,-0.183460116386,-0.901186704636,0.0440500378609,0.14590010047
