rid,DOS016_VCAP_6H:BRD-K39504007-001-01-2:4.83,DOS016_VCAP_24H:BRD-K39504007-001-01-2:4.83,DOS042_A375_24H:BRD-K39504007-001-01-2:4.83,DOS042_A549_24H:BRD-K39504007-001-01-2:4.83,DOSBIO001_A375_24H:BRD-K39504007:9.66346,DOSBIO001_A549_24H:BRD-K39504007:9.66346,DOSBIO001_HT29_24H:BRD-K39504007:9.66346,DOSBIO001_MCF7_24H:BRD-K39504007:9.66346,DOSBIO001_PC3_24H:BRD-K39504007:9.66346,DOSBIO001_NEU_24H:BRD-K39504007:9.66346,DOSBIO001_NPC_24H:BRD-K39504007:9.66346
5720,1.39581692219,2.29067063332,-0.277250021696,1.51530003548,-2.22250556946,-0.869313001633,0.789777159691,1.0824816227,1.41370999813,2.85435009003,0.340861320496
466,1.25296247005,1.88670682907,-0.77404999733,-0.926999986172,-0.162769749761,0.292222559452,1.41221261024,1.47448396683,-0.883063614368,-0.604250013828,0.32367888093
6009,0.940955638885,0.525571942329,-0.58085000515,-0.0289500001818,0.402200073004,0.122601151466,-0.250782698393,1.48897957802,-0.0489743500948,0.230499997735,0.767209172249
2309,-1.62955260277,-1.42373716831,-0.32254999876,-1.10484993458,0.321697294712,0.642477691174,2.29970884323,-0.44212988019,-0.409913361073,0.702499985695,0.744796872139
387,-0.461296260357,0.0812017321587,0.666000008583,0.331900000572,1.92376446724,1.01690816879,-0.179934233427,0.887794077396,0.777812302113,0.660150051117,1.77457773685
3553,0.358386278152,-0.0414585471153,-0.180150002241,-1.19269990921,0.311037063599,-1.50599503517,1.00170981884,-0.325313270092,0.271164536476,-0.493050009012,-1.23608756065
427,0.191994205117,0.0235375165939,-0.737800002098,-0.872850000858,-0.591029465199,-0.399866402149,0.716476798058,1.16698670387,1.07107949257,0.211849957705,-0.0893600657582
5898,-0.134789183736,1.22340154648,-0.66010004282,-1.05115008354,1.55659818649,0.114937648177,0.839527487755,0.587052106857,-0.0568112134933,-2.32854986191,0.666283071041
23365,-0.0376482009888,-0.459701120853,0.846750020981,-0.46924996376,1.04694759846,0.348472476006,0.666479587555,-0.329353034496,5.8778014183,0.768199980259,-0.0241348445415
6657,-0.346437633038,0.151316612959,-1.44509994984,-0.781800031662,-0.567088901997,0.119378209114,0.876221060753,-0.528884530067,-0.325957477093,1.35385000706,1.21859264374
