rid,CPC011_A375_6H:BRD-A41450521-075-09-0:10,CPC011_A549_6H:BRD-A41450521-075-09-0:10,CPC011_A549_24H:BRD-A41450521-075-09-0:10,CPC011_HA1E_6H:BRD-A41450521-075-09-0:10,CPC011_HT29_6H:BRD-A41450521-075-09-0:10,CPC011_MCF7_6H:BRD-A41450521-075-09-0:10,CPC011_MCF7_24H:BRD-A41450521-075-09-0:10,CPC011_PC3_6H:BRD-A41450521-075-09-0:10,CPC011_PC3_24H:BRD-A41450521-075-09-0:10,CPC011_VCAP_6H:BRD-A41450521-075-09-0:10,CPC011_VCAP_24H:BRD-A41450521-075-09-0:10,CPD002_MCF7_24H:BRD-A41450521-003-01-9:10,CPD002_MCF7_6H:BRD-A41450521-003-01-9:10,CPD002_PC3_6H:BRD-A41450521-003-01-9:10,CPD002_PC3_24H:BRD-A41450521-003-01-9:10
5720,-1.74654102325,1.03244376183,-1.04564929008,0.256850004196,-0.474470496178,0.191500008106,0.0688000023365,0.944885730743,-0.0345099121332,-0.294293135405,-0.725231528282,-0.31171476841,-0.748543739319,-0.06208974123,0.0393078550696
466,1.00115633011,1.51925837994,-0.174886286259,-2.20500016212,0.875614285469,-0.489850014448,0.0191000103951,0.987416744232,-0.165912747383,0.00831498578191,-0.166043415666,0.809866249561,-0.209572225809,0.0418301224709,-0.401415377855
6009,-0.260151982307,1.20321333408,-0.574042141438,0.324950009584,-0.0397218763828,0.628949999809,0.581350028515,-0.485233992338,0.401237845421,-0.46188852191,0.000480510294437,-0.0536410100758,-0.310449570417,-0.532212197781,-0.220403581858
2309,1.56677913666,-1.29897713661,-0.701983809471,0.160300001502,0.45486676693,0.268199980259,-0.524000048637,-0.372134566307,0.758561611176,-0.439246118069,-0.573528051376,-0.618467569351,-0.943429529667,0.63022506237,0.942282378674
387,0.210011303425,0.0464232265949,-1.00515425205,-1.71854996681,0.511802256107,-0.0642499998212,0.0627999976277,0.333878993988,0.147239208221,0.219533190131,-0.590661048889,-0.831195056438,-0.159476742148,-0.17723736167,-0.690340697765
3553,0.77342236042,-0.0100084245205,1.22710418701,0.222000002861,0.990963101387,0.316249966621,-0.888350009918,0.878218352795,0.460236102343,0.661246299744,0.603912949562,0.0741675943136,1.0053601265,0.33061465621,0.302959859371
427,-0.349860787392,2.10307312012,0.252174019814,0.34114998579,0.865955770016,-0.964150011539,-1.60630011559,0.0435995161533,0.218918919563,1.01692569256,0.293886870146,0.0443973988295,0.0664936900139,0.0353283435106,-0.0979445204139
5898,-1.30901551247,0.729234218597,0.345109134912,-0.888699948788,0.712919950485,0.0111500024796,-1.05010008812,0.651888072491,0.145240038633,0.76220035553,0.674348890781,0.983798027039,-0.707435965538,0.499822974205,-0.00961001217365
23365,0.643449664116,-0.374949067831,1.05013585091,-0.692999958992,0.797231912613,-0.881650030613,0.208849966526,-1.19974994659,-0.382136702538,0.573199629784,0.273443132639,2.51685905457,0.0206597447395,0.0608802735806,0.015303388238
6657,1.29128241539,-0.258186459541,0.145898461342,0.625199973583,1.49804472923,0.0112999975681,-0.491199970245,-0.343048781157,-0.00806014239788,0.491708636284,1.41903996468,0.618479967117,2.5873696804,0.528934836388,0.355836778879
