rid,DOS060_A549_24H:BRD-K08982647-001-01-3:5,DOS060_HT29_24H:BRD-K08982647-001-01-3:5,DOSBIO002_A375_24H:BRD-K08982647:10.0254,DOSBIO002_A549_24H:BRD-K08982647:10.0254,DOSBIO002_HT29_24H:BRD-K08982647:10.0254,DOSBIO002_PC3_24H:BRD-K08982647:10.0254,DOSBIO002_MCF7_24H:BRD-K08982647:10.0254,DOSBIO002_NEU_24H:BRD-K08982647:10.0254,DOSBIO002_NPC_24H:BRD-K08982647:10.0254
5720,-2.81414985657,0.421400010586,-0.388732522726,-0.0877298116684,-0.432650178671,-0.940799951553,-0.0978848561645,-0.383100003004,0.153112486005
466,0.538749992847,-0.148000001907,0.0951149910688,0.165789455175,0.15455776453,-0.255500018597,1.18205451965,-1.16799998283,-0.619413495064
6009,-2.56470012665,-0.674499988556,-0.550916790962,-0.0802258849144,0.479281246662,-0.520466685295,0.657560169697,-0.549799978733,0.348061084747
2309,0.194000005722,-2.68910002708,-0.186690956354,-1.03678965569,0.155224218965,0.863166689873,0.620201647282,-0.386550009251,0.774260520935
387,-2.51990008354,1.04340004921,0.989443302155,-1.18325316906,1.15845692158,0.817400038242,0.316472619772,-0.0697499960661,0.823056340218
3553,1.58455002308,-2.04119992256,0.460811644793,0.531662225723,-0.709034919739,-0.443300008774,-0.955949962139,0.0423500016332,-0.501001238823
427,1.36234998703,0.165700003505,-0.505804657936,1.03104972839,-1.35404384136,-0.328666657209,0.795094013214,-0.469200015068,-0.348254710436
5898,1.49489998817,-1.03900003433,0.136830747128,-0.451251477003,-0.740537524223,0.552966713905,0.0634965971112,-0.401300013065,0.382868081331
23365,0.998950004578,0.168099999428,0.16118593514,-1.24649906158,0.940159797668,2.59943342209,-0.238320305943,1.33380007744,0.443379372358
6657,5.22580003738,-0.0736000016332,0.323116481304,-0.201044425368,-1.0842051506,-0.205833375454,-0.934084534645,0.780499994755,-1.00289547443
5054,-1.08585000038,0.195299997926,-0.222441881895,-0.0861821472645,2.15919995308,-0.873100042343,-0.0691086053848,-0.854950010777,-1.11168515682
3108,1.78090000153,0.513499975204,0.600291609764,0.474429011345,0.685721635818,-0.0482333302498,0.00978472828865,-0.448549985886,-0.397758573294
1950,5.53864955902,0.316199988127,-0.00163779035211,-0.292478203773,-0.837868094444,-0.456866621971,-0.32772347331,0.566449999809,-0.666300177574
351,1.17739999294,0.32539999485,-0.995518326759,0.351107776165,-1.16100907326,-0.646400034428,-1.04786157608,0.0957999974489,-1.04994821548
4846,1.6454000473,-0.056400001049,-0.681989133358,0.857671558857,-0.15417021513,0.0961333364248,-0.775904238224,0.754549980164,-0.466256469488
1452,-1.75635004044,-0.441599994898,1.14103269577,-0.547061443329,2.17407202721,0.173233360052,0.557738542557,1.11754989624,1.11369347572
4776,6.71169996262,0.999899983406,-0.456854760647,0.349762558937,-0.17401766777,-0.216700017452,-0.596528232098,0.233050003648,0.702121376991
6908,-1.98179996014,0.0912000015378,0.545055925846,-0.215153634548,0.297677069902,-0.240466684103,0.841230034828,0.111049979925,0.078720420599
672,-1.60739994049,-0.981500029564,0.67136579752,0.136398136616,0.323630601168,0.0889667272568,-0.159432083368,0.899250030518,-0.858074247837
5710,-1.63525009155,0.124799996614,0.175627186894,-0.755595624447,1.04737019539,0.626699984074,-0.31900459528,0.336050003767,0.586299180984
2115,0.966150045395,-0.0240000002086,-0.330182760954,0.0962920561433,0.163016244769,-0.490366697311,-0.0386124849319,1.16065001488,0.786736786366
7015,0.537750005722,0.225999996066,0.453460723162,0.0950729250908,-0.0261954143643,-0.242766648531,-1.19955158234,-0.672299981117,-0.789067625999
8726,-0.452399998903,-0.720200002193,0.510326504707,0.567252337933,-0.249076813459,-0.0135333184153,1.61741507053,-0.76240003109,0.694376051426
2185,6.50339984894,0.493499994278,0.291489630938,0.248358428478,-0.194009706378,-0.58679997921,-0.870161771774,-0.0489999949932,-0.612163603306
3315,-1.98210000992,-0.374199986458,0.606777429581,0.508933365345,0.748537898064,0.519000053406,0.0445780456066,-0.302500009537,-0.440908044577
5289,2.33839988708,0.392699986696,-0.9740280509,0.636902868748,-0.239423274994,-1.03030002117,-0.380157321692,-1.13784992695,-1.3492013216
868,1.5841499567,0.639599978924,-0.0384711176157,0.202363803983,0.746550619602,1.27200007439,0.171276852489,0.854749977589,1.17611956596
