rid,NMH002_FIBRNPC_24H:BRD-K39096267-001-01-4:10,NMH002_FIBRNPC_6H:BRD-K39096267-001-01-4:10,NMH002_NEU_6H:BRD-K39096267-001-01-4:10,NMH002_NEU_24H:BRD-K39096267-001-01-4:10,NMH002_NPC_6H:BRD-K39096267-001-01-4:10,NMH002_NPC_24H:BRD-K39096267-001-01-4:10
5720,-4.24061918259,-1.18286645412,-2.25443744659,-3.32745695114,-0.324200391769,-5.34720230103
466,-0.106536388397,0.485883831978,-1.01940000057,-1.19211280346,-0.306964725256,-0.610170781612
6009,2.07089447975,0.556980252266,-0.331230968237,0.474618703127,0.43527162075,3.18980097771
2309,2.8555855751,1.37360060215,0.490025401115,-0.695796191692,1.37056970596,1.26133751869
387,-0.0330495834351,0.521442055702,0.533930778503,-1.23344433308,0.0288388356566,-0.750325620174
3553,0.171482026577,-0.344811350107,0.216176331043,-0.134432286024,0.0208159387112,0.283438175917
427,0.753969788551,-1.35946619511,0.264626473188,1.95968389511,-0.554730653763,0.57035779953
5898,2.26434850693,0.242613226175,-1.81336212158,-0.585691690445,0.159390941262,-0.153632104397
23365,0.381831020117,-0.186796426773,0.5756970644,0.296204000711,0.905209064484,0.346810340881
6657,-0.186038509011,-0.511141896248,0.401399493217,0.48482465744,1.87351024151,0.704501390457
5054,1.36678540707,1.66625189781,0.283103346825,1.94780564308,0.22003954649,2.88276576996
3108,-0.460923671722,-0.830260634422,0.387124925852,0.521193087101,0.43915271759,0.725845575333
1950,-0.774498581886,-0.846411943436,-0.034744463861,0.946707129478,-0.618745923042,2.22198963165
351,0.38000202179,-0.86424279213,0.136847764254,0.256586492062,-1.18134021759,0.530404984951
4846,-0.299045681953,0.698242783546,0.543124556541,-0.456250667572,-0.326245218515,0.11048322916
1452,0.248294860125,1.23518586159,0.503431499004,0.211900934577,1.45613193512,1.5296497345
4776,-0.71354162693,0.281498551369,0.472025632858,-0.121119022369,-0.174100294709,-0.374592244625
6908,-0.215988740325,-0.540761709213,-0.278862953186,-0.181758359075,-0.24000518024,-0.327947407961
672,2.03300309181,0.13966087997,0.0112214684486,0.229924887419,0.569422066212,0.322650611401
5710,-1.06796836853,0.201125398278,-0.853070616722,-0.781092703342,0.438917040825,-0.0659523159266
2115,1.85049128532,0.0480119436979,0.166232407093,0.953193187714,0.624914944172,-0.717529654503
7015,-0.643181204796,-0.667104959488,0.377402991056,0.612682878971,-0.54657304287,0.193705633283
8726,0.991827726364,-0.129074275494,-0.262224167585,-0.369120597839,-0.326976418495,-0.458127140999
2185,0.0425817966461,-0.64725112915,0.119121477008,-0.103731960058,-0.329359650612,-0.0483965575695
3315,-1.47596383095,-0.728444635868,-0.00709404796362,0.30831566453,-0.514711260796,-0.186960563064
5289,-0.514324724674,-0.153847634792,0.183654531837,-0.0903216153383,-0.104346841574,0.664521992207
868,0.68987262249,0.333825737238,1.07458305359,-1.3590887785,3.178606987,0.991220831871
1677,-0.759010791779,-0.143962472677,-0.313904106617,0.125070050359,-0.503550767899,-0.263273090124
7043,0.0818607211113,-1.33710360527,1.26615381241,0.223922401667,0.252623975277,0.235007941723
5613,0.521203756332,-0.714441299438,0.57872736454,1.90937995911,-0.776219248772,-0.157749921083
595,1.954179883,0.777588307858,-0.291239142418,-0.641558885574,-0.144388943911,-0.97149002552
4793,1.03422272205,0.873507261276,-0.0890081971884,-0.058127745986,0.787267625332,0.52525806427
2736,0.697878420353,-0.667486667633,0.25505939126,-0.424464166164,0.033207885921,-0.316150486469
5290,-0.768107235432,-0.148587360978,0.318185985088,0.605981469154,-0.284047961235,0.319331765175
6194,-1.29469299316,-0.86152613163,-0.16538771987,-2.76967358589,-0.216098934412,0.00562972575426
1676,0.109761498868,-0.874978065491,0.599174380302,0.15174227953,-0.156470537186,-0.0561717152596
23512,2.56987404823,0.117048099637,-0.232349425554,-0.788531303406,0.158652186394,-1.77996659279
148022,1.03556418419,1.32626354694,1.15467476845,0.735255479813,0.109205827117,0.368680179119
1906,0.0304340347648,-0.477391093969,0.693529069424,0.63919198513,-0.0905008465052,1.70329976082
8878,0.400999516249,-0.277841091156,-0.16662555933,1.39542579651,0.0289183408022,3.41292858124
3091,1.0910820961,0.742438554764,-3.03446507454,-1.79068660736,-0.737673640251,0.647975921631
5743,0.705444693565,3.14337825775,-0.410671174526,0.285322606564,-0.512949883938,-0.186241313815
5321,-0.527309954166,-0.748342871666,-0.0390643626451,0.175838530064,-0.254172086716,0.128966525197
4144,1.79101228714,0.0910105779767,-1.91216051579,-0.289492368698,-1.90003955364,-0.600756764412
1981,0.657867312431,0.00496079027653,0.552156984806,-0.417073488235,-0.0890185981989,-0.19844417274
695,-0.481466889381,0.101279914379,-0.166880562901,0.361227571964,-0.103496998549,0.456658989191
10398,-0.474089294672,0.814500927925,-0.00666682422161,-0.333298325539,0.328216671944,1.33353686333
5708,-4.06428813934,-5.93047714233,0.291571170092,0.4689065516,-0.498816251755,-0.382184535265
1213,0.254169106483,-2.95097661018,-0.319249361753,-1.15953028202,-0.228383392096,0.415210187435
