rid,CPC019_A375_6H:BRD-K43682718-001-01-0:10,CPC019_A549_6H:BRD-K43682718-001-01-0:10,CPC019_A549_24H:BRD-K43682718-001-01-0:10,CPC019_HA1E_6H:BRD-K43682718-001-01-0:10,CPC019_HCC515_6H:BRD-K43682718-001-01-0:10,CPC019_HEPG2_6H:BRD-K43682718-001-01-0:10,CPC019_HT29_6H:BRD-K43682718-001-01-0:10,CPC019_MCF7_6H:BRD-K43682718-001-01-0:10,CPC019_MCF7_24H:BRD-K43682718-001-01-0:10,CPC019_PC3_6H:BRD-K43682718-001-01-0:10,CPC019_PC3_24H:BRD-K43682718-001-01-0:10,CPC019_VCAP_6H:BRD-K43682718-001-01-0:10,CPC019_VCAP_24H:BRD-K43682718-001-01-0:10,MUC.CP003_MCF7_6H:BRD-K43682718-001-01-0:9.9621,MUC.CP003_MCF7_6H:BRD-K43682718-001-01-0:3.3207,MUC.CP003_MCF7_6H:BRD-K43682718-001-01-0:1.1069,MUC.CP003_MCF7_6H:BRD-K43682718-001-01-0:0.369,MUC.CP003_MCF7_24H:BRD-K43682718-001-01-0:9.9621,MUC.CP003_MCF7_24H:BRD-K43682718-001-01-0:3.3207,MUC.CP003_MCF7_24H:BRD-K43682718-001-01-0:1.1069,MUC.CP003_MCF7_24H:BRD-K43682718-001-01-0:0.369,MUC.CP003_NKDBA_24H:BRD-K43682718-001-01-0:9.9621,MUC.CP003_NKDBA_24H:BRD-K43682718-001-01-0:3.3207,MUC.CP003_NKDBA_24H:BRD-K43682718-001-01-0:1.1069,MUC.CP003_NKDBA_24H:BRD-K43682718-001-01-0:0.369
5720,-1.49946773052,0.298000007868,-0.436313509941,-1.11914920807,-3.11746668816,0.0937416255474,-0.900961101055,-1.35018444061,-0.568087637424,-1.14208936691,-1.04743587971,-0.359347879887,0.604015886784,-0.466373175383,0.632305085659,0.093478679657,-0.104290157557,1.18046820164,0.926534593105,1.81362903118,1.79050540924,1.68974995613,-0.0816500037909,1.41614997387,0.781149983406
466,-0.0853086560965,-1.00699996948,-1.21945393085,-1.42813491821,-0.592033326626,-0.613538384438,-0.0701987147331,-0.481380313635,0.877178430557,-0.0960139781237,0.634155511856,-2.24908399582,-0.391183614731,-0.404573053122,0.0858599543571,0.0943742990494,-1.03849363327,-1.05590867996,0.45038151741,-0.450710773468,-1.03022432327,0.401500046253,1.15285003185,0.13615000248,0.557649970055
6009,1.16872262955,0.348950028419,0.401112735271,0.433663874865,0.48219999671,0.982145249844,0.173038139939,1.85202991962,0.7644739151,1.29575586319,-0.931425571442,1.30340600014,0.643284797668,-0.0236726403236,0.191614329815,-0.103654518723,0.178861483932,0.796459257603,-0.228981092572,0.316366285086,1.20961689949,-0.181350007653,0.134700000286,0.503899991512,-0.407999992371
2309,0.277419686317,-0.104750007391,0.740358769894,-0.168023839593,0.514833331108,-1.12732350826,-0.224939286709,-0.30949613452,-0.200200214982,1.06038820744,0.345196127892,1.53810620308,-0.357233852148,0.427336752415,0.194414794445,0.113339483738,-0.401350557804,3.05372071266,-0.513921380043,1.27954602242,1.57142865658,-0.290299981833,0.136049985886,0.116750001907,-0.13330000639
387,2.01924800873,0.422749996185,1.20392870903,0.664036691189,-0.652266740799,1.23254394531,2.54372143745,3.23584699631,0.915079951286,2.21735334396,0.31014624238,1.18825900555,0.767397880554,-0.855896949768,0.0701127648354,-0.00549468398094,-0.309693783522,1.97097957134,-0.602897524834,0.822076499462,1.61357092857,0.0827000141144,-0.76960003376,0.407099962234,-0.0892000198364
3553,-0.79514747858,-0.358199983835,-0.543556213379,-0.15172329545,1.10619997978,0.308159470558,-0.0922859311104,0.495345264673,-0.340589702129,0.400308132172,-0.574800610542,1.0172624588,-0.367812752724,0.689067602158,-0.439015984535,-0.659766554832,0.010569639504,0.534236311913,0.231966048479,0.471597790718,-0.166610121727,-0.488549977541,0.104050010443,-0.67919999361,0.426550000906
427,-0.962665915489,-0.179250001907,-0.331454336643,0.361220955849,-0.0284999907017,-0.239073291421,-0.481936067343,-1.30626618862,0.228294447064,-0.142708644271,0.62183123827,-0.142317712307,-0.219640403986,-1.61009144783,-0.519600987434,-0.422797858715,-0.21796195209,-0.284448593855,0.610247612,0.465971797705,-0.234046489,0.475749969482,0.962300002575,0.955449938774,0.364149987698
5898,-0.449046164751,-0.505349993706,-1.13756072521,-0.320810467005,-0.0620666742325,-1.29138600826,1.10684037209,0.980023860931,-0.515589416027,0.314522981644,0.295920133591,-3.44798207283,-1.06899666786,0.881448030472,0.543740749359,0.00105652213097,-0.23599421978,-0.858006834984,-1.0946495533,-0.460000187159,-0.581291019917,1.02789998055,0.537750005722,-0.0870999693871,-0.168650001287
23365,0.4491930902,-0.170749992132,0.262156426907,-1.07641112804,-0.736800014973,0.724938631058,0.0670230686665,0.674956679344,0.656782627106,1.40793037415,-0.0338598787785,-1.89451098442,-0.101294726133,-0.0467541217804,1.59522807598,0.117054879665,0.556437909603,-1.08898139,-1.68036592007,2.52457380295,-1.30385243893,0.233150005341,0.153449982405,-1.02834999561,0.40964999795
6657,0.407767802477,-0.268900036812,0.0636575892568,-0.0662868022919,1.09276676178,-0.209840163589,-1.31656646729,0.799149632454,-0.593084335327,-0.504064917564,0.447655975819,0.334286212921,-0.305170297623,1.53514945507,-0.00385923683643,-0.31157553196,-0.362605303526,-0.166824370623,0.725269675255,1.0065690279,-0.00124105066061,0.402249991894,-0.259750008583,0.29960000515,-0.0443000197411
