rid,DOS001_VCAP_6H:BRD-K36489877-001-01-6:5,DOS001_VCAP_24H:BRD-K36489877-001-01-6:5,DOS031_MCF7_24H:BRD-K36489877-001-01-6:5,DOS031_PC3_24H:BRD-K36489877-001-01-6:5,ERG015_PC3_24H:BRD-K36489877-001-01-6:10.0084,ERG015_PC3_6H:BRD-K36489877-001-01-6:10.0084,ERG015_VCAP_24H:BRD-K36489877-001-01-6:10.0084,ERG015_VCAP_6H:BRD-K36489877-001-01-6:10.0084
5720,-1.66337919235,0.700500011444,0.942799985409,-0.798650026321,-0.873532474041,0.649631023407,-0.427331358194,0.788387179375
466,0.264110147953,0.0471500009298,-1.06340003014,-0.515550017357,-0.240460887551,0.722939074039,0.177598759532,0.883343458176
6009,-0.333280146122,0.00879999995232,-0.575200021267,-0.214450001717,0.611997544765,1.04326844215,-0.522863805294,0.606743633747
2309,-0.1815777421,0.352500021458,0.283849984407,1.55515003204,-0.102526605129,-0.343077927828,0.439123868942,0.2025847435
387,-0.61352956295,0.0849499851465,-0.155099987984,-0.060849994421,-0.40322548151,1.27409958839,-1.4486079216,0.145668208599
3553,1.17974233627,0.00929999351501,0.470849990845,0.524949967861,-0.911966502666,-0.0847568362951,-0.556947171688,-0.626658141613
427,-0.151783227921,0.477550029755,-0.189199998975,0.803150057793,-0.196318134665,0.669292867184,-0.494425475597,-0.244271486998
5898,-1.91337287426,0.088500007987,-0.548550009727,-0.241950005293,-1.71571838856,0.783627867699,0.25652462244,0.479692399502
23365,0.606570482254,-0.553449988365,-0.347799956799,0.407600015402,0.0982827320695,1.60680270195,0.177158668637,-0.209827721119
6657,-0.434418439865,0.701849997044,0.895050048828,1.09475004673,1.59440875053,-0.837198257446,-0.379786014557,-0.756946921349
5054,-0.265993416309,1.27224993706,0.477200001478,0.331149995327,-0.219935655594,0.861043393612,-0.83402466774,-0.807823061943
3108,-1.23892366886,1.44239997864,0.428049981594,-0.0488499999046,-0.101136095822,0.331871211529,0.465892583132,0.50697851181
1950,0.0894716233015,0.368399977684,0.871999979019,-0.732699990273,1.74727630615,-0.405797690153,-0.0611019507051,-0.786771655083
351,0.75564712286,0.618900001049,0.743449985981,0.533649981022,0.321329623461,-0.522145688534,0.320168972015,-0.129270046949
4846,-0.710252285004,-0.833550035954,0.586399972439,-0.657400012016,5.67868804932,0.009067684412,-0.280554354191,0.443059504032
1452,0.296896308661,0.318949997425,-0.66890001297,-0.680350005627,-0.230023428798,0.638118028641,-1.1620619297,0.338361501694
4776,0.656096816063,0.0163000077009,0.619199991226,0.244800001383,0.198773682117,-1.095682621,-0.0478070341051,-0.714844107628
