rid,AML001_CD34_24H:BRD-A74382794:10,AML001_CD34_24H:BRD-A74382794:3.33333,AML001_CD34_24H:BRD-A74382794:1.11111,AML001_CD34_24H:BRD-A74382794:0.37037,AML001_CD34_6H:BRD-A74382794:10,AML001_CD34_6H:BRD-A74382794:3.33333,AML001_CD34_6H:BRD-A74382794:1.11111,AML001_CD34_6H:BRD-A74382794:0.37037,AML001_HL60_24H:BRD-A74382794:10,AML001_HL60_24H:BRD-A74382794:3.33333,AML001_HL60_24H:BRD-A74382794:1.11111,AML001_HL60_24H:BRD-A74382794:0.37037,AML001_HL60_6H:BRD-A74382794:10,AML001_HL60_6H:BRD-A74382794:3.33333,AML001_HL60_6H:BRD-A74382794:1.11111,AML001_HL60_6H:BRD-A74382794:0.37037,AML001_PC3_6H:BRD-A74382794:10,AML001_PC3_6H:BRD-A74382794:3.33333,AML001_PC3_6H:BRD-A74382794:1.11111,AML001_PC3_6H:BRD-A74382794:0.37037,AML001_U937_24H:BRD-A74382794:10,AML001_U937_24H:BRD-A74382794:3.33333,AML001_U937_24H:BRD-A74382794:1.11111,AML001_U937_24H:BRD-A74382794:0.37037,AML001_U937_6H:BRD-A74382794:10,AML001_U937_6H:BRD-A74382794:3.33333,AML001_U937_6H:BRD-A74382794:1.11111,AML001_U937_6H:BRD-A74382794:0.37037
5720,0.0450499951839,-0.222699999809,-0.0689500048757,0.65674996376,0.298078268766,0.0175657887012,0.151297181845,0.533896505833,-0.482415020466,0.176537036896,0.225392848253,0.487264186144,0.0199493318796,-0.547807693481,-0.339519560337,0.326902300119,0.185431197286,0.277219682932,0.745884597301,0.159055545926,-2.87350010872,0.101399987936,-1.25705003738,1.57825005054,0.575052976608,-0.810421824455,0.307615578175,0.113729566336
466,1.0189499855,-0.0242499709129,0.81014996767,0.00665000081062,0.165420129895,0.733994364738,0.509167909622,0.903669059277,0.67783665657,-0.304392039776,-0.332452267408,0.00654705613852,0.198949441314,-0.40429776907,0.373867541552,0.658040165901,0.235202074051,0.200961410999,1.41445994377,0.224080294371,0.309750020504,2.82574987411,0.837700009346,1.18159997463,-0.570828974247,0.473736286163,0.52175539732,0.519970655441
6009,0.498549997807,0.35640001297,0.585300028324,0.760450005531,0.355783671141,-0.469982743263,-0.627984523773,-0.366859763861,0.260533541441,-0.0384605303407,-0.612279117107,0.0376557856798,-0.178320944309,0.556461572647,-0.21330460906,-0.0674870461226,0.152434810996,-0.517238259315,-0.0342647284269,-0.40207156539,-1.27470004559,0.88765001297,-0.205950006843,0.924400031567,1.0632712841,0.575440883636,0.31442373991,0.412452042103
2309,0.434700012207,0.103549994528,0.551249980927,-0.24255001545,-0.164503470063,-0.589570879936,-0.115573950112,-0.124046221375,0.255961537361,-0.732804477215,-0.393693745136,-0.492192029953,-0.0210407376289,0.231407403946,0.474485188723,-0.879061639309,0.984116077423,-0.0264659821987,-0.445339500904,0.0726767480373,-1.13159990311,3.34455013275,0.36439999938,-0.0155000090599,0.520631670952,-0.356807649136,0.344081997871,-0.0475825667381
387,-0.504949986935,1.58280003071,0.0792999863625,0.7757999897,0.280713737011,0.866226255894,-0.552001178265,0.826361179352,-0.17990000546,0.446091383696,0.374622881413,0.495167076588,-0.00848253816366,0.776082754135,-0.213168293238,0.61072075367,-0.565131604671,-0.28651368618,0.117904350162,0.0951955169439,-3.36665010452,-1.39160001278,-1.66865003109,0.351300001144,-0.69820100069,0.262221992016,-0.264623761177,0.600865840912
3553,-0.0950499996543,0.158100008965,-0.41550001502,-0.674000024796,-0.47176784277,-0.757637321949,-0.696874856949,-0.562093853951,0.293950945139,-0.52175784111,-0.556937277317,-0.408272206783,-0.0590518862009,0.791188120842,-0.773894786835,-0.279864341021,0.244725674391,0.778760075569,0.0944911465049,0.204459384084,0.452950000763,1.78645002842,0.302000015974,0.592549979687,-0.565526127815,0.297207027674,-0.0850693881512,-0.177640393376
427,1.07889997959,-0.18590003252,0.620450019836,0.0782500058413,0.219191119075,0.981443107128,-0.456334352493,0.504850625992,0.341117978096,-0.989846587181,-1.10258805752,-0.573045313358,-0.731739521027,-1.13286244869,-0.710741221905,0.170806527138,-0.585379600525,-0.377159684896,0.477325707674,0.244184941053,-0.1053000018,2.91790008545,-0.291750013828,1.89434993267,-0.26489636302,-0.277374923229,0.376575469971,0.742424070835
5898,-0.180999994278,-0.175600022078,-0.395200014114,-0.717999994755,-0.832983016968,-0.284424990416,-0.535668492317,-0.79158872366,0.221715003252,-0.563966274261,-0.32791942358,-0.10422039032,-0.29704272747,0.312467813492,0.525344252586,-0.409576028585,-0.151724025607,-0.804793000221,0.0597728900611,-0.647654294968,0.515799999237,2.445499897,0.92509996891,0.840499997139,-1.59444057941,-1.82629621029,0.175893187523,-0.415077239275
23365,0.00275000929832,-0.00334999989718,-0.37809997797,-0.711050033569,-0.265051364899,1.20653617382,-1.01565825939,1.93063402176,0.00825633108616,0.250751256943,-0.120151057839,-0.661203920841,-0.185835108161,0.430195122957,-0.625393748283,-0.787748754025,-0.584594190121,1.07635700703,-0.386160641909,0.571943640709,0.326400011778,-0.488650023937,0.411850005388,-1.4498500824,-0.496151149273,-0.267747759819,0.175916686654,-0.689374983311
6657,0.189699992537,-0.387050032616,-0.827350020409,-0.729849994183,-0.48926872015,-1.35453701019,-0.259678065777,-1.27329432964,0.675526022911,-0.382702797651,-0.599629580975,-0.589344799519,-0.7664052248,0.172267079353,-0.526465713978,-0.169359460473,0.174291491508,-1.10708844662,-0.163952425122,-0.889098286629,2.18959999084,2.10365009308,1.24720001221,0.294249981642,0.338560670614,0.883681297302,-0.449879318476,-0.271720141172
