rid,ERG012_PC3_24H:BRD-A87384553-001-01-0:10,ERG012_PC3_24H:BRD-A87384553-001-02-8:10,ERG012_PC3_6H:BRD-A87384553-001-01-0:10,ERG012_PC3_6H:BRD-A87384553-001-02-8:10,ERG012_VCAP_24H:BRD-A87384553-001-01-0:10,ERG012_VCAP_24H:BRD-A87384553-001-02-8:10,ERG012_VCAP_6H:BRD-A87384553-001-01-0:10,ERG012_VCAP_6H:BRD-A87384553-001-02-8:10
5720,0.595298469067,0.511280834675,1.62479269505,-0.395713955164,0.393235892057,-0.103825926781,-0.833625853062,0.233095794916
466,0.123596251011,0.592241168022,-1.27301633358,-0.453957289457,0.159087151289,0.366173803806,-0.412774831057,0.301817804575
6009,-2.36105751991,-0.98717880249,0.880032122135,0.374959021807,0.212746709585,0.182412832975,-0.294909656048,-0.468797385693
2309,0.636013567448,0.279454022646,0.762913703918,1.2918690443,0.762859582901,0.37306162715,0.280196219683,-0.669713139534
387,-0.115142926574,-0.540440320969,0.0467327460647,-0.600980758667,0.50628644228,0.400984555483,-1.32989132404,-0.365736812353
3553,-0.0136870443821,1.0729418993,-0.755716145039,-0.0762879252434,-0.177773371339,-0.309865534306,1.4254617691,-0.184817045927
427,-1.10148918629,2.10139679909,-0.0487644299865,-0.444201171398,0.0265164095908,-0.197139799595,0.0839038863778,0.527923047543
5898,0.0354317128658,-0.0894047170877,-1.17015194893,0.394628882408,0.309119015932,-0.0923720300198,-1.84422063828,-1.26770544052
23365,-0.499401986599,-0.199575275183,-0.440804362297,-0.629718184471,-0.934395134449,-0.143286153674,-0.409566402435,0.306953579187
6657,0.326499044895,4.20472097397,0.112433344126,-0.41579657793,-0.94739228487,-0.559050440788,0.768206596375,-0.410717278719
5054,0.981001913548,-1.02986299992,-0.47017621994,-0.540398180485,-0.454808682203,-0.471104681492,0.662702322006,-0.171179160476
3108,3.28776192665,1.30650961399,0.872126102448,0.740272402763,0.267126202583,0.0824993848801,-0.0859846547246,-0.790462136269
1950,0.113657712936,-0.00401246268302,1.82360887527,1.37014591694,-0.48976662755,0.249449387193,-0.198025658727,-0.209274500608
351,-3.34393668175,-1.13451695442,-1.99512684345,0.974535942078,0.0685072243214,0.0859738811851,0.211451202631,0.139477014542
4846,0.78684014082,0.398654162884,0.360130667686,1.47985064983,0.688591003418,-0.0835146009922,0.528063237667,-0.678081929684
1452,-0.017310321331,-1.51015329361,-0.318094849586,-1.91967070103,0.446163862944,-0.329444825649,-0.672730207443,-0.972713112831
4776,4.05151414871,2.61718702316,-0.795578479767,0.0283954292536,-1.15132939816,-0.494219452143,1.55608355999,-0.281749129295
6908,-0.448186278343,3.17212414742,0.118271797895,0.256883352995,1.00611889362,0.558160662651,-0.800795435905,0.39971858263
672,1.16687202454,1.13654375076,0.057101354003,-0.109451875091,1.04059243202,0.894681096077,-0.816788673401,0.875826776028
5710,0.523892045021,1.05083751678,-0.804598808289,-0.0125793069601,0.512773275375,-0.121467351913,0.0888208299875,-0.221924379468
2115,-0.298586338758,1.89976239204,-0.196601063013,-0.694787144661,-0.892826855183,-0.196171104908,0.115360952914,0.575953423977
7015,0.890816688538,-0.458700656891,-0.555027365685,-0.0328812897205,-0.861132204533,-0.65401995182,1.38135254383,-0.382894188166
8726,-0.0698652863503,0.683178961277,-1.09728896618,0.558504343033,0.615522563457,0.27847379446,0.373914361,-0.215232923627
2185,0.0361731648445,-0.23713067174,0.171106219292,-0.181449890137,-0.281384587288,-0.359872370958,1.11861097813,-0.0403747558594
3315,0.778595685959,-0.529033184052,0.537549972534,-0.864222407341,0.40830847621,0.630422949791,0.565610945225,-0.426772326231
5289,0.21000289917,0.282923460007,0.216201663017,0.324785172939,0.0216937530786,0.375803232193,-0.548586308956,-0.103276759386
868,-0.330092132092,2.10334920883,-0.186672911048,0.19291241467,-0.230999469757,-0.167067602277,0.547349095345,-0.0614565238357
1677,0.422550916672,2.04058218002,0.013052791357,0.357731044292,-0.388495892286,0.0215524509549,0.610237717628,0.973043501377
7043,-0.78725540638,1.52775406837,1.00226962566,-0.245351165533,-0.397542744875,-0.0523409098387,0.819449961185,-0.365470021963
5613,-0.219755753875,-0.236725658178,0.480327069759,-0.133905619383,-0.536408126354,-0.155751168728,-0.0920266211033,-0.541031002998
595,0.401969343424,-0.789851248264,0.128548309207,-0.48320004344,0.345850646496,0.415573239326,-0.0784683525562,0.298686772585
4793,-0.129735380411,-0.0144252441823,-0.349348664284,-0.0529515072703,0.625863730907,0.592048764229,0.819262742996,-0.282851308584
2736,-0.0412869602442,-0.146736204624,-0.22020766139,-0.441238343716,-0.309092253447,0.163612663746,1.50481021404,-0.0690325647593
5290,0.193584114313,-0.506010472775,-0.446190595627,-0.759159326553,-0.543943405151,-0.518351256847,0.606531381607,-0.535874605179
6194,-0.291549384594,-2.1131644249,0.820228338242,-0.398482978344,-0.254952400923,0.140553861856,0.243954926729,0.0
1676,0.077378064394,-1.2350063324,-0.321981042624,-0.716003596783,-1.20802724361,-0.568670213223,0.322559058666,-0.407111376524
23512,-0.463525116444,-0.432386577129,0.688441514969,-0.569143235683,0.307825684547,0.231205150485,-0.217228010297,0.605466187
148022,0.102551408112,1.28419530392,-0.29776018858,-0.932788968086,0.648432374001,-0.274782001972,1.77844846249,-0.0370830893517
1906,-0.501269042492,-0.0913196802139,-0.544244468212,-0.0890703499317,-0.669256150723,-0.688196063042,1.21407675743,-0.691549181938
8878,-0.398493498564,-1.22940540314,-0.446387052536,-0.183740273118,-0.0188783705235,0.288933396339,0.492679715157,-0.11650031805
3091,-0.675462722778,0.352130711079,-0.87313580513,-0.0977205038071,-0.544719398022,0.377702951431,-0.16329780221,0.821144461632
5743,0.937745213509,0.206801101565,3.48522472382,-0.920190513134,0.221870198846,-0.751123964787,0.855385184288,-0.272848546505
5321,-1.046869874,-0.278557091951,-0.418254733086,0.124906428158,-1.34578156471,-0.348889172077,1.16005551815,-0.347859114408
