rid,CPC005_A375_6H:BRD-A52588987-004-04-1:10,CPC005_A375_24H:BRD-A52588987-004-04-1:10,CPC005_A549_6H:BRD-A52588987-004-04-1:10,CPC005_A549_24H:BRD-A52588987-004-04-1:10,CPC005_HA1E_6H:BRD-A52588987-004-04-1:10,CPC005_HA1E_24H:BRD-A52588987-004-04-1:10,CPC005_HCC515_6H:BRD-A52588987-004-04-1:10,CPC005_HT29_6H:BRD-A52588987-004-04-1:10,CPC005_HT29_24H:BRD-A52588987-004-04-1:10,CPC005_MCF7_24H:BRD-A52588987-004-04-1:10,CPC005_MCF7_6H:BRD-A52588987-004-04-1:10,CPC005_PC3_6H:BRD-A52588987-004-04-1:10,CPC005_PC3_24H:BRD-A52588987-004-04-1:10,CPC005_VCAP_6H:BRD-A52588987-004-04-1:10,CPC005_VCAP_24H:BRD-A52588987-004-04-1:10,CPC011_A375_6H:BRD-A52588987-004-06-6:10,CPC011_A549_6H:BRD-A52588987-004-06-6:10,CPC011_A549_24H:BRD-A52588987-004-06-6:10,CPC011_HA1E_6H:BRD-A52588987-004-06-6:10,CPC011_HT29_6H:BRD-A52588987-004-06-6:10,CPC011_MCF7_6H:BRD-A52588987-004-06-6:10,CPC011_MCF7_24H:BRD-A52588987-004-06-6:10,CPC011_PC3_6H:BRD-A52588987-004-06-6:10,CPC011_PC3_24H:BRD-A52588987-004-06-6:10,CPC011_VCAP_6H:BRD-A52588987-004-06-6:10,CPC011_VCAP_24H:BRD-A52588987-004-06-6:10
5720,0.838583409786,1.76106834412,0.248569309711,0.103745914996,0.331049978733,-0.509032011032,0.352349996567,-0.417844682932,0.23278772831,-0.277523636818,-0.272704213858,-0.66326212883,0.535448849201,-0.802512168884,-0.447825580835,0.48497146368,0.573013782501,0.0212837457657,-0.404599994421,0.845551371574,0.415199995041,0.140049993992,-0.907343268394,1.41628360748,0.936462163925,-0.405979692936
466,0.395683676004,-0.680481433868,-1.06653785706,0.600765347481,-0.0149499997497,-0.794475078583,-0.40775001049,0.144276365638,-0.546134471893,0.248327374458,-0.732072949409,-0.0808248445392,0.71739166975,-0.504765689373,-0.205411076546,0.048306979239,0.0496686883271,-0.965794086456,0.690299987793,0.0129209160805,-0.266350001097,0.523699998856,-0.552669167519,0.419507563114,0.0485158190131,-0.15703573823
6009,-0.371977925301,-0.562968254089,-0.230425834656,1.22741043568,0.615249991417,0.549091339111,-0.926750063896,-0.291504651308,0.0559642873704,0.401961088181,0.174435839057,-0.534159302711,0.275861859322,-0.993160605431,-0.480793446302,1.07953071594,0.192227363586,-0.185868054628,0.574899971485,0.518284142017,-0.351000010967,0.829199969769,-0.0867046564817,0.275868237019,-1.44771838188,-0.305201470852
2309,-0.278888374567,1.24410283566,0.846598029137,-0.120866954327,-0.24794998765,-0.0332595519722,-0.476249992847,0.903927326202,-0.834264338017,-2.1767718792,0.0863749980927,0.474960893393,-0.868095099926,0.886448204517,-0.249319523573,-0.121233716607,0.015792613849,-0.739915072918,1.17040002346,-0.0308986008167,-0.477049976587,0.0698999986053,-0.415430724621,-0.742408514023,-0.887470662594,-0.585212826729
387,-0.998580873013,0.263219535351,-1.28873455524,0.0318816229701,-0.67610001564,-1.26361787319,0.574199974537,0.268206477165,-0.137478232384,-0.412213593721,-0.413375645876,-0.400548160076,-0.437161296606,-0.282936692238,-0.145572990179,0.616592884064,0.202112019062,-0.437562346458,0.203850001097,-0.184970617294,-0.574750006199,0.0309499949217,-0.803285002708,-0.316441059113,-1.10999190807,-0.99621117115
3553,0.103832781315,0.613383591175,0.157458722591,0.840547263622,-0.472800016403,-0.49165096879,0.834250032902,-0.379389226437,0.214040890336,1.09299552441,1.06544649601,-0.277904003859,0.465242892504,0.255353242159,-0.0466420352459,0.153087124228,-1.05403780937,-0.243824705482,1.15034997463,-0.476356655359,-1.13864994049,-0.201849982142,-0.481707304716,0.757627606392,-0.0541809648275,1.36822223663
427,-1.13952279091,-1.28919887543,-0.488492429256,-0.583804666996,0.00984999909997,-0.648593902588,-0.379000008106,-0.385585010052,-0.0130572915077,-0.120366930962,-0.425158977509,0.343667775393,0.405631482601,-1.04305648804,-1.12603747845,0.0870697051287,-0.506676614285,1.70369386673,-1.23845005035,0.278876781464,-0.603749990463,-0.123950004578,0.555553913116,0.697309613228,0.623834252357,0.703970134258
5898,0.906954348087,-0.94884455204,-0.62324243784,-0.37744346261,-0.208199992776,-0.621704816818,-0.138150006533,-0.967053949833,-0.0640133991838,-0.536036014557,0.587070941925,-0.408315390348,-0.539921998978,0.273550152779,0.649147033691,0.122108489275,-1.01639950275,0.115942925215,-1.00055003166,-0.182010084391,-1.02059996128,0.102650016546,-0.0977504104376,-0.372140258551,-0.0792511552572,0.233686685562
23365,-0.183108955622,-0.871051728725,0.00683982670307,-0.342919766903,-0.173750013113,-0.258079558611,0.459200024605,-0.298494637012,-1.29111385345,-1.75410461426,-1.38630914688,-0.140290930867,0.530666947365,-0.101272851229,-0.0524944663048,-0.499803006649,-0.088743917644,-0.779819965363,-0.955350041389,-0.674051642418,-0.169349998236,-0.955900013447,0.195787325501,-0.418533056974,-0.450163573027,-0.469109803438
6657,0.213191598654,1.77038097382,0.5574041605,0.253953635693,0.298449993134,1.25212168694,-0.813000023365,-0.224540174007,0.657704949379,1.23864912987,0.988925457001,0.395226120949,0.899043738842,-0.10730111599,-0.721344828606,-0.482029736042,-1.22504746914,0.536675572395,0.111699998379,1.59711408615,-0.499150007963,-0.469249993563,0.759275555611,-0.777115821838,0.231717139482,0.717806041241
