rid,CPC014_A375_6H:BRD-A02198599-001-06-1:10,CPC014_A549_6H:BRD-A02198599-001-06-1:10,CPC014_A549_24H:BRD-A02198599-001-06-1:10,CPC014_ASC_24H:BRD-A02198599-001-06-1:10,CPC014_HA1E_6H:BRD-A02198599-001-06-1:10,CPC014_HCC515_6H:BRD-A02198599-001-06-1:10,CPC014_HEPG2_6H:BRD-A02198599-001-06-1:10,CPC014_HT29_6H:BRD-A02198599-001-06-1:10,CPC014_MCF7_6H:BRD-A02198599-001-06-1:10,CPC014_MCF7_24H:BRD-A02198599-001-06-1:10,CPC014_NEU_24H:BRD-A02198599-001-06-1:10,CPC014_NPC_24H:BRD-A02198599-001-06-1:10,CPC014_PC3_6H:BRD-A02198599-001-06-1:10,CPC014_PC3_24H:BRD-A02198599-001-06-1:10,CPC014_PHH_24H:BRD-A02198599-001-06-1:10,CPC014_SKB_24H:BRD-A02198599-001-06-1:10,CPC014_VCAP_6H:BRD-A02198599-001-06-1:10,CPC014_VCAP_24H:BRD-A02198599-001-06-1:10
5720,0.133665621281,0.375017046928,0.699495971203,0.758102416992,0.367772310972,-1.14642989635,-0.0807499960065,0.133372694254,0.427846878767,-0.967802166939,-0.16859999299,0.0783658921719,-0.908821880817,-0.0213796198368,0.53854995966,-0.721962034702,0.0884088873863,0.153385967016
466,0.0152765512466,0.318093568087,-0.243478015065,-0.201278835535,-1.37223577499,-0.816244721413,-0.155999988317,0.191771686077,0.113719716668,-0.472000926733,0.713900029659,0.231488093734,-0.974503993988,-0.13905492425,-0.346699982882,-0.598631024361,0.588639676571,-0.173578292131
6009,0.320877730846,-0.173232018948,0.865871429443,-0.950536966324,0.611175060272,0.451606959105,-0.862500011921,-0.101439617574,0.425591021776,-0.20388622582,0.211700007319,-1.61686372757,-0.032552678138,0.406416535378,-0.540899991989,-0.486996620893,-0.00471898168325,0.596067547798
2309,-0.623257040977,-0.0374955944717,-0.000686072744429,0.487780153751,-2.9011657238,-0.0960042774677,-0.036200016737,0.0834071040154,-4.00701093674,-0.585561215878,-0.347099989653,-0.313399255276,0.667114078999,0.262391269207,-0.44604998827,-0.157452195883,0.20568087697,-0.112598784268
387,-0.500544190407,-1.48656451702,-0.812630534172,-1.48734986782,0.586574733257,-0.187636524439,-0.671450018883,-0.177041903138,-1.14203774929,-0.91272777319,-0.370999991894,-2.78943371773,0.138893961906,0.272777318954,-0.66282504797,-1.72598314285,0.904912590981,0.0894064307213
3553,-0.513417124748,0.0554700493813,-0.101303122938,-0.147050589323,-0.80431330204,0.741811454296,0.248799994588,-0.528651297092,0.777894198895,1.30215489864,0.356299996376,0.540129840374,-0.07683057338,0.492794334888,0.805150032043,0.198404625058,-1.08445334435,0.504565775394
427,1.56987786293,-0.0606375411153,-0.507840752602,0.555098414421,-0.749484121799,0.91990095377,-1.67140007019,-0.503761947155,0.74936747551,-0.155868262053,1.17990005016,0.707303643227,-0.18333658576,-1.46299755573,0.274125039577,-0.78318977356,-0.247165992856,-0.517927229404
5898,0.675209701061,-0.0742796808481,0.0911326780915,-0.030658647418,0.27125287056,-0.29655367136,-1.10544991493,-0.281067341566,-1.19111788273,-0.106626272202,0.587000012398,0.0716381371021,-0.437837392092,0.109050676227,0.0718000084162,-0.336347162724,-0.298991680145,-0.088213250041
23365,-0.826329946518,4.55974817276,-0.432338178158,0.0604047328234,-1.08202314377,-0.801597356796,-1.2921500206,-0.958605527878,0.378410220146,0.667346477509,-0.695699989796,-0.839249432087,0.0328867509961,0.132703557611,0.480075001717,-0.0373940840364,-0.376964658499,0.760673463345
6657,-0.137241840363,0.238233938813,-0.942007005215,-0.256833672523,-1.94780337811,0.650468945503,0.615350008011,-0.398481637239,1.26470124722,0.912914633751,-0.034200001508,-0.171462982893,-0.947339236736,-0.256361424923,0.271400004625,0.749032914639,-0.882851958275,-0.00879450887442
5054,0.96929204464,-0.665967226028,-0.924412608147,-0.306138426065,-0.774187147617,-0.123527541757,0.102750003338,-0.15470585227,-0.555665493011,0.333797335625,-0.335900008678,0.185460209846,-0.31791394949,-0.193109869957,-0.00734999775887,-0.770707249641,0.64776879549,-0.0155897885561
