rid,DOS030_VCAP_6H:BRD-K28431278-001-01-3:5,DOS030_VCAP_24H:BRD-K28431278-001-01-3:5,DOS034_A375_24H:BRD-K28431278-001-01-3:5,DOS034_A549_24H:BRD-K28431278-001-01-3:5,DOS034_HT29_24H:BRD-K28431278-001-01-3:5,DOS034_MCF7_24H:BRD-K28431278-001-01-3:5,DOS034_PC3_24H:BRD-K28431278-001-01-3:5,DOSBIO001_A375_24H:BRD-K28431278:10.0047,DOSBIO001_A549_24H:BRD-K28431278:10.0047,DOSBIO001_HT29_24H:BRD-K28431278:10.0047,DOSBIO001_MCF7_24H:BRD-K28431278:10.0047,DOSBIO001_PC3_24H:BRD-K28431278:10.0047,DOSBIO001_NEU_24H:BRD-K28431278:10.0047,DOSBIO001_NPC_24H:BRD-K28431278:10.0047,ERG014_PC3_24H:BRD-K28431278-001-01-3:10.0047,ERG014_PC3_6H:BRD-K28431278-001-01-3:10.0047,ERG014_VCAP_24H:BRD-K28431278-001-01-3:10.0047,ERG014_VCAP_6H:BRD-K28431278-001-01-3:10.0047
5720,-1.00045609474,1.10379207134,-0.0878502428532,-0.301396399736,0.00225000083447,0.523767828941,0.617841243744,-0.248340547085,-0.535466492176,-0.657030045986,0.0219646692276,0.69561624527,-0.344700008631,0.669630169868,-0.0587467029691,-1.32694995403,-0.186003088951,0.108418464661
466,-0.557971179485,0.652874410152,-0.966881632805,-0.802570104599,-0.740700006485,-0.0789990723133,0.610682964325,-0.416316390038,0.803350567818,-0.979092717171,0.158239781857,-0.320928633213,-1.12199997902,-0.840246915817,0.245443448424,-0.245700001717,-0.364535301924,-1.48216438293
6009,0.485738754272,-5.70573759079,-0.686829984188,-0.120636805892,-0.990249991417,-0.25856089592,1.87762463093,1.3140900135,-0.00203714519739,0.917486429214,0.231922715902,0.489955037832,-0.519649982452,0.487736940384,0.84875369072,0.95835006237,-0.868905425072,0.574532151222
2309,-1.84750461578,-0.559971630573,-0.535764038563,-0.541296005249,-0.142350003123,-3.63917922974,0.023862272501,0.734013080597,0.000323921442032,1.43475294113,0.908027887344,-0.295130729675,0.0383999943733,2.08760523796,-0.158285915852,0.331499993801,-0.0428687483072,0.564336657524
387,-0.788105845451,-0.950883448124,-0.807020664215,-0.7836124897,-0.15110000968,-1.01981830597,-0.144465565681,0.712019085884,0.720410943031,0.764794111252,-0.445296525955,0.917904913425,-0.536550045013,2.57641649246,1.97831916809,1.03145003319,-0.142877459526,1.08825993538
3553,1.4644998312,1.11386573315,1.26794159412,0.572901844978,0.0316499993205,0.902986049652,1.13995409012,-0.518898487091,-0.423461019993,-1.28081274033,0.501484811306,0.916718959808,0.188899993896,-0.113336861134,1.10667216778,1.14125001431,-0.394344419241,0.790218532085
427,0.289143919945,0.374105036259,-0.253143548965,-0.0281605124474,-0.733999967575,0.0392871797085,0.0779770612717,0.382904678583,1.55567026138,0.931313753128,-0.105588302016,0.611520171165,0.212549984455,-1.60037612915,-0.136576607823,0.290250003338,0.309750080109,-2.33148813248
5898,1.14014720917,0.000558286905289,-0.0686990767717,-2.14140486717,-0.433450043201,1.01147294044,-1.05742573738,0.588314116001,0.308630734682,-0.326336175203,-0.626090228558,0.0790862590075,1.49975001812,0.795382618904,0.356375336647,0.363049983978,-0.282255381346,0.263453513384
23365,0.580870985985,-0.930223464966,0.149546518922,-0.942602515221,0.882149934769,-0.427165150642,-1.6042317152,-0.096679776907,0.496276319027,0.213247597218,-0.373987674713,0.835872292519,-0.431499987841,1.0619661808,1.75319302082,0.200599998236,1.67719602585,0.0572073385119
6657,1.05663633347,1.11602592468,0.904667794704,0.192231535912,0.427150011063,1.09729790688,0.927408874035,-1.31685113907,-1.09740257263,-0.949369430542,-0.371810495853,-0.84284889698,0.136849999428,-1.36354637146,-1.1800993681,-0.240300014615,-0.15629696846,0.143524155021
5054,0.852991700172,-0.752147197723,0.0716657191515,0.375543802977,0.402300000191,-1.81256937981,-0.432914793491,-0.445272117853,1.51329278946,0.00224335491657,-0.832702279091,-0.584112644196,-0.157549992204,-0.205797925591,1.04087758064,-0.248800009489,0.150746524334,0.296254396439
3108,0.176695659757,-1.20358467102,-1.16770756245,0.0246630553156,-0.384500026703,0.00265064835548,0.367392539978,1.63027083874,-0.282609939575,0.849580526352,1.74506568909,0.27176836133,-0.0686499774456,0.472805529833,-0.0320882834494,0.899950027466,0.207325100899,0.98946595192
1950,2.21354699135,0.21444645524,1.28022003174,0.790966391563,0.436649978161,1.21800923347,0.936449170113,0.115407288074,-1.28808307648,-0.343900740147,-0.973565399647,-0.695206940174,-0.495400011539,-1.29161548615,-1.10310196877,-0.5,-1.58437609673,-0.464033633471
351,-0.454264193773,-0.23811134696,0.406791985035,0.354539990425,-1.04750001431,0.377758234739,0.089536011219,-0.487578898668,-0.325282216072,0.604811906815,0.118202060461,-0.147161841393,-0.213149994612,-1.5484521389,-0.560822188854,0.329499989748,0.986457824707,-1.45492768288
4846,0.560871422291,-0.450471103191,0.512093067169,-0.24137301743,0.491050004959,0.158166378736,0.979069948196,0.0168736428022,-1.06856632233,0.396996855736,0.835921943188,-0.438617706299,0.590749979019,0.95353358984,-0.71974760294,-1.06989991665,-1.27900135517,2.00265479088
1452,-0.852173149586,-1.20061206818,-0.487933516502,-0.198969006538,0.138300001621,0.0533730536699,-0.950643002987,0.234108746052,-0.149883925915,1.35393822193,-0.633182883263,0.739201843739,0.634599983692,1.05111098289,1.36350810528,0.142299994826,0.175840854645,-0.436825633049
4776,2.3362493515,1.47742700577,1.75957870483,0.804120838642,0.300049990416,1.23532009125,0.801412463188,-1.10571837425,-0.483604729176,-0.622084796429,-1.01149427891,0.346115738153,0.58630001545,0.0866444706917,-0.835030734539,0.198550000787,0.22130432725,0.898718595505
6908,-0.959610939026,-0.291631817818,-0.352061390877,-1.33354687691,-0.756349980831,-0.27938875556,-0.354158163071,0.320585131645,-0.585364937782,-1.14022946358,0.108045294881,0.515060544014,-0.409399986267,-0.982003986835,0.807879149914,-0.946400046349,-0.405747503042,0.175741225481
672,-0.66613483429,1.14140152931,0.335711061954,-1.32107615471,-0.307450026274,-0.602523028851,-0.00139687955379,-0.20828333497,0.114184767008,0.918884932995,-0.341096609831,-0.0996404290199,-0.489250004292,-1.83357417583,-0.147591292858,-0.326449990273,-0.0919440090656,-1.03228390217
5710,-0.417454063892,-1.81628620625,0.0579469203949,-0.612548053265,0.46930000186,-1.63040447235,-0.200151607394,-0.52418410778,0.502637445927,-0.067190349102,-0.972238063812,0.928676247597,-0.591549992561,-0.262280553579,1.25915539265,0.0153000056744,1.2295627594,0.917142629623
