rid,ERG012_PC3_24H:BRD-K41342615-001-01-7:10.002,ERG012_PC3_6H:BRD-K41342615-001-01-7:10.002,ERG016_VCAP_24H:BRD-K41342615:10,ERG016_VCAP_24H:BRD-K41342615:3.33,ERG016_VCAP_24H:BRD-K41342615:1.11,ERG016_VCAP_24H:BRD-K41342615:0.37,ERG012_VCAP_24H:BRD-K41342615-001-01-7:10.002,ERG012_VCAP_6H:BRD-K41342615-001-01-7:10.002
5720,-0.160063445568,-0.0173235982656,0.186699077487,-0.381031811237,-0.242466583848,-0.483696371317,-0.093821644783,0.695357441902
466,0.00566217303276,-0.547501444817,0.682306408882,0.379629403353,0.450455009937,-1.76241362095,1.02946484089,-1.92245829105
6009,-0.752486824989,-0.155493438244,-0.863877892494,-0.293088853359,0.070665217936,-0.544960737228,0.238190293312,0.8392406106
2309,0.134276047349,0.771146595478,-0.0223860554397,-0.555798172951,-0.358365476131,-0.81678301096,0.170417055488,0.536974430084
387,-0.979822218418,-0.506188631058,-0.157112509012,0.048694640398,0.226320505142,-0.0666213110089,0.36300098896,0.988542973995
3553,-0.940782427788,0.173684477806,0.0922619625926,-0.553968310356,-0.331084549427,0.569341778755,-0.304808914661,0.304756581783
427,0.0551667362452,-0.142107605934,0.463733553886,0.300807714462,0.707735538483,0.41867184639,0.688223361969,-1.05556058884
5898,-1.07409453392,-0.934251666069,0.115649282932,-1.77440142632,-0.559421598911,-1.02081549168,0.62773668766,-0.871469259262
23365,0.0503443181515,-0.0557196885347,-0.16941344738,-0.407248675823,-0.287348538637,-0.601596057415,1.04049825668,-0.765485644341
6657,4.56931877136,-0.0485389083624,-0.330904811621,-0.388651132584,-0.100875884295,-0.0750754028559,-0.981258034706,0.45461088419
5054,-0.89997035265,-0.731938004494,-0.53228354454,0.195018842816,-0.27105897665,-0.109948128462,0.0267444550991,0.0739430189133
3108,-0.205507010221,0.582758069038,-0.690223574638,0.0849755108356,-0.749451696873,-0.525773406029,0.0902125537395,0.474848091602
1950,-0.656308829784,-0.133634954691,-0.345946967602,0.228798389435,0.0669565945864,0.498125046492,-0.454783856869,0.920133292675
351,0.297722280025,-0.545114219189,0.0977365300059,0.913806438446,1.55660152435,-0.641699135303,-0.700107336044,1.65530622005
4846,-1.05441820621,-0.606145560741,0.597332715988,-0.509073495865,0.147300153971,0.0800575017929,-0.287927508354,-0.388566583395
1452,-0.176078259945,-0.454316467047,-0.224358275533,-0.297424793243,-0.334196716547,-0.708017468452,0.436995178461,0.322092264891
4776,0.499701112509,0.27407643199,-0.632230103016,-0.709155201912,-0.342589378357,0.112833783031,-0.264063477516,0.13451847434
6908,-0.682253241539,0.0518487617373,-0.416312515736,-0.460598409176,0.19377194345,-0.440771341324,0.345012903214,-0.0344099849463
672,-0.592435419559,1.35338783264,0.257128804922,0.16421559453,1.209638834,0.258730113506,0.135194450617,-1.32158493996
5710,0.256996899843,-0.58239865303,-0.402729600668,-1.18380641937,-0.266108930111,-3.43600082397,1.1848744154,0.107281818986
2115,-0.382029354572,1.0749887228,-0.237050950527,-0.518001437187,0.405942797661,-0.706441402435,0.0796271413565,0.91138792038
7015,0.701677203178,-0.804207086563,-0.475712716579,-0.577441334724,-0.246431320906,0.00928589701653,-0.556924641132,0.929684102535
8726,0.20970633626,0.564537286758,0.854011416435,-0.0848032534122,-0.143572181463,0.161571875215,0.943043768406,-1.26959228516
2185,-0.398700356483,-0.972496092319,-0.0514475554228,-0.994903922081,-0.477998495102,0.101759046316,-0.755422055721,0.385829776525
3315,-0.781527221203,0.79302573204,0.126823961735,-0.326820701361,-0.483344018459,-0.495779514313,-0.2040078789,-0.308611780405
5289,-0.386286407709,0.320633202791,-0.219568133354,-0.76086294651,-1.13736557961,-0.700975418091,0.403943419456,1.27649331093
868,3.40296530724,0.306875765324,-0.00617027282715,-0.671106219292,0.179495185614,-0.384610980749,-0.639909684658,0.485401511192
1677,0.159728139639,0.0861377120018,-0.201855912805,0.0308824181557,-0.427822709084,-0.155490458012,-0.957548081875,0.0453581511974
7043,0.096265040338,-0.896097660065,-0.656736910343,-0.740882277489,-0.34606602788,0.176832810044,-0.650331377983,0.525249063969
5613,3.86594724655,-0.243259638548,0.131765216589,0.0533763542771,0.0350607447326,0.558577179909,-0.657538831234,-0.353059709072
595,-0.805475890636,-0.56255543232,-0.455962359905,-0.59531378746,-0.267882466316,-0.878280103207,1.11592638493,-0.00860672816634
4793,-0.362442493439,0.637195706367,-0.56571406126,-0.975343585014,-1.05605792999,-1.08803415298,0.168685793877,0.477398723364
2736,-0.40780454874,-0.593842089176,-0.352897971869,-0.736248314381,0.400905132294,-0.0702701508999,-0.478316009045,1.67668771744
5290,2.26157617569,0.262806475163,0.458788990974,1.04085767269,0.428998470306,1.6399204731,-0.66526466608,-0.129058003426
6194,-0.559179961681,0.700420558453,0.169303283095,0.224468931556,0.713599979877,-0.894714891911,-0.0951510965824,0.0
1676,0.197812274098,-0.51318281889,-0.358195006847,-0.226739197969,-0.564051389694,0.382153332233,-0.778245508671,0.335431098938
23512,-0.0526433065534,0.974870204926,0.575531363487,-0.394859671593,0.663814485073,-0.361929476261,0.482330352068,-0.420005619526
148022,4.70435619354,-0.37502348423,-0.392797619104,-0.832962274551,0.0768977850676,-0.235451757908,0.964016437531,-0.248513147235
1906,0.457014769316,-0.494223177433,-0.317849755287,-0.493298202753,-0.518568694592,0.221078723669,-1.32219159603,0.443552196026
8878,-0.545494377613,-0.272000551224,0.00220574438572,-1.69403791428,-0.162023931742,-1.30442523956,1.11962354183,0.856935381889
3091,-0.494059860706,-0.332715243101,-0.144657984376,-0.294998049736,0.327448070049,0.311968266964,0.127414911985,-0.463760793209
5743,0.372583538294,0.254360616207,0.505730628967,0.490038216114,0.858603596687,4.50703477859,-0.385859131813,0.417625784874
5321,0.981715619564,-0.535743117332,-0.272908985615,0.330345749855,0.00776255130768,0.55500793457,-1.12668073177,0.0437842905521
4144,1.08918869495,-0.229511171579,-0.142874851823,0.381458431482,-0.153334259987,-0.615065455437,0.165098980069,0.343187004328
1981,0.370909690857,0.232126444578,-0.758244812489,-0.693862974644,-0.0890926867723,-0.286690056324,0.187695533037,0.436117768288
695,0.173543274403,-0.0417170375586,0.146455362439,-0.912295639515,0.177574396133,0.0271080136299,-0.985490441322,-1.01516497135
10398,0.334401726723,-0.980775117874,-0.635051608086,-0.495716154575,-0.821395277977,-0.0335903465748,-0.706936836243,0.461635380983
5708,-0.714453399181,0.445694923401,0.00455306470394,-0.0614792257547,0.0723284333944,0.563603103161,-0.0151717960835,0.49325171113
1213,-0.902251541615,-0.42504248023,0.0723433345556,-0.590503454208,0.20229524374,-0.19600521028,1.0324845314,0.212332338095
226,-0.166418507695,-0.524577617645,-0.235334903002,0.0506644248962,0.737212657928,0.104468464851,1.04140007496,-0.501077830791
6777,0.124832436442,0.292133688927,0.651297450066,0.252125114202,-0.782815814018,-0.229331105947,0.186420127749,-0.187375664711
2113,0.344922482967,-0.425380587578,-0.349449157715,-0.10790348053,-0.52962744236,-0.439013451338,-1.1222653389,0.0155608654022
