rid,CPC005_A375_6H:BRD-K28167849-001-03-9:10,CPC005_A375_24H:BRD-K28167849-001-03-9:10,CPC005_A549_6H:BRD-K28167849-001-03-9:10,CPC005_A549_24H:BRD-K28167849-001-03-9:10,CPC005_HA1E_6H:BRD-K28167849-001-03-9:10,CPC005_HA1E_24H:BRD-K28167849-001-03-9:10,CPC005_HCC515_6H:BRD-K28167849-001-03-9:10,CPC005_HT29_6H:BRD-K28167849-001-03-9:10,CPC005_HT29_24H:BRD-K28167849-001-03-9:10,CPC005_MCF7_24H:BRD-K28167849-001-03-9:10,CPC005_MCF7_6H:BRD-K28167849-001-03-9:10,CPC005_PC3_6H:BRD-K28167849-001-03-9:10,CPC005_PC3_24H:BRD-K28167849-001-03-9:10,CPC005_VCAP_6H:BRD-K28167849-001-03-9:10,CPC005_VCAP_24H:BRD-K28167849-001-03-9:10,CVD001_HEPG2_6H:BRD-K28167849-001-02-1:10,CVD001_HEPG2_6H:BRD-K28167849-001-02-1:2.5,CVD001_HEPG2_24H:BRD-K28167849-001-02-1:10,CVD001_HEPG2_24H:BRD-K28167849-001-02-1:2.5,CVD001_HUH7_6H:BRD-K28167849-001-02-1:10,CVD001_HUH7_6H:BRD-K28167849-001-02-1:2.5,CVD001_HUH7_24H:BRD-K28167849-001-02-1:10,CVD001_HUH7_24H:BRD-K28167849-001-02-1:2.5,CVD001_PHH_6H:BRD-K28167849-001-02-1:10,CVD001_PHH_6H:BRD-K28167849-001-02-1:2.5,CVD001_PHH_24H:BRD-K28167849-001-02-1:10,CVD001_PHH_24H:BRD-K28167849-001-02-1:2.5
5720,-0.441448479891,0.728594899178,0.743435919285,0.623064994812,0.980650007725,-0.465937376022,0.0356000065804,-3.24400305748,0.629585623741,-0.2535353899,1.03410577774,0.692670702934,-0.744565546513,-0.24589189887,0.895376205444,0.182334214449,0.172455966473,-1.90383028984,-1.63583707809,0.352649986744,0.452005982399,0.211197912693,-0.412561953068,-0.156788051128,-1.27590000629,-0.136399999261,-2.09529995918
466,-0.077017724514,0.618303179741,-0.132990151644,0.10463026911,-0.364849984646,-0.889082551003,0.588899970055,0.687906384468,0.283691465855,-0.402906388044,0.355156004429,0.672017157078,-0.325087994337,-0.0789544507861,0.724101901054,1.6341958046,0.257661998272,-0.548578023911,-0.929721355438,0.800549983978,-2.20509386063,-0.146866992116,-0.922686040401,0.0374800264835,-1.75970005989,-2.69255018234,-1.53834998608
6009,0.362736463547,0.253897666931,-0.866675496101,0.306840538979,0.149250000715,-0.760115385056,-2.25694990158,-0.0758619755507,-0.584573209286,-1.12739825249,1.47037982941,-0.132989257574,0.200247690082,-0.558646321297,0.0326867029071,0.459179878235,2.05385160446,1.63951897621,1.13833332062,1.45015001297,1.08027696609,0.966237366199,-0.0182366222143,1.48706257343,2.61584997177,0.51884996891,1.17495000362
2309,1.05027151108,2.49945211411,0.0568140856922,-0.634437441826,-0.295249998569,0.206661403179,-0.394499987364,-0.651029706001,0.0225189551711,0.79807549715,0.0226742364466,0.249798163772,4.01338863373,-0.578324258327,-0.000593840144575,0.761567115784,1.10924947262,1.76699638367,1.44641149044,0.0647999942303,0.210872620344,0.307256817818,-0.348361819983,1.05298030376,0.73884999752,-1.12664997578,-0.24074998498
387,0.516367256641,0.157849937677,-0.564801752567,-0.109967395663,0.425949990749,0.361440420151,0.233799993992,0.939527332783,-0.645032763481,0.0285332649946,0.324485749006,0.0355230569839,-0.27249032259,-0.0321103408933,-0.214151144028,0.217549145222,1.63757371902,1.89473557472,1.12994337082,1.11895000935,1.63086223602,-0.117364853621,-0.436652958393,0.87107115984,1.18370008469,-0.120199993253,-1.5218000412
3553,-0.821333050728,1.68522942066,-0.221986934543,-0.135167568922,0.283649981022,-0.881662666798,-0.120850026608,0.785104036331,0.73976957798,-0.16554364562,0.58117634058,-0.157892554998,0.268347561359,0.78743159771,0.544877111912,0.92322075367,0.31975325942,-0.290329903364,-0.404237478971,-0.400950014591,0.510191321373,1.51712620258,0.465247631073,-0.420958936214,0.453750014305,0.0724499821663,2.95569992065
427,0.0284911543131,-0.196383982897,-0.129608437419,-0.21202558279,0.251450002193,-0.449840903282,0.113649994135,0.0478922352195,-0.411275655031,-0.333110183477,0.745425641537,-0.436096847057,0.145799383521,-0.541611015797,0.361124932766,0.259022146463,-0.467476904392,-0.450779855251,0.00394390523434,0.459899991751,-1.9694429636,0.70281881094,0.176503106952,-2.38151216507,-0.788850009441,-0.615599989891,0.799999952316
5898,0.511810779572,0.853428244591,0.350093722343,0.408122092485,-0.0573500096798,-0.258391082287,1.03359997272,0.683565199375,-0.165689110756,-0.128065630794,0.218284085393,0.00875350832939,0.469106644392,1.49394118786,0.640748023987,0.137930825353,0.794440686703,1.33033323288,0.766601502895,0.970849990845,-0.592744827271,-0.401802957058,-1.21250867844,-0.54781639576,-2.38094997406,1.90540003777,1.56984996796
23365,-0.4683380723,-0.778161764145,-0.222748339176,-0.443495690823,-1.13905000687,-0.381334006786,-0.0382499992847,-0.202834248543,-0.843179643154,-0.0751293748617,-0.616375982761,-0.968987166882,-0.356460183859,0.362211942673,-0.131124347448,-0.501909375191,-0.121343106031,2.11093068123,1.94883370399,1.01059997082,1.07081031799,0.111086964607,0.00728863477707,0.110923498869,0.289400011301,-0.627799987793,-0.6575999856
6657,-0.390231192112,-0.669470489025,0.530983269215,-0.266759604216,-0.794849991798,-0.0449497252703,0.867199957371,-0.200111478567,1.45573198795,-0.223568558693,-0.546737730503,-0.250632405281,0.713994503021,0.70941567421,0.362972378731,-0.354832351208,1.02444696426,-0.311638861895,0.281742870808,0.211349993944,1.26054620743,0.636589229107,0.24003072083,-0.448817193508,1.43494999409,-0.556850016117,1.18089997768
