rid,DOS055_A375_24H:BRD-K53475565-001-01-0:5,DOS055_A549_24H:BRD-K53475565-001-01-0:5,DOS055_HT29_24H:BRD-K53475565-001-01-0:5,DOS055_MCF7_24H:BRD-K53475565-001-01-0:5,DOS055_PC3_24H:BRD-K53475565-001-01-0:5,DOSBIO001_A375_24H:BRD-K53475565:10.0808,DOSBIO001_A549_24H:BRD-K53475565:10.0808,DOSBIO001_HT29_24H:BRD-K53475565:10.0808,DOSBIO001_MCF7_24H:BRD-K53475565:10.0808,DOSBIO001_PC3_24H:BRD-K53475565:10.0808,DOSBIO001_NEU_24H:BRD-K53475565:10.0808,DOSBIO001_NPC_24H:BRD-K53475565:10.0808,ERG012_PC3_24H:BRD-K53475565-001-01-0:10.0808,ERG012_PC3_6H:BRD-K53475565-001-01-0:10.0808,ERG012_VCAP_24H:BRD-K53475565-001-01-0:10.0808,ERG012_VCAP_6H:BRD-K53475565-001-01-0:10.0808
5720,-0.228000000119,-1.26139998436,-0.484530866146,-1.31211864948,0.774649977684,1.15923035145,0.722065806389,0.701017081738,0.323940038681,-0.119592055678,-0.544250011444,1.21242654324,1.20844948292,1.09629952908,0.287793874741,-0.026383176446
466,0.769150018692,0.391750007868,-1.9523434639,0.600904226303,-1.22350001335,0.279550254345,0.0362821370363,-0.792214691639,-0.607465088367,-0.00461739301682,0.189450010657,0.0830540731549,1.15317904949,0.114359989762,0.0260030329227,0.199781879783
6009,-0.272400021553,-0.551599979401,-0.0771187469363,1.1366045475,0.353399991989,0.388373970985,1.37781941891,0.78829741478,-0.359397739172,-0.326677829027,-0.777300000191,-0.399571061134,0.325992137194,-0.200030609965,-1.82421672344,-0.520872592926
2309,0.512599945068,-0.946550011635,-0.165358275175,-3.2505273819,0.430200010538,-0.213705182076,0.215437188745,-0.33840495348,-0.593242585659,-0.137848377228,0.0929499939084,1.26262032986,0.576398968697,-0.123249307275,-0.176049351692,-0.0923251658678
387,-0.104650020599,-0.39280000329,0.561646044254,1.47296917439,-0.154500007629,-0.574630618095,-0.152573823929,-0.320245206356,-1.01670062542,-0.94752395153,0.469199985266,-0.0520075112581,1.4630587101,1.01052260399,-1.35692727566,-1.11834526062
3553,0.48140001297,0.161000013351,0.261956781149,-0.0227366685867,-0.942900002003,-0.33233165741,-0.891057014465,-0.473774075508,1.18295073509,-0.220632195473,0.0261500179768,-0.195319503546,0.599766075611,0.145705029368,0.332976669073,0.048390455544
427,-0.933799982071,0.984899997711,-0.0631230697036,-0.231273069978,-1.41939997673,-0.164130985737,1.8232858181,4.17112636566,0.510140895844,-0.375376999378,0.0853500068188,0.074848972261,-0.0379624962807,0.469441831112,0.184789910913,-0.624592721462
5898,0.848550021648,-1.10134994984,-1.91181302071,0.599870681763,-0.094549998641,0.179435744882,0.461223632097,-0.169908642769,0.100898832083,0.126931458712,-0.327650010586,0.518388271332,0.785998821259,0.827366292477,0.420142710209,0.108494773507
23365,2.84579992294,3.12249994278,0.416226178408,1.21423017979,-0.225999996066,-1.09705471992,-0.599158585072,0.175311297178,-1.19155538082,-0.175387501717,-0.521299958229,-0.16825889051,1.77149510384,1.75156593323,0.37959048152,0.100844956934
6657,-0.60119998455,0.360500007868,0.880119025707,0.420129746199,0.0706499963999,0.0482847243547,-0.395102292299,-0.203834652901,2.14359092712,0.424546778202,0.506399989128,1.35017967224,-0.763320207596,-1.20861101151,-0.135637164116,-0.0324003323913
