rid,DOS003_VCAP_6H:BRD-K01573538-001-01-9:5,DOS003_VCAP_24H:BRD-K01573538-001-01-9:5,DOSBIO001_A375_24H:BRD-K01573538:10.0061,DOSBIO001_A549_24H:BRD-K01573538:10.0061,DOSBIO001_HT29_24H:BRD-K01573538:10.0061,DOSBIO001_MCF7_24H:BRD-K01573538:10.0061,DOSBIO001_PC3_24H:BRD-K01573538:10.0061,DOSBIO001_NEU_24H:BRD-K01573538:10.0061,DOSBIO001_NPC_24H:BRD-K01573538:10.0061
5720,-1.65090000629,-0.867767333984,-0.690946221352,0.367971360683,0.534398555756,0.0159398466349,0.714652657509,1.90869998932,1.16581058502
466,-2.24674987793,-0.824609279633,-0.914153218269,-0.291334569454,-0.563341796398,-0.508049368858,0.597611069679,-0.146400004625,0.499384850264
6009,-0.203650012612,-0.53451269865,0.298138588667,-1.06076741219,1.48249363899,-0.894829034805,-0.553575336933,-0.589699983597,-0.338402569294
2309,0.0967499911785,-0.211396098137,-0.560127258301,0.160192757845,0.247004672885,0.639750063419,-0.575670957565,-0.58780002594,-0.569947838783
387,-0.607300043106,-0.33269494772,-0.190481066704,-0.268576055765,-0.278555035591,-0.745496869087,0.992614746094,-0.402200013399,-0.199607640505
3553,0.797549962997,0.797041416168,0.346857130527,1.50275635719,-0.942353725433,-0.142901182175,-0.514820218086,0.492649972439,0.135807916522
427,-0.197600007057,0.711627423763,-0.442828625441,1.31979000568,0.23355743289,2.19810771942,0.546907365322,0.397650003433,-0.265426576138
5898,-1.36704993248,0.0624354407191,-0.19155728817,-0.972486197948,-0.490318477154,-1.21964657307,0.572484493256,-0.85095000267,-1.5413506031
23365,-0.551550030708,-0.172810778022,0.356949985027,0.0688999220729,-1.93676161766,-0.79912006855,0.688216030598,0.266400009394,0.839940369129
6657,1.17089998722,0.248644739389,-0.257232040167,1.25764465332,-0.0442075952888,0.118527770042,-0.637470424175,-0.476150006056,0.117243237793
5054,-1.36349999905,-0.422672450542,2.4034280777,-0.522071659565,-0.0824509933591,-0.492457598448,-1.37656068802,-0.705899953842,-0.184118241072
3108,0.701700031757,-1.09823191166,0.277747660875,-0.167297512293,0.22669275105,-1.00055885315,-0.536437690258,0.51289999485,-0.848879575729
1950,1.75864994526,0.191821530461,-0.821881890297,1.47405171394,0.981339991093,0.0668077915907,-0.827141106129,-0.0733500048518,0.55722618103
351,2.1670999527,-0.290902554989,-0.730682373047,0.914166033268,1.34463977814,-0.233144074678,0.24138918519,-0.859300017357,0.96784901619
