rid,NMH001_FIBRNPC_6H:BRD-K17219111-236-01-8:10,NMH001_FIBRNPC_6H:BRD-K17219111-001-01-6:10,NMH001_FIBRNPC_24H:BRD-K17219111-236-01-8:10,NMH001_FIBRNPC_24H:BRD-K17219111-001-01-6:10,NMH001_NEU_6H:BRD-K17219111-236-01-8:10,NMH001_NEU_6H:BRD-K17219111-001-01-6:10,NMH001_NEU_24H:BRD-K17219111-236-01-8:10,NMH001_NEU_24H:BRD-K17219111-001-01-6:10,NMH001_NPC_6H:BRD-K17219111-236-01-8:10,NMH001_NPC_6H:BRD-K17219111-001-01-6:10,NMH001_NPC_24H:BRD-K17219111-236-01-8:10,NMH001_NPC_24H:BRD-K17219111-001-01-6:10
5720,0.156850010157,0.410899996758,-0.00570000708103,1.29815006256,0.166270270944,1.39749956131,0.214321985841,0.610350012779,0.749366700649,1.63197577,0.381787896156,0.889892697334
466,0.719349980354,0.012600004673,-1.35285007954,1.07029998302,0.34484949708,-0.378651797771,-0.0364727079868,0.615249991417,-0.0442999899387,0.793233156204,-0.0110695958138,-0.519017219543
6009,0.170699998736,-0.604200005531,0.269800007343,1.62144994736,-0.0412289239466,0.353588223457,-0.150429427624,0.270749986172,-0.710900068283,0.721532464027,0.538676381111,0.294717043638
2309,0.484649986029,-1.98879992962,0.672550022602,0.358649998903,-0.196673944592,0.805309534073,0.538305342197,0.27769997716,-2.00496673584,-0.113574787974,0.200979441404,0.771407008171
387,0.00214999914169,0.414700001478,-0.536599993706,0.188699990511,-0.856989562511,0.360300898552,-0.169198662043,-1.12929999828,-2.21566677094,0.222051799297,0.273075997829,1.11117768288
3553,-0.129150003195,-1.1590000391,1.077450037,-2.08564996719,0.238737255335,-1.0254676342,0.311859130859,-0.681450009346,-0.0653000622988,-1.62576580048,-0.875968813896,-0.768087148666
427,0.282849997282,-1.13400006294,-0.10640001297,0.357100009918,-0.198253750801,0.459065020084,1.39383172989,0.617600023746,-0.253466665745,-0.275806188583,-0.730767846107,-0.560591101646
5898,-0.647499918938,-1.17145001888,-0.717100024223,1.56620001793,0.433096379042,-1.35338926315,-2.29104042053,1.2921500206,0.173566669226,-0.442693680525,0.130472570658,-1.38016963005
23365,-0.864199995995,0.347350001335,0.29050001502,-0.00769999995828,0.126886337996,-0.606536269188,0.212392061949,0.654799997807,-0.821333408356,0.162484303117,-0.0259729996324,0.280177950859
6657,-0.193349987268,-0.687349975109,0.737850010395,-1.85135006905,-0.0764530599117,0.750837266445,0.412406116724,0.289499998093,0.421666681767,1.55237734318,-0.124414511025,0.687507867813
