rid,DOS030_VCAP_24H:BRD-K75035820-001-01-7:4.95,DOS034_A375_24H:BRD-K75035820-001-01-7:4.95,DOS034_A549_24H:BRD-K75035820-001-01-7:4.95,DOS034_HT29_24H:BRD-K75035820-001-01-7:4.95,DOS034_MCF7_24H:BRD-K75035820-001-01-7:4.95,DOS034_PC3_24H:BRD-K75035820-001-01-7:4.95,DOSBIO001_A375_24H:BRD-K75035820:9.90952,DOSBIO001_A549_24H:BRD-K75035820:9.90952,DOSBIO001_HT29_24H:BRD-K75035820:9.90952,DOSBIO001_MCF7_24H:BRD-K75035820:9.90952,DOSBIO001_PC3_24H:BRD-K75035820:9.90952,DOSBIO001_NEU_24H:BRD-K75035820:9.90952,DOSBIO001_NPC_24H:BRD-K75035820:9.90952,ERG014_PC3_24H:BRD-K75035820-001-01-7:9.90952,ERG014_PC3_6H:BRD-K75035820-001-01-7:9.90952,ERG014_VCAP_24H:BRD-K75035820-001-01-7:9.90952,ERG014_VCAP_6H:BRD-K75035820-001-01-7:9.90952
5720,-1.21525001526,-0.0933240130544,1.36727714539,0.1712000072,-0.0417500138283,-2.5261323452,0.18395370245,-0.029505699873,0.882236480713,0.00692249462008,-0.40106806159,-0.355250000954,1.24869799614,-3.01150345802,-0.182549998164,0.0930830389261,-0.0363405495882
466,-0.589249968529,-0.455953121185,0.252392113209,0.508849978447,-2.77765011787,-1.82151222229,0.581651210785,0.838338673115,1.06067705154,-0.590891242027,0.543126702309,0.59224998951,-0.63878017664,-0.290981948376,0.0140999853611,-0.00758112221956,-1.75467503071
6009,-1.58090007305,0.327598035336,-0.570948779583,0.661350011826,1.16795003414,-1.46755552292,-0.0674883276224,-1.49346554279,0.0783605724573,-0.495326697826,0.720971643925,-0.966849982738,-0.216053470969,-0.773923993111,0.0673500001431,-0.0374182164669,0.832101464272
2309,-0.674950003624,0.619459807873,-0.992683529854,0.733649969101,-0.375349998474,3.45070838928,-0.466088056564,-0.223333567381,-0.161886632442,-0.611607134342,-0.320682942867,0.421400010586,0.673904895782,0.422418951988,0.378949970007,-0.0228958800435,0.307977288961
387,0.693050026894,-0.559636414051,0.793583869934,-0.642549991608,0.0745500028133,-7.88520336151,0.00365981459618,0.237731784582,0.759737491608,-0.721794128418,-0.0826174542308,-0.760649979115,-0.0740765333176,-1.40292978287,-0.383850008249,-0.0508236885071,0.551853775978
3553,0.216550007463,1.29430341721,0.28728801012,-0.520550012589,1.08410000801,-2.75007128716,-0.275216400623,-0.558373808861,0.311061799526,1.80667734146,-0.0507178455591,1.03189992905,0.387316584587,-0.33804911375,0.0904000028968,-0.548646986485,0.52210944891
427,0.206499993801,1.65588784218,0.541467607021,1.76839995384,2.0936498642,5.64408254623,0.582723259926,0.430008530617,0.35210236907,0.124237529933,0.18612074852,0.0462999939919,0.185623526573,-0.343890845776,-0.156700000167,0.767574667931,-2.08742833138
5898,-1.28395009041,-1.30138611794,-0.189757376909,-1.95665001869,-0.706799983978,-4.3776922226,0.605548679829,0.551701009274,0.190849363804,0.474383592606,0.36712500453,0.461850017309,-0.0700554847717,-0.633982300758,-0.648999989033,-0.206597805023,-2.27181100845
23365,-0.776100039482,-1.0609793663,-0.130011111498,-0.866150021553,-4.90250015259,2.08947229385,-0.374053359032,0.864228844643,0.48016294837,-0.215330719948,-0.548928678036,-0.554099977016,0.113450944424,-0.383666753769,-0.116499990225,-0.472579926252,-1.29987192154
6657,2.00110006332,2.75704526901,1.04368054867,0.204850003123,3.22804999352,6.25095081329,0.299334675074,-0.578961968422,-1.26176607609,1.32758080959,1.15176057816,-0.887099981308,0.81743478775,0.636822164059,0.187049984932,-0.398907870054,1.17599391937
