rid,CPC004_A375_6H:BRD-A44008656-036-15-9:10,CPC004_HA1E_6H:BRD-A44008656-036-15-9:10,CPC004_HA1E_24H:BRD-A44008656-036-15-9:10,CPC004_HCC515_6H:BRD-A44008656-036-15-9:10,CPC004_HCC515_24H:BRD-A44008656-036-15-9:10,CPC004_HEPG2_6H:BRD-A44008656-036-15-9:10,CPC004_HT29_6H:BRD-A44008656-036-15-9:10,CPC004_MCF7_6H:BRD-A44008656-036-15-9:10,CPC004_PC3_6H:BRD-A44008656-036-15-9:10,CPC004_PC3_24H:BRD-A44008656-036-15-9:10,CPC004_VCAP_6H:BRD-A44008656-036-15-9:10,CPC004_VCAP_24H:BRD-A44008656-036-15-9:10,CPC011_A375_6H:BRD-A44008656-036-21-7:10,CPC011_A549_6H:BRD-A44008656-036-21-7:10,CPC011_A549_24H:BRD-A44008656-036-21-7:10,CPC011_HA1E_6H:BRD-A44008656-036-21-7:10,CPC011_HT29_6H:BRD-A44008656-036-21-7:10,CPC011_MCF7_6H:BRD-A44008656-036-21-7:10,CPC011_MCF7_24H:BRD-A44008656-036-21-7:10,CPC011_PC3_6H:BRD-A44008656-036-21-7:10,CPC011_PC3_24H:BRD-A44008656-036-21-7:10,CPC011_VCAP_6H:BRD-A44008656-036-21-7:10,CPC011_VCAP_24H:BRD-A44008656-036-21-7:10,CPC017_A375_6H:BRD-A44008656-036-15-9:10,CPC017_A549_6H:BRD-A44008656-036-15-9:10,CPC017_A549_24H:BRD-A44008656-036-15-9:10,CPC017_ASC_24H:BRD-A44008656-036-15-9:10,CPC017_HEPG2_6H:BRD-A44008656-036-15-9:10,CPC017_HT29_6H:BRD-A44008656-036-15-9:10,CPC017_MCF7_6H:BRD-A44008656-036-15-9:10,CPD001_MCF7_6H:BRD-A44008656-036-19-1:10,CPC017_MCF7_24H:BRD-A44008656-036-15-9:10,CPD001_MCF7_24H:BRD-A44008656-036-19-1:10,CPC017_NPC_24H:BRD-A44008656-036-15-9:10,CPD001_PC3_24H:BRD-A44008656-036-19-1:10,CPC017_PHH_24H:BRD-A44008656-036-15-9:10,CPC017_SKB_24H:BRD-A44008656-036-15-9:10
5720,-0.15794724226,-0.666866660118,-0.503000020981,-2.41198658943,-1.12528789043,0.848114073277,-0.406830579042,-0.4386729002,0.0421018749475,0.0617241859436,0.0457931086421,1.42750549316,0.664127767086,-1.92890000343,-0.83100271225,1.15189993382,0.595850646496,0.342350006104,0.393199980259,0.177759796381,-1.20176959038,-0.233119383454,0.653416216373,1.27493727207,-0.21492049098,-0.0874125659466,-0.388785094023,-1.08645164967,-1.33606255054,0.706925034523,-0.420089453459,0.168993219733,-0.679284930229,0.854450941086,0.315924525261,-0.166900008917,0.655799984932
466,0.0659126192331,0.974733293056,-0.677266657352,-0.754510402679,-0.500695466995,-0.832763433456,0.698898017406,-0.197286099195,0.536649882793,-0.546608567238,0.259976327419,1.213758111,0.497119188309,-0.242199987173,-0.51578193903,-0.207849994302,-0.0103546231985,-0.239800006151,0.128849998116,0.973377525806,-0.00923728942871,-0.408464789391,-0.00997633486986,0.548757553101,0.2037422508,-0.766934394836,-0.0842599198222,-1.49316263199,-0.604008972645,0.687099993229,-0.263677030802,0.337079614401,0.473202437162,0.647307813168,0.195764482021,-0.720766723156,0.241150006652
6009,-0.526467204094,-0.410899996758,0.413966685534,-1.00558447838,-0.5829667449,0.375527888536,0.46109727025,1.01442909241,-1.02424037457,0.489961236715,-0.112969718874,1.77240562439,-0.276414722204,-0.0324000008404,-0.350718677044,0.498300015926,0.513414263725,0.726450026035,-0.790399968624,-0.364462435246,-0.330392807722,-0.990972459316,-0.490142256021,-1.04234027863,-0.0952967703342,0.629823446274,-2.27148914337,-1.13407254219,-1.39322710037,-0.132600009441,-1.04200899601,-0.100487761199,0.0417790412903,0.0836044549942,0.387679219246,-0.567600011826,-0.175400018692
2309,-0.643400907516,-0.828199982643,-0.44580000639,-0.69062268734,-0.578734457493,-1.14474403858,-0.0575777739286,1.24587762356,0.44074228406,-0.726264595985,-0.0974303781986,0.449745744467,-0.242622107267,0.0400999933481,0.337026804686,-0.0292999744415,-0.650376558304,-1.18365001678,0.633850038052,-0.931808769703,-0.923262238503,-0.588794827461,-0.482943415642,-0.604706406593,0.893734753132,-1.0716034174,0.318050801754,-0.750248968601,0.126742005348,0.185224995017,-0.838233292103,0.680952310562,-0.348193407059,0.593924045563,-1.00361812115,0.124133318663,1.68455004692
387,-0.0558835864067,0.437433362007,0.801699995995,-0.13386785984,-0.0429291948676,0.877676069736,0.294499278069,-0.589479982853,0.616489052773,0.575611591339,-0.174919009209,0.781394779682,0.17235095799,-0.280849993229,-0.53082036972,-0.201749995351,-0.0665997266769,-0.262149989605,-0.201649993658,-0.417351603508,-0.668296933174,-1.24437499046,-0.813686311245,-1.19387185574,-0.863310992718,-0.523799300194,-0.45694565773,-1.40590500832,-0.674188971519,0.0629500001669,-0.634710669518,0.574356257915,-0.353615820408,-0.431083470583,-0.342573463917,0.0503999814391,1.51970005035
3553,-0.459858953953,-0.947633385658,0.372400015593,0.0221829861403,0.209548518062,-0.15310280025,-0.756656527519,0.352063179016,-0.76991724968,-0.564817607403,-0.543276250362,-1.66702413559,-0.38084679842,0.268050014973,1.79719173908,-0.585999965668,-0.195890754461,0.13544999063,-0.400449991226,-0.083318464458,-0.290355682373,1.70045423508,0.421732485294,0.102707028389,0.2411146909,1.49267435074,-0.318593353033,2.64238786697,0.0554705858231,-0.548749983311,1.78907239437,0.150382861495,-0.342597305775,0.520797073841,0.779389560223,-0.0560666322708,0.119899995625
427,0.396387755871,0.3628000319,-0.501566648483,-0.545771062374,-0.590061903,-0.0124178975821,-0.0203256905079,0.133923843503,0.543487071991,0.005534902215,0.445698171854,-0.556872069836,0.0630601495504,0.836350023746,-0.111095100641,-1.23294997215,-0.0678023025393,-0.995100021362,-2.6859998703,-0.320639103651,0.842747688293,-0.316740691662,-0.855196893215,-0.540731728077,-0.187745958567,0.411265134811,-0.336250722408,-1.42224919796,0.567063331604,0.265699982643,-0.0541032142937,0.244575947523,-0.306036651134,-0.754751384258,-0.545751273632,0.143600016832,0.197499990463
5898,0.487692117691,0.240800023079,-0.749166727066,-1.11348569393,-0.376336097717,-0.968026936054,-0.340298205614,-0.345672905445,0.271977901459,-0.653337776661,-0.825106799603,-1.67127513885,0.216236755252,0.559800028801,0.811604142189,0.0164999961853,0.411685228348,-0.155149996281,0.0401499867439,1.08715450764,0.528883159161,-0.493873536587,0.629547119141,0.714822292328,-0.718354105949,-1.5251493454,-0.206716090441,-0.586124658585,0.0521507114172,-1.16522502899,0.164409250021,0.803105473518,0.258049249649,0.946745693684,0.838538885117,0.942766726017,-0.996899962425
23365,0.305272400379,0.600966691971,-0.186433345079,-0.499442219734,-0.832080841064,2.95222401619,0.35298037529,-0.58546769619,1.25196659565,0.259061843157,-0.371496528387,-0.141250550747,-0.501492142677,0.256850004196,0.571041941643,-0.263750016689,-0.0587145984173,-1.18575000763,0.280250012875,0.386194586754,0.11693996191,0.443673402071,0.615021407604,-0.173478275537,-0.0108514390886,-1.27813565731,-0.168788403273,-1.25474798679,-0.472413033247,-0.315024971962,1.48366379738,0.233354777098,0.86607670784,-0.12249750644,3.17961335182,-0.0523333251476,-0.384550005198
6657,-0.52002209425,-0.84066671133,-0.181466653943,0.04502171278,-0.0410926938057,0.435351073742,-0.717717885971,1.02586710453,-0.911719799042,-0.63410204649,-0.650212109089,-4.19080734253,-0.00480406731367,0.503700017929,1.68696892262,-0.305649995804,-0.653396308422,0.126100003719,-0.984300017357,-0.272119909525,0.640868246555,1.04140663147,0.158444434404,0.564601361752,-0.00778512470424,0.731134176254,-0.592260658741,1.05754935741,0.465901196003,-0.287550002337,1.31629145145,-0.642554819584,-0.592748999596,-0.314246326685,0.776112854481,0.606999993324,0.573549985886
