rid,CPC010_A375_6H:BRD-K28912512-001-18-2:10,CPC010_A549_6H:BRD-K28912512-001-18-2:10,CPC010_A549_24H:BRD-K28912512-001-18-2:10,CPC010_HA1E_6H:BRD-K28912512-001-18-2:10,CPC010_HCC515_6H:BRD-K28912512-001-18-2:10,CPC010_HEPG2_6H:BRD-K28912512-001-18-2:10,CPC010_HT29_6H:BRD-K28912512-001-18-2:10,CPC010_MCF7_6H:BRD-K28912512-001-18-2:10,CPC010_MCF7_24H:BRD-K28912512-001-18-2:10,CPC010_PC3_6H:BRD-K28912512-001-18-2:10,CPC010_PC3_24H:BRD-K28912512-001-18-2:10,CPC010_VCAP_6H:BRD-K28912512-001-18-2:10,CPC010_VCAP_24H:BRD-K28912512-001-18-2:10,CPD002_MCF7_24H:BRD-K28912512-001-16-6:10,CPD002_MCF7_6H:BRD-K28912512-001-16-6:10,CPD002_PC3_6H:BRD-K28912512-001-16-6:10,CPD002_PC3_24H:BRD-K28912512-001-16-6:10,NMH002_FIBRNPC_24H:BRD-K28912512-001-19-0:10,NMH002_FIBRNPC_6H:BRD-K28912512-001-19-0:10,NMH002_NEU_6H:BRD-K28912512-001-19-0:10,NMH002_NEU_24H:BRD-K28912512-001-19-0:10,NMH002_NPC_6H:BRD-K28912512-001-19-0:10,NMH002_NPC_24H:BRD-K28912512-001-19-0:10
5720,-0.125883102417,-1.29684996605,-0.180900007486,1.19569659233,0.57109439373,-0.241426169872,-0.430988848209,0.298551470041,0.143799185753,-1.09548532963,0.28616759181,-1.31098341942,-0.164772570133,-0.867439925671,-0.928722798824,-0.820864677429,1.16589999199,0.05462038517,-0.551566660404,1.14677619934,-0.479584395885,-1.23739266396,0.138665020466
466,-0.68889772892,-0.977399945259,-0.318349987268,0.493564665318,0.26654279232,0.455619424582,0.326967298985,-0.861946284771,0.325392514467,-2.17371296883,-0.933776974678,-0.492206633091,-0.397195100784,-0.846037328243,-0.397014677525,-0.334604591131,-0.888949990273,0.42684596777,-0.522800028324,-0.29631370306,-0.0226837322116,-0.504750490189,0.433568775654
6009,-0.854206264019,-0.438699960709,-0.220149993896,2.29934120178,0.365440189838,0.53761279583,-0.879795908928,0.701691031456,0.634373426437,0.412375360727,-0.287821650505,1.00400316715,-0.608072459698,-0.647033512592,-1.06075942516,-0.0447579622269,0.012099981308,0.481132686138,-0.729633390903,0.306864410639,-0.73361903429,-0.391068428755,-0.395661592484
2309,-1.13038134575,0.510100007057,0.165500000119,0.650367975235,-2.89288711548,-1.14639353752,-0.629088163376,-1.22168684006,-0.887055695057,-1.09375357628,1.96319639683,-2.14295601845,-0.475240916014,0.946414709091,-0.344202429056,-0.759877383709,2.42379999161,0.188047200441,0.18913333118,0.956453025341,0.496823608875,-0.335223168135,0.467025995255
387,-0.4560084939,1.20004999638,-1.11434996128,0.266749590635,-0.132552295923,-4.58749437332,-0.294488728046,0.700575947762,0.420920312405,-1.50496673584,1.15189135075,-1.30547976494,-0.205026358366,0.299545586109,-0.615066826344,-1.17626333237,2.42464995384,0.797064960003,-0.121733307838,0.942621648312,0.122279591858,-0.209001004696,0.645696997643
3553,0.551450312138,1.25244998932,1.10469996929,-1.39680695534,4.6376490593,0.00103616714478,-0.355246156454,0.493263632059,0.814848065376,-1.05762553215,-0.607380628586,0.65884321928,0.481104433537,-0.0897961705923,2.59088468552,0.233144387603,1.05619990826,-1.07720458508,0.63480001688,-0.0357758626342,0.861034274101,-0.00249898806214,-0.48682820797
427,-0.98517292738,1.18225002289,0.0676000118256,0.130413651466,0.44166713953,0.143864914775,0.57376229763,-0.0952745825052,-0.861413538456,0.440945416689,-0.82075548172,-0.0560678839684,-0.958545804024,-0.305289000273,0.757549643517,1.40924310684,-0.236050009727,0.584053516388,-0.314266681671,-0.285405188799,-1.18269777298,-0.680132865906,-0.425971090794
5898,-1.4412920475,-0.393850028515,-0.918499946594,-0.578803956509,-0.255816072226,-0.784778952599,-1.28409194946,-1.68233954906,-0.574702739716,-1.07361233234,-4.34643507004,-1.33240652084,-2.30163455009,-0.330677568913,-1.4963696003,-1.37590348721,-2.26564979553,-0.0109069496393,0.000866681337357,-0.38172262907,-4.03160095215,-0.0672546327114,0.55036252737
23365,-0.737531244755,1.81205010414,0.253950029612,-0.574549973011,-0.447321891785,-0.483282268047,-1.71048772335,1.08845090866,-0.844397842884,-0.316130012274,-0.759284734726,-0.222310066223,0.104715406895,0.410231947899,0.965741634369,0.721367895603,-1.25495004654,0.667165577412,0.0739333406091,1.26158261299,0.387109726667,1.8287024498,0.364324897528
6657,0.0290949679911,2.85804986954,0.0157499909401,-1.23959612846,1.53818953037,0.476720631123,0.117683008313,-0.85892778635,1.06175374985,2.25600075722,0.274562895298,1.22643792629,0.78289526701,-0.0374211966991,0.807189643383,1.76705312729,-0.272749990225,-0.738644242287,0.40980002284,0.739288032055,-3.36033511162,-0.535615205765,-0.0116369649768
