rid,CPC005_A375_6H:BRD-A55369275-003-01-2:10,CPC005_A375_24H:BRD-A55369275-003-01-2:10,CPC005_A549_6H:BRD-A55369275-003-01-2:10,CPC005_A549_24H:BRD-A55369275-003-01-2:10,CPC005_HA1E_6H:BRD-A55369275-003-01-2:10,CPC005_HA1E_24H:BRD-A55369275-003-01-2:10,CPC005_HCC515_6H:BRD-A55369275-003-01-2:10,CPC005_HT29_6H:BRD-A55369275-003-01-2:10,CPC005_HT29_24H:BRD-A55369275-003-01-2:10,CPC005_MCF7_24H:BRD-A55369275-003-01-2:10,CPC005_MCF7_6H:BRD-A55369275-003-01-2:10,CPC005_PC3_6H:BRD-A55369275-003-01-2:10,CPC005_PC3_24H:BRD-A55369275-003-01-2:10,CPC005_VCAP_6H:BRD-A55369275-003-01-2:10,CPC005_VCAP_24H:BRD-A55369275-003-01-2:10
5720,0.133183211088,0.51702195406,-0.177058249712,1.05024278164,-0.528299987316,0.401902526617,-0.203349992633,-2.34693717957,0.302055239677,-0.336189866066,0.361844241619,-0.0319783464074,-1.60323941708,-0.59145206213,0.676461338997
466,1.10026741028,-0.891861438751,-0.199464544654,0.106048882008,-1.30885004997,-0.225190132856,0.184599995613,-4.25819778442,1.26077711582,-0.122459612787,-0.177915841341,-0.372310161591,-0.190485104918,-0.505401849747,0.550789177418
6009,0.290385365486,-0.246060162783,0.623463988304,-0.663605451584,-0.20055000484,1.4475851059,-0.325800001621,-1.78050720692,0.826707363129,-0.18556047976,0.599515557289,1.27535176277,-0.607389509678,-0.374505341053,0.323293030262
2309,0.205606475472,-0.350130259991,-0.319429278374,-0.0599313825369,0.724400043488,0.353441268206,1.50169992447,4.11306476593,-0.771676421165,0.382966905832,-0.290935575962,-0.931918740273,-0.82581448555,-0.594518661499,0.190901353955
387,0.173967018723,0.0622635558248,-0.359299987555,0.890231728554,-0.71749997139,0.313426822424,-0.256850004196,-5.07633781433,-0.0538709275424,0.344796448946,1.19054436684,-0.631159365177,1.1324493885,-1.6317448616,0.285730600357
3553,-0.098561681807,-0.792842686176,0.226328417659,-1.21253681183,0.861599981785,-0.6348965168,0.571150004864,-0.254684209824,-1.09820270538,-0.647559642792,-0.962824821472,-0.000324940658174,0.424867719412,-0.151427224278,-1.4862793684
427,-0.40956607461,0.442863792181,-0.598349928856,-0.392628252506,-0.343050003052,0.277644306421,-0.765650033951,5.17638492584,0.166905388236,-0.311746656895,-0.132485568523,0.44603279233,-1.23683512211,-1.17650556564,-0.929805636406
5898,0.381857842207,-0.289816498756,0.306514143944,-0.92169958353,-0.524850010872,-0.398767352104,0.0899000018835,-4.87176465988,-0.707258343697,-0.119145967066,-0.0327213741839,0.576552629471,-0.396835684776,-0.46660888195,-0.255936205387
23365,-0.576570630074,-1.07239222527,-0.328130841255,-0.125507116318,0.295549988747,-0.304928719997,-0.630750000477,1.29861927032,-0.412296533585,0.318869829178,-0.281057953835,-1.89551711082,1.90681815147,-0.791531085968,-1.07122409344
6657,-0.33464461565,0.0264822654426,0.220277965069,-0.382633715868,0.372950017452,1.64647650719,1.06830000877,1.15017318726,-0.138289630413,-0.829343616962,-0.0218956507742,1.81761872768,1.21566283703,-0.402509957552,-0.878142118454
5054,-0.524303793907,-1.15374433994,-0.398572713137,0.541661679745,0.732100009918,0.619257628918,-0.340649992228,-0.575612485409,-0.262357860804,-0.242759108543,0.0943718776107,-0.356152176857,-0.171693429351,0.660633206367,-0.572915315628
3108,-0.222000494599,0.291965216398,-0.0308304131031,0.0591383129358,-0.533050000668,-1.34694933891,0.0963000208139,5.61446714401,-0.527297019958,0.660029232502,0.217268958688,-0.621848344803,0.0795991569757,-0.326980650425,-0.610722541809
