rid,DOS029_VCAP_24H:BRD-K90816807-001-01-8:5.04,DOS033_A375_24H:BRD-K90816807-001-01-8:5.04,DOS033_A549_24H:BRD-K90816807-001-01-8:5.04,DOS033_HT29_24H:BRD-K90816807-001-01-8:5.04,DOS033_MCF7_24H:BRD-K90816807-001-01-8:5.04,DOS033_PC3_24H:BRD-K90816807-001-01-8:5.04,MUC.CP002_MCF7_6H:BRD-K90816807-001-01-8:10.079,MUC.CP002_MCF7_6H:BRD-K90816807-001-01-8:3.3597,MUC.CP002_MCF7_6H:BRD-K90816807-001-01-8:1.1199,MUC.CP002_MCF7_6H:BRD-K90816807-001-01-8:0.3733,MUC.CP002_MCF7_24H:BRD-K90816807-001-01-8:10.079,MUC.CP002_MCF7_24H:BRD-K90816807-001-01-8:3.3597,MUC.CP002_MCF7_24H:BRD-K90816807-001-01-8:1.1199,MUC.CP002_MCF7_24H:BRD-K90816807-001-01-8:0.3733,MUC.CP002_NKDBA_24H:BRD-K90816807-001-01-8:10.079,MUC.CP002_NKDBA_24H:BRD-K90816807-001-01-8:3.3597,MUC.CP002_NKDBA_24H:BRD-K90816807-001-01-8:1.1199,MUC.CP002_NKDBA_24H:BRD-K90816807-001-01-8:0.3733
5720,0.147094428539,-0.929800450802,-0.499935865402,-0.915119230747,-1.02869069576,-0.982433438301,-0.750030755997,0.199966698885,-0.784644186497,0.130010545254,-0.773156285286,0.891000032425,0.0350038409233,4.0388007164,-0.577988624573,0.235897257924,0.134831532836,2.03231215477
466,-1.35838079453,0.418707758188,0.418655395508,0.0329399630427,-0.385827839375,0.436966657639,0.0121746510267,-0.0348666906357,0.197325408459,-0.107424378395,-0.447660565376,-0.412800014019,-0.0201352387667,-0.920947372913,0.279536426067,0.821959853172,0.57349050045,0.550730586052
6009,0.367360293865,-0.72138696909,1.11828637123,0.621750593185,0.0746873021126,0.781699955463,0.478868097067,1.16556668282,0.467358589172,0.0551766455173,0.383974611759,-0.640533328056,0.533942580223,0.427779704332,-1.3368999958,-0.405426859856,-0.484540045261,-0.860825419426
2309,1.44954395294,-1.22144734859,-0.4557543993,-0.0162184946239,-0.942494809628,0.228600010276,-0.590326011181,0.375633358955,0.7250213027,-0.422336101532,0.0275599360466,-0.575433373451,0.20413300395,-0.0557050146163,0.604828238487,0.26451843977,-0.163840711117,-0.726306259632
387,0.732557356358,0.180653199553,1.25091719627,1.23230969906,-0.629377126694,1.09886658192,-0.537384390831,0.077733322978,-0.643848896027,-0.279379844666,-0.12759205699,-0.00436666607857,1.02839612961,0.905836224556,-0.67368131876,-0.598862946033,-0.388379901648,-0.150944203138
3553,0.124686568975,1.07902264595,-0.700533211231,0.141547650099,1.89353764057,0.907033324242,0.708486497402,0.482233315706,-0.802581191063,-0.645890951157,-0.230957299471,-0.0634999573231,0.0978446751833,0.29591563344,-0.487266659737,-0.654764533043,-0.637310087681,-0.101663216949
427,-0.984857201576,0.460054993629,0.150869190693,0.0427267812192,-0.415198475122,0.0119000077248,1.30910861492,-0.26656666398,0.119182497263,1.24783587456,-0.430141329765,-0.136033326387,0.228199750185,-0.445093810558,0.583265781403,0.836377084255,0.5624153018,0.577865123749
5898,-1.31018102169,0.484321713448,0.408276677132,0.5216588974,-0.0108553469181,0.00256668031216,-0.297284662724,0.0689333230257,0.512228131294,-0.191501364112,-1.26706814766,-0.666400015354,-1.3600372076,-0.551900148392,-0.385731160641,0.660035252571,0.436548918486,-0.902584969997
23365,-0.183917701244,1.56166470051,-0.787750482559,1.62476670742,-0.206165656447,0.307866632938,-0.849073052406,-0.460299998522,-1.04916441441,-1.33779394627,-0.106918022037,0.560333311558,0.215406313539,-0.12729613483,0.61672013998,0.0996472015977,0.227597951889,-1.09565734863
6657,-0.0471105910838,0.896238267422,-1.39732420444,-0.461845934391,0.694613218307,0.0665332973003,0.720911800861,0.311833322048,0.211696356535,0.290467500687,-0.134627938271,0.0126332938671,-0.436941742897,-0.175333410501,-0.782534837723,-0.899089455605,-0.726177334785,-0.141444981098
5054,-0.0424163043499,0.709381401539,-0.00869649648666,1.07635378838,1.30826878548,0.27933332324,0.848989844322,1.17840003967,0.711026370525,0.46815186739,1.51123011112,0.756766676903,-0.146563112736,0.58850312233,-0.637021958828,0.509450316429,0.62166929245,-0.0987433940172
3108,0.968254566193,-0.213433489203,0.146194964647,0.837485134602,0.251637458801,0.197433307767,1.18233013153,0.600966691971,0.129126340151,0.975052833557,4.89499568939,-0.0338666662574,0.155148714781,0.213492333889,0.192318663001,-0.696663737297,1.77493131161,-0.141437202692
1950,-0.50305044651,-0.0290385261178,-1.46498882771,0.0983807146549,0.850188732147,-0.737133383751,2.78387618065,0.229699999094,0.467002779245,1.15777313709,-1.11338639259,0.643433332443,-0.330535233021,-0.046344190836,-0.541770100594,-0.305507093668,-0.494539260864,0.192322313786
351,-4.25819683075,0.465978175402,-1.25338482857,-0.359384089708,1.37143719196,-0.335233330727,0.8724219203,-0.0348999947309,0.0444496683776,0.768072903156,-1.56936454773,-0.648699998856,-1.10181212425,-0.295406848192,0.385056108236,0.571797251701,0.409845322371,0.273357868195
4846,0.640482187271,0.280445873737,-1.44819712639,-0.719380378723,0.0875429138541,-0.23789998889,-0.64637953043,0.558066666126,0.654509663582,-0.00958417914808,0.702281713486,0.403599977493,0.494317889214,-0.622970223427,-0.0461242385209,4.60604095459,-0.23380485177,0.692989110947
1452,0.491201490164,-0.11811824888,-0.286605000496,-0.680236637592,-1.14162242413,1.09526669979,-2.63564872742,-2.43730020523,-0.231100812554,0.138709664345,-0.971077919006,0.936766684055,-0.572267889977,-0.387866973877,0.079085111618,-0.0927091166377,-0.459744513035,-0.810085713863
4776,-0.633171498775,0.351400792599,-0.559294760227,0.0181315150112,2.46625256538,0.282733350992,1.13972842693,0.489766657352,-0.329242110252,-0.397958755493,-0.534576892853,0.27213332057,-0.585742712021,0.184977859259,-0.368020564318,-0.623466253281,-0.647730708122,1.79229998589
6908,0.129019141197,-0.781893193722,0.191943198442,-0.83404904604,-1.17966616154,-0.128800004721,-0.30376586318,0.16060000658,-0.554450213909,-0.484446853399,0.383278399706,-0.299700021744,0.792092740536,0.413477748632,-0.354403436184,0.0673082023859,0.160921022296,-0.773832798004
672,0.486973881721,-0.505746543407,-0.590398013592,-2.4007973671,0.94110250473,-0.112300008535,-0.713069021702,-0.328999996185,-0.363265097141,0.153557017446,0.118582308292,0.888300001621,0.328089028597,-0.550757288933,0.101484976709,1.26484107971,1.42496967316,0.771893620491
5710,1.1936776638,-0.357982039452,-4.88340568542,0.278458029032,-0.205166131258,-1.14860010147,-0.247688010335,0.500166654587,-0.289404660463,-0.44341096282,0.465873539448,-0.931333303452,0.595587015152,-0.299097210169,0.142874091864,0.16140602529,0.712326645851,-0.135828092694
2115,-1.10228705406,0.0333269797266,-0.375879228115,1.16427254677,0.24440997839,-0.0118000209332,0.710314035416,-0.339733302593,2.40151906013,0.109750300646,-0.144126087427,0.375433385372,-0.0752366781235,0.37296205759,-0.0154079049826,0.827711582184,-0.29643586278,-1.06224739552
7015,-0.664160847664,-0.644737064838,-0.0664537847042,-0.351674288511,0.643725514412,-0.432999968529,1.08566045761,0.50966668129,-0.178043484688,0.308717042208,-0.643770933151,0.400133341551,-0.531003892422,0.215412974358,-0.181996151805,-0.597636520863,-0.412373423576,0.179410457611
8726,-0.501801908016,0.04482261464,0.745413601398,1.37476813793,0.731370866299,-0.30816668272,0.105014786124,2.62066650391,0.122295290232,0.107514128089,0.230142816901,-0.0069333165884,-0.680278778076,-1.21459770203,-0.254506528378,0.0788478925824,-0.208586767316,0.163628429174
