rid,DOS003_VCAP_6H:BRD-K23992348-001-01-5:5.01,DOS003_VCAP_24H:BRD-K23992348-001-01-5:5.01,ERG011_VCAP_6H:BRD-K23992348-001-01-5:10.019,ERG011_VCAP_24H:BRD-K23992348-001-01-5:10.019
5720,-3.16619992256,0.569993376732,-1.01974999905,0.617536187172
466,-3.67184996605,0.359259575605,-0.292150020599,-0.0939839929342
6009,2.05089998245,1.776725173,1.18599998951,1.57063424587
2309,-4.3060503006,-0.694049119949,0.287400007248,0.0530371963978
387,1.78449988365,-0.378317773342,0.230900004506,1.44083344936
3553,0.941500008106,-0.168144792318,0.511250019073,-0.522222816944
427,1.55365002155,-0.637097001076,-0.657400012016,-0.46518984437
5898,-2.54305005074,0.0325005501509,-0.536400020123,0.854042053223
23365,1.76600003242,-1.60600435734,0.471899986267,0.896952092648
6657,2.58185005188,0.629117131233,0.616550028324,-0.808614552021
5054,1.60370004177,0.709644436836,0.173949986696,-0.471714496613
3108,1.1564000845,-0.793051958084,-0.289649993181,0.46452665329
1950,2.8532500267,0.561736166477,0.0905500054359,-0.46465626359
351,0.895699977875,0.0,0.337249994278,-1.26412177086
4846,3.61210012436,-0.319680869579,-0.630299985409,-0.246507585049
1452,-3.30690002441,-0.276298880577,-0.9769500494,0.721056520939
4776,2.25034999847,0.121465146542,0.470499962568,-0.759307146072
6908,4.44150018692,0.501020848751,0.0808500051498,1.25524711609
672,-1.68564987183,0.299858093262,-1.17785000801,0.148968443274
5710,1.3070499897,-0.854419767857,0.394050002098,0.505578815937
2115,-0.487549990416,-0.232880443335,0.226400002837,0.686849117279
7015,2.15599989891,0.0297722518444,0.697149991989,0.501518428326
8726,1.75659990311,-0.00230779498816,-0.075049996376,0.807522892952
2185,0.291500002146,-0.340819239616,0.849249958992,-0.441387891769
3315,2.00449991226,-0.692738294601,0.783250033855,-0.0538457036018
5289,1.33044993877,-0.314002335072,0.866449952126,0.86905670166
868,0.927100002766,0.283757030964,0.440549999475,-0.704890489578
1677,-0.405849993229,0.749093949795,0.463450014591,-1.10320687294
7043,2.5516500473,0.726226329803,-0.487499982119,-1.18760049343
5613,1.84030008316,0.0777210444212,-0.160799995065,-0.863156735897
595,-0.662349939346,-0.579684019089,0.273400008678,0.376514881849
4793,1.32895004749,-0.338526666164,-0.87944996357,0.452115684748
2736,1.54299998283,-0.351830631495,-0.253049999475,-0.580660700798
5290,1.15555000305,0.591601252556,0.859050035477,-0.433072954416
6194,0.0,0.0,0.0,0.000247599877184
1676,1.41474997997,0.599845051765,-0.0259499996901,-1.01407885551
23512,-3.38985013962,0.0937263220549,-0.702350020409,0.528573334217
148022,2.17389988899,0.562356352806,0.350899994373,1.0263749361
1906,-1.5569999218,-0.531970977783,0.103749990463,-1.24819755554
8878,0.937699973583,-0.12607857585,0.317750006914,0.621851146221
