rid,CPC018_A375_6H:BRD-A95696820-001-01-4:10,CPC018_A549_6H:BRD-A95696820-001-01-4:10,CPC018_A549_24H:BRD-A95696820-001-01-4:10,CPC018_ASC_24H:BRD-A95696820-001-01-4:10,CPC018_HEPG2_6H:BRD-A95696820-001-01-4:10,CPC018_HT29_6H:BRD-A95696820-001-01-4:10,CPC018_MCF7_6H:BRD-A95696820-001-01-4:10,CPC018_MCF7_24H:BRD-A95696820-001-01-4:10,CPC018_NPC_24H:BRD-A95696820-001-01-4:10,CPC018_PHH_24H:BRD-A95696820-001-01-4:10,CPC018_SKB_24H:BRD-A95696820-001-01-4:10,NMH002_FIBRNPC_24H:BRD-A81585303-001-01-1:10,NMH002_FIBRNPC_6H:BRD-A81585303-001-01-1:10,NMH002_NEU_6H:BRD-A81585303-001-01-1:10,NMH002_NEU_24H:BRD-A81585303-001-01-1:10,NMH002_NPC_6H:BRD-A81585303-001-01-1:10,NMH002_NPC_24H:BRD-A81585303-001-01-1:10
5720,-1.94336664677,0.166166186333,0.634350001812,0.103796690702,0.15735681355,-0.101904600859,0.819404840469,-1.43838655949,-1.52890491486,-0.467637568712,-0.89010310173,0.473847776651,0.0693686306477,0.665494740009,0.13520000875,1.05713915825,1.65335488319
466,-0.877822697163,-1.25181913376,0.768700003624,-1.29670917988,-2.31056380272,-2.83043766022,0.00346394628286,-0.648890435696,-0.115532293916,0.610923290253,-0.232897371054,0.811501860619,1.21417331696,0.482275784016,0.259266674519,1.00007629395,-0.498808830976
6009,-1.46514129639,0.0658822804689,-0.300249993801,-0.595976948738,-0.254395544529,0.158623129129,-0.393894135952,0.485409915447,0.0739179328084,-0.607799053192,0.690525829792,0.085838355124,0.673636555672,0.527248501778,0.294700026512,0.227284967899,-0.521406710148
2309,-0.394232660532,0.0847748965025,-0.539149999619,-0.808453440666,1.08167135715,-0.521923482418,-0.314744263887,-0.0283822380006,0.118502788246,-0.126765444875,0.425863564014,0.13539133966,-0.0181131958961,0.91163611412,0.558133363724,-0.763177752495,0.352829903364
387,-0.249438047409,0.581466794014,-1.28180003166,0.107899069786,-0.789153516293,0.75235003233,0.27506929636,1.71986365318,0.260421842337,-0.421656697989,1.3547976017,0.2628698349,-0.620828211308,0.795040369034,-0.886666715145,0.378163307905,-0.246670842171
3553,1.27762806416,0.576878964901,-0.252149999142,2.17031240463,1.12850999832,0.0812647566199,0.860981047153,0.366127997637,-0.0277640894055,0.125177547336,-0.415057122707,-1.09780752659,-0.520623862743,0.00875580310822,0.953999996185,-1.10895812511,0.160773843527
427,0.250697255135,-0.263514429331,-0.648550033569,-1.7186396122,0.169304892421,0.102493852377,0.441057085991,-0.350241988897,-0.317994713783,-0.716097593307,-0.160639211535,0.171701639891,0.674246013165,-0.03634859249,-0.697866678238,0.438082695007,-1.35823309422
5898,-0.896205186844,-0.887887358665,-0.129600003362,-0.410813748837,1.11183059216,0.589714050293,0.419907689095,0.593301653862,0.256303966045,-0.419641256332,0.0609134286642,0.419043034315,0.593169331551,-0.118823647499,-0.378300011158,0.136569067836,-1.12896192074
23365,0.587804317474,-0.320305228233,-0.538999974728,0.13576310873,0.624228537083,0.0796726047993,0.341823220253,0.752996563911,-0.108732044697,-0.941601097584,-0.146946445107,0.15214908123,0.19020447135,0.955813884735,-1.2582000494,-0.199802234769,0.154785975814
6657,0.0651047825813,0.670052230358,0.185750007629,0.107563316822,0.906041264534,2.01253700256,0.716256797314,-0.853479146957,0.487109273672,0.727951943874,-0.491729140282,-0.805012226105,-0.62279355526,0.721372306347,0.213666692376,0.513877630234,1.88850665092
5054,0.808016717434,-0.453939676285,0.364000022411,-1.45848917961,-1.16873586178,-0.604788541794,0.00540578365326,-0.0489665195346,0.457714498043,0.119471088052,1.12688374519,0.479254424572,0.0993288010359,-0.795938134193,-0.0461333319545,-0.0813753828406,0.411889493465
3108,0.709515035152,1.01184380054,-0.0206000059843,0.117338985205,-0.252876460552,-0.269663989544,-0.522399961948,0.49983510375,6.8755865097,-0.68318849802,-0.986319303513,0.762938320637,-0.0904309749603,0.0783393085003,0.0144666433334,-0.112258188426,-0.604595482349
1950,0.82798409462,0.255935609341,0.270250022411,1.59787964821,-0.376720458269,0.389437019825,-0.484337061644,-0.243658781052,0.264160066843,0.60411465168,-0.187156915665,-0.606391310692,-1.49591684341,-0.418302953243,1.32843327522,-0.402968347073,-0.300605267286
351,-0.174721106887,-1.03588187695,-0.558650016785,-1.24325764179,-0.0632181167603,-0.641004562378,0.859500110149,-0.579441130161,-1.15918660164,0.000623499101494,0.0820381492376,0.0329411625862,-0.144804477692,0.0627319514751,-0.151066675782,-0.891782283783,-1.81676483154
