rid,CPC003_HA1E_6H:BRD-K97564742-050-18-6:10,CPC003_HA1E_24H:BRD-K97564742-050-18-6:10,CPC003_HCC515_6H:BRD-K97564742-050-18-6:10,CPC003_HCC515_24H:BRD-K97564742-050-18-6:10,CPC003_PC3_6H:BRD-K97564742-050-18-6:10,CPC003_PC3_24H:BRD-K97564742-050-18-6:10,CPC003_VCAP_6H:BRD-K97564742-050-18-6:10,CPC003_VCAP_24H:BRD-K97564742-050-18-6:10,CPC015_A375_6H:BRD-K97564742-050-18-6:10,CPC015_A549_6H:BRD-K97564742-050-18-6:10,CPC015_A549_24H:BRD-K97564742-050-18-6:10,CPC015_ASC_24H:BRD-K97564742-050-18-6:10,CPC015_HEPG2_6H:BRD-K97564742-050-18-6:10,CPC015_HT29_6H:BRD-K97564742-050-18-6:10,CPC015_MCF7_6H:BRD-K97564742-050-18-6:10,CPC015_MCF7_24H:BRD-K97564742-050-18-6:10,CPC015_NPC_24H:BRD-K97564742-050-18-6:10,CPC015_PHH_24H:BRD-K97564742-050-18-6:10,CPC015_SKB_24H:BRD-K97564742-050-18-6:10,CPD001_MCF7_6H:BRD-K97564742-103-02-7:10,CPD001_MCF7_24H:BRD-K97564742-103-02-7:10,CPD001_PC3_24H:BRD-K97564742-103-02-7:10
5720,0.534250020981,-0.95057785511,-2.23334503174,-1.34396672249,-0.50086081028,0.169972240925,0.341993331909,-0.578450024128,0.0912836045027,1.18674993515,-0.848995804787,-0.758927822113,1.37279999256,0.659219861031,-0.250711858273,0.206610798836,-0.383825004101,-0.028599999845,0.317999988794,0.177027761936,1.53866970539,1.08319997787
466,-0.272249996662,-0.845916628838,-0.102329343557,-0.353966683149,-0.785472273827,0.0934180319309,0.542734563351,-0.430600017309,0.412324607372,0.625199973583,-0.605280578136,-0.1306104213,-0.771250009537,0.809292912483,0.291852623224,0.241119399667,0.0218499898911,-0.859600007534,-0.857200026512,-3.07292747498,-0.269540250301,-0.217600017786
6009,0.0,0.465802460909,-0.228619500995,-0.196566671133,-0.155720859766,1.14182209969,2.16305446625,-0.489250004292,-0.893262624741,0.08109998703,-0.879084587097,0.159339949489,0.0939000248909,0.791118502617,0.58328294754,0.116844281554,0.235624998808,0.505599975586,-0.321099996567,0.637147545815,1.9997856617,0.20966668427
2309,-0.0353499799967,-0.903908133507,-0.651035904884,0.561533331871,1.13137495518,-0.104911059141,0.234484910965,-0.012949988246,0.0271501392126,-0.178799986839,-0.615047693253,-1.06293356419,0.520150005817,-0.859417915344,-0.946782469749,-1.03888976574,0.146800011396,0.766550004482,0.00439999997616,0.286795854568,0.206134155393,-0.124433331192
387,-0.244800001383,-0.802104473114,0.346573740244,-0.603966653347,0.195739895105,0.549875020981,0.000174045562744,-0.419299989939,-0.933677315712,-1.0882999897,-0.723915398121,-0.142352193594,-0.740400016308,0.313965797424,-0.320602893829,-0.629127085209,-0.270424991846,-0.243500009179,-0.415549993515,-0.312087833881,1.05665040016,-0.156466662884
3553,-0.76960003376,0.373980849981,-1.74152076244,0.408933401108,-1.11670291424,-0.717383384705,-0.54376989603,-0.227650001645,0.0313507318497,0.128799974918,0.885665178299,1.83527159691,-0.147350013256,-0.138036355376,1.35788679123,0.234113246202,-0.0251749977469,-0.351400017738,0.335150003433,1.17209196091,0.295623064041,-0.198966667056
427,-1.24694991112,0.11047514528,-0.28930580616,-0.448633372784,1.29821908474,-0.281809478998,-0.128658801317,-0.157949984074,-0.309679150581,-0.0346000045538,-0.502759695053,2.29374027252,-0.0681999996305,0.237373515964,0.815316200256,-0.324337750673,-0.371124982834,-0.442149996758,0.785349965096,-0.777488708496,-0.994356870651,-0.928799986839
5898,0.0972000062466,-0.000528188887984,-0.899097502232,-0.0778333544731,-1.60059249401,0.434143960476,-0.136415988207,-0.0966500043869,0.545751035213,-0.154200002551,1.15108370781,0.202772557735,0.445749998093,0.110972195864,-1.07733142376,-0.365943580866,0.19077500701,-0.69344997406,-0.0409499965608,-0.239625319839,-3.25892567635,0.733800053596
23365,0.147049993277,-1.36979365349,0.472590506077,-0.624366760254,0.217126905918,-0.201544731855,-0.362137258053,0.271750003099,3.2126698494,-0.225300014019,0.920778214931,0.189905911684,-0.477850019932,0.441370546818,0.719759583473,-0.085437014699,-0.315000027418,-0.911300003529,-0.288949996233,0.401803195477,-0.768442511559,-0.462966680527
6657,-0.804949998856,1.06619524956,-0.446857959032,0.0443000048399,-0.296322762966,-0.72060084343,-0.964167118073,-0.607649981976,-0.157936707139,-0.368399977684,1.37515926361,-0.0210041031241,-0.544949948788,1.21324706078,0.841568171978,-0.174226149917,-0.418624997139,-0.337549984455,-0.370499998331,1.16133713722,-0.295219689608,-0.138166666031
