rid,DOS008_VCAP_6H:BRD-K14958998-001-01-0:5.05,DOS008_VCAP_24H:BRD-K14958998-001-01-0:5.05,DOS037_A549_24H:BRD-K14958998-001-01-0:5.05
5720,0.260453552008,0.727100968361,1.10949993134
466,0.12584669888,-0.650415182114,-0.113649994135
6009,0.25327527523,0.315371245146,0.5
2309,-0.249310880899,-0.0673702582717,0.505299985409
387,0.0388238355517,0.765253186226,0.209049999714
3553,0.289623439312,-1.68415093422,-1.43544995785
427,0.203507244587,0.383489072323,-1.28999996185
5898,0.663960814476,-0.81897598505,-1.29524993896
23365,0.336994767189,-0.331586867571,0.112199991941
6657,-0.137546107173,-1.02869129181,-2.25845003128
5054,-0.0894659310579,0.703810453415,-0.997750043869
3108,-0.597104430199,-0.19938775897,0.663999974728
1950,0.177589178085,-0.278184950352,-0.625550031662
351,0.672531247139,-0.119878329337,-0.160300001502
4846,-0.592614531517,0.267805874348,-1.31095004082
1452,0.398139804602,0.102534398437,0.368200004101
4776,1.02154111862,-0.339900314808,-1.30264997482
6908,-0.0545927286148,-0.507118105888,0.560450017452
672,0.321027517319,-0.21054597199,0.208000004292
5710,0.169677495956,-0.153222739697,-0.7988499403
2115,-0.606301546097,-0.576991677284,-0.185850024223
7015,-0.206038549542,-0.434039622545,-0.80814999342
8726,0.70623010397,0.0364928245544,1.7378000021
2185,-0.219364628196,-0.762296915054,-1.36319994926
3315,0.27513808012,-0.484136462212,0.00304999994114
5289,-0.528661131859,-1.44066786766,-1.23290002346
868,-2.28746175766,0.85127311945,-0.696150004864
1677,1.25012290478,-1.14188551903,0.0752999782562
7043,-0.247018009424,-0.861559927464,-1.62649989128
5613,-1.00795221329,-0.983321368694,-2.55439996719
595,0.755072414875,0.36611020565,0.518399953842
4793,-0.264214158058,-1.28364682198,1.06914997101
2736,-0.360954880714,-1.15402245522,-0.859200000763
5290,-0.407446801662,-0.973530471325,-1.30750000477
6194,0.0698320418596,0.0,0.00034999998752
1676,0.164978533983,-0.629486322403,-2.15549993515
23512,0.478009343147,0.274050563574,0.835500001907
148022,-0.491625249386,1.075507164,-0.361299991608
1906,0.447377979755,-0.267127871513,-0.623000025749
8878,0.782901763916,0.923991382122,0.762750029564
3091,-0.0106407888234,-1.12401628494,-0.234899997711
5743,0.612197637558,-1.25390100479,0.934249997139
5321,-0.477283149958,-0.231245577335,-5.32359981537
4144,1.05083394051,-0.01178355515,-0.108950003982
1981,-0.445742487907,0.10569088161,0.219899997115
695,-0.32638028264,0.116541191936,-0.191349998116
10398,0.263976216316,-0.0831364095211,-1.59364998341
5708,0.0861054360867,0.102713674307,0.813699960709
1213,-0.538706839085,-3.18085694313,0.69779998064
226,-0.011153228581,0.782213747501,-1.4821999073
6777,-0.336872339249,0.709063053131,0.32619997859
2113,-0.615746855736,-1.29566931725,-0.717199981213
3329,0.216283351183,0.986732959747,1.13529992104
1050,0.00832809507847,0.385164856911,0.283899992704
9491,0.0551151633263,-0.302220344543,-0.452950000763
