rid,ERG003_VCAP_6H:BRD-K74659851-001-01-7:10,ERG003_VCAP_6H:BRD-K74659851-001-01-7:30,ERG004_VCAP_6H:BRD-K74659851-001-01-7:10,ERG004_VCAP_6H:BRD-K74659851-001-01-7:30,ERG003_VCAP_24H:BRD-K74659851-001-01-7:10,ERG003_VCAP_24H:BRD-K74659851-001-01-7:30,ERG004_VCAP_24H:BRD-K74659851-001-01-7:10,ERG004_VCAP_24H:BRD-K74659851-001-01-7:30
5720,0.227549999952,1.06324994564,-0.828246295452,-0.121333584189,-0.709349989891,0.607649981976,0.157417446375,-0.890753090382
466,0.236000016332,0.365099996328,0.875715136528,0.383852958679,-0.315050005913,0.825299978256,0.395969510078,0.18602091074
6009,0.642599999905,0.774250030518,-0.192885428667,0.149594783783,-0.28795003891,-0.250050008297,0.665909588337,1.20357179642
2309,-0.402199983597,-0.123800002038,-0.271196842194,0.125163659453,0.0636999979615,-1.03375005722,0.459758579731,-1.05322444439
387,0.214149996638,0.0428500026464,0.314633190632,-0.0623557120562,-0.226949989796,-0.105199992657,-0.0546768307686,-1.54064464569
3553,0.0926999971271,-0.717899978161,0.339723467827,-0.21483720839,-1.11670005322,-0.807649970055,-0.0754881724715,-0.831764280796
427,-1.00304996967,0.475250005722,0.62940955162,-0.207664221525,0.519249975681,-0.307450026274,-0.592062830925,-0.568230032921
5898,0.677250027657,0.264750003815,-0.459571927786,0.165116801858,-0.906649947166,0.153850004077,-0.29798656702,-1.09100461006
23365,0.236249983311,1.08045005798,0.305434823036,0.130987137556,0.270249992609,-0.310250014067,-0.326437413692,-0.146952360868
6657,-0.445100009441,-0.140249982476,0.138959050179,-0.98004001379,-0.262950003147,0.0851000249386,1.05096328259,-0.26351338625
5054,0.832849979401,0.165600001812,0.301477491856,-0.462987273932,-0.867499947548,0.149950012565,0.0451726168394,0.0781950205564
3108,-0.287099987268,-0.358749985695,0.00228717923164,0.0539829209447,0.00785002112389,-0.795050024986,-1.6750651598,0.70948112011
1950,0.347299993038,0.524999976158,0.473504841328,-0.750959515572,-0.867299973965,-0.099849998951,-0.570921063423,3.09247422218
351,-0.570150017738,0.204350009561,0.873182296753,-0.26713731885,0.0838500037789,-0.104999996722,-1.06051909924,-1.32524311543
4846,0.229049995542,-0.831900000572,0.421280026436,0.333011388779,-0.519749999046,-0.0156500041485,-0.105696581304,2.71046638489
1452,-0.758800029755,-0.301250010729,-0.876954495907,-0.577506363392,-0.145249992609,-0.486349999905,-0.421284228563,0.954713225365
4776,-0.834450006485,-2.06580018997,-0.232654377818,-0.409400343895,-0.500999987125,-0.523150026798,-0.477984815836,-0.568924605846
6908,-0.182050004601,-0.264400005341,0.644674241543,-0.012574499473,-0.493700027466,-0.226599991322,0.80344748497,-1.05216228962
672,-0.400700002909,0.142399996519,1.36167311668,0.694936096668,0.879899978638,0.506250023842,1.13328266144,-0.779899358749
5710,-0.0169000029564,0.898699998856,0.0833449214697,0.536237835884,-0.858000040054,-0.321449995041,0.0483462885022,0.253175318241
2115,-1.2935500145,-0.0456500016153,0.390213191509,0.195663884282,0.958899974823,-0.584349989891,-0.130987256765,0.418120503426
7015,-0.371749997139,-0.38734999299,0.127690002322,-0.0915294885635,-1.24835002422,-1.39425003529,-0.0505624338984,0.307400614023
8726,0.503000020981,0.327850013971,0.498936295509,-0.266653448343,-0.237149983644,-0.0923499986529,0.0393609702587,-0.713999569416
2185,-0.525449991226,-0.251950025558,-1.61847937107,-0.844051778316,-0.152750015259,-0.426649987698,-0.779490053654,-0.0187086313963
3315,1.10905003548,0.740450024605,0.376158833504,0.190997838974,-0.0401499867439,0.627650022507,-0.420091509819,0.589075446129
5289,-0.701550006866,0.075049996376,-0.0801715478301,-0.196456730366,-0.192550003529,0.324950009584,-1.10691487789,-0.250103414059
868,0.0841500014067,-0.216999992728,-0.431422770023,-0.375434756279,-0.972000062466,-0.511749982834,-0.404622763395,-0.832801640034
1677,-1.25855004787,-0.383049994707,-0.432162970304,-0.205154106021,-0.411400020123,-0.349649995565,-0.978302419186,1.04346215725
7043,-0.962250053883,-0.901049971581,-0.107258677483,-0.402206867933,-1.01824998856,0.100050002337,0.181398928165,-0.907655000687
5613,1.22895002365,-0.387300014496,0.740249454975,-0.341429382563,-1.42809998989,1.73679995537,0.58836632967,1.6688696146
595,-0.412900030613,0.495550006628,0.994365870953,0.200842440128,-0.102499999106,-0.190499991179,-0.0230588428676,0.1571585536
4793,0.00984999537468,-0.676949977875,0.572353482246,0.577544808388,-0.416500002146,-0.694800019264,0.335126966238,0.275569528341
2736,0.997349977493,-0.647100031376,1.00494456291,-0.665773332119,-1.59275007248,0.608299970627,-0.901063382626,-0.0782938972116
5290,0.652400016785,-0.45269998908,-0.241108760238,-0.157684102654,0.505050003529,-0.164400011301,-0.294028699398,1.78471362591
6194,-1.10579991341,-0.637850046158,0.480253040791,-0.780811429024,-1.30155003071,-0.412400007248,-0.370008528233,0.914953529835
1676,-0.30220001936,0.819500029087,-0.0634224265814,-0.124433875084,0.00744999945164,-0.419299989939,-1.15643215179,-0.9351760149
23512,-0.778650045395,0.858399987221,0.251628726721,0.889678239822,1.00519990921,1.26660001278,0.104045212269,-0.91217571497
148022,-0.555999994278,-0.458249986172,0.245244145393,0.159186288714,-0.649500012398,0.25830000639,-0.0669682696462,1.38243877888
1906,-0.774749994278,-1.54500007629,-0.324927091599,0.0285971909761,-1.27684998512,-0.565850019455,0.654524564743,0.796736001968
8878,0.10244999826,0.446350008249,-1.08396875858,-0.901874125004,-0.782050013542,-0.182099997997,-0.898091852665,-0.318967670202
3091,0.442350000143,0.570999979973,0.428730726242,-0.0163515992463,0.151649996638,0.472749978304,0.365396291018,1.52314686775
