rid,DOS006_VCAP_6H:BRD-K91424547-001-02-3:5.01,DOS006_VCAP_24H:BRD-K91424547-001-02-3:5.01,DOS036_A549_24H:BRD-K91424547-001-02-3:5.01,ERG015_PC3_24H:BRD-K91424547-001-02-3:10.0261,ERG015_PC3_6H:BRD-K91424547-001-02-3:10.0261,ERG015_VCAP_24H:BRD-K91424547-001-02-3:10.0261,ERG015_VCAP_6H:BRD-K91424547-001-02-3:10.0261
5720,0.0111769679934,1.1679558754,1.02224993706,-3.30297756195,0.197800979018,-0.423231482506,-0.897457361221
466,-0.389100819826,-0.31430464983,0.13069999218,-2.06097865105,0.261530131102,-1.06248033047,-0.379105359316
6009,-0.494248330593,-0.231305763125,0.317900002003,1.93020379543,0.305015683174,-0.771920800209,-0.124717362225
2309,-0.468896657228,-3.74674582481,-0.18805000186,1.26598405838,-0.344270825386,-1.64385461807,-0.226570442319
387,-0.168880432844,-0.0605916343629,0.125,3.11189746857,-0.23621596396,0.0448026359081,-0.0710709989071
3553,0.887684106827,0.424562096596,-0.815050005913,0.821192979813,0.0411512926221,2.21189117432,1.6350903511
427,-0.0877629071474,0.914222836494,-0.638350009918,-1.61074924469,-0.959998130798,-0.0479165166616,0.110000774264
5898,-0.53058296442,0.952363848686,-1.04984998703,1.10254728794,-0.305996984243,-0.725490033627,-0.815556704998
23365,-0.651895463467,-0.586471915245,-4.4404501915,2.35710191727,0.786482751369,0.220235615969,-0.637933850288
6657,0.153200060129,0.457793265581,-0.577000021935,-0.331617087126,0.10021200031,0.804172575474,1.10375928879
5054,-0.291369318962,-0.385469019413,0.753949999809,-0.178584247828,0.381636053324,0.805504083633,-0.189901798964
3108,-0.967576026917,-0.130233496428,-0.278100013733,1.12710726261,-0.755220770836,-0.851808547974,0.819641232491
1950,-0.345964342356,-0.390442669392,-0.491549998522,-0.863761484623,0.0825764089823,0.00511549413204,1.06633687019
351,0.360275864601,-0.293894857168,0.242149993777,-1.23087644577,-0.617194533348,0.798255503178,0.122479140759
4846,0.00606923783198,0.310669898987,-0.0173999965191,-0.697408139706,-0.0117586255074,-0.353313684464,-0.985060334206
1452,0.640746831894,-0.233285069466,-0.51415002346,1.36400604248,-0.620949864388,0.242778748274,-0.867832660675
4776,0.218070849776,0.372386038303,-0.763249993324,-1.18969583511,0.0123491883278,1.27638983727,0.723632574081
6908,-0.755881786346,-0.35239264369,0.810199975967,-1.06410562992,-0.273418784142,-0.643151283264,-0.9816660285
672,-0.0797174274921,1.39313149452,0.0938500165939,-2.24325966835,-0.326268166304,0.290531396866,-0.4078784585
5710,-0.301918178797,1.13574206829,-0.719399988651,-0.0900588929653,0.69532006979,-0.407645940781,-1.13104486465
2115,-0.244596004486,-0.0696965903044,0.239099994302,-1.3910472393,-1.17022514343,0.915378689766,-0.278703391552
7015,-0.170691043139,0.658431887627,-0.0927000045776,-0.721657276154,0.100953541696,0.352837741375,0.253333747387
8726,-1.14861381054,-0.146713644266,-0.068599998951,1.70527565479,0.527691245079,0.0944555401802,-1.0250287056
2185,0.256530314684,0.700493693352,-0.266799986362,-0.143441021442,0.158554047346,1.52892827988,1.3178576231
3315,-0.484931051731,-0.133548647165,0.00200000009499,1.51133167744,0.385492444038,-0.979722440243,-0.578960418701
5289,-0.466843158007,0.724873244762,0.212549984455,-1.17107021809,0.512894868851,-0.67062485218,-0.479517161846
