rid,CVD001_HEPG2_6H:BRD-K55082668-001-01-8:9.9402,CVD001_HEPG2_6H:BRD-K55082668-001-01-8:2.4851,CVD001_HEPG2_24H:BRD-K55082668-001-01-8:9.9402,CVD001_HEPG2_24H:BRD-K55082668-001-01-8:2.4851,CVD001_HUH7_6H:BRD-K55082668-001-01-8:9.9402,CVD001_HUH7_6H:BRD-K55082668-001-01-8:2.4851,CVD001_HUH7_24H:BRD-K55082668-001-01-8:9.9402,CVD001_HUH7_24H:BRD-K55082668-001-01-8:2.4851,CVD001_PHH_6H:BRD-K55082668-001-01-8:9.9402,CVD001_PHH_6H:BRD-K55082668-001-01-8:2.4851,CVD001_PHH_24H:BRD-K55082668-001-01-8:9.9402,CVD001_PHH_24H:BRD-K55082668-001-01-8:2.4851,DOS023_VCAP_6H:BRD-K55082668-001-01-8:4.97,DOS023_VCAP_24H:BRD-K55082668-001-01-8:4.97,DOS052_A375_24H:BRD-K55082668-001-01-8:4.97,DOS052_A549_24H:BRD-K55082668-001-01-8:4.97,DOS052_HT29_24H:BRD-K55082668-001-01-8:4.97,DOS052_MCF7_24H:BRD-K55082668-001-01-8:4.97
5720,0.717897355556,-0.0676180422306,-1.96932554245,-1.1209821701,-0.210210874677,-0.111784823239,-0.163666248322,-0.198350518942,0.874614357948,0.740191221237,0.269474208355,0.0841387286782,-0.62650513649,-0.611699998379,-0.357100009918,0.258950024843,-1.15474998951,-0.721799969673
466,1.0194183588,0.340121716261,0.428560614586,0.0341409221292,-1.8830075264,-1.11443781853,-0.392828524113,0.257574021816,-0.857351064682,-0.985902786255,0.342833518982,-0.449306428432,-0.455313563347,1.79410004616,-0.379550039768,-2.79229998589,-0.615299999714,-0.370699971914
6009,1.25852310658,0.702076673508,1.10998618603,0.603877842426,1.51555216312,0.19830712676,0.75252187252,0.560973167419,0.31205201149,0.944252192974,1.60920381546,-0.0138527154922,-0.655213117599,1.06324994564,-1.97175002098,-0.874650001526,1.47599995136,0.189899995923
2309,1.71705186367,1.27763938904,0.839349627495,0.400130867958,-1.41479825974,-0.829210996628,0.605573058128,0.837370872498,-0.146947070956,0.161253675818,-2.41354942322,0.248986288905,-0.00692341476679,-0.119599997997,-1.68369996548,-0.537000000477,1.10714995861,0.00369998812675
387,0.53589630127,0.246587783098,0.686436414719,0.546298265457,-0.556001901627,-0.553123533726,-0.757083296776,0.451671391726,0.099819406867,0.50449359417,-0.191783264279,-0.140941292048,-0.241985961795,0.673900008202,-0.542499959469,-0.074599981308,-0.121999979019,-0.906100034714
3553,-0.043562233448,-0.1597468853,-0.115467108786,0.193473309278,0.955331087112,0.289136260748,0.242559790611,-0.359421551228,0.259322166443,-0.0834254622459,-0.934135615826,0.543063104153,0.0716133415699,0.239650011063,0.13124999404,1.72350001335,0.741750001907,0.420849978924
427,0.229628771544,-0.155545175076,-0.312854766846,1.59436178207,0.93939012289,1.0455545187,1.76601672173,1.12104618549,-0.0830036848783,0.515046358109,-0.478746831417,-0.289891600609,0.0312700867653,1.71235001087,0.0553499907255,0.801000058651,-0.503250002861,0.882600009441
5898,1.32584309578,0.827513933182,1.98283839226,1.20762825012,0.142048940063,-0.00263357162476,-0.324927896261,0.0340613871813,0.627811908722,0.0189856886864,1.95843148232,-0.00973184406757,-0.012149900198,-0.193450003862,-0.73884999752,0.220749974251,-0.282849997282,1.26294994354
23365,-0.286664456129,-0.646571218967,0.645080864429,0.546321630478,-0.57421785593,-0.339396238327,0.275330901146,1.19002747536,-0.270346671343,0.438539296389,0.157578200102,0.156617045403,0.299503922462,0.206800013781,0.395299971104,0.12175001204,0.562449991703,-0.0687000006437
6657,-0.61535602808,0.250675499439,-0.0284938812256,0.0381606966257,0.764560163021,0.861006975174,0.702187895775,-0.516601502895,0.698287189007,-0.720511198044,0.63441324234,0.70126760006,0.764170646667,0.0581499934196,0.690850019455,1.22699999809,0.579200029373,0.723599970341
