rid,CPC014_A375_6H:BRD-M72442222-001-01-0:10,CPC014_A549_6H:BRD-M72442222-001-01-0:10,CPC014_A549_24H:BRD-M72442222-001-01-0:10,CPC014_ASC_24H:BRD-M72442222-001-01-0:10,CPC014_HA1E_6H:BRD-M72442222-001-01-0:10,CPC014_HCC515_6H:BRD-M72442222-001-01-0:10,CPC014_HEPG2_6H:BRD-M72442222-001-01-0:10,CPC014_HT29_6H:BRD-M72442222-001-01-0:10,CPC014_MCF7_6H:BRD-M72442222-001-01-0:10,CPC014_MCF7_24H:BRD-M72442222-001-01-0:10,CPC014_NEU_24H:BRD-M72442222-001-01-0:10,CPC014_NPC_24H:BRD-M72442222-001-01-0:10,CPC014_PC3_6H:BRD-M72442222-001-01-0:10,CPC014_PC3_24H:BRD-M72442222-001-01-0:10,CPC014_PHH_24H:BRD-M72442222-001-01-0:10,CPC014_SKB_24H:BRD-M72442222-001-01-0:10,CPC014_VCAP_6H:BRD-M72442222-001-01-0:10
5720,-0.480329692364,-2.16908478737,-0.868788301945,-0.28334274888,0.0783506035805,-1.00674033165,-0.37014490366,-1.4130614996,0.126801609993,-0.849423587322,-0.187799990177,-0.585465073586,-1.44985496998,-0.615585148335,-0.113279789686,-0.241176813841,-0.63583534956
466,0.199610620737,-1.77797710896,-0.250898987055,1.11623299122,-1.47798657417,0.26626855135,-1.32620215416,-0.834942758083,-1.68749284744,-1.8737142086,0.347050011158,-0.0420181900263,-0.801713764668,-0.776617527008,-0.676705420017,0.109827876091,-2.83264923096
6009,0.353812307119,0.404089391232,-0.484281301498,-0.14975759387,0.423149645329,0.674572110176,-0.556058049202,3.48363351822,-0.490742385387,-0.016144990921,0.809599995613,-0.433551222086,0.278427630663,-0.558002531528,-0.639315247536,-0.365415841341,1.21639657021
2309,-0.499381840229,0.77622616291,4.34192228317,0.14367878437,-0.346133053303,1.1584533453,-1.14391839504,-0.0969012528658,-0.112262032926,0.315739691257,-0.292299985886,-0.230242013931,-0.482795208693,3.10600042343,0.199855878949,-0.138513579965,0.159261837602
387,-0.181500375271,2.1769349575,2.28931593895,-0.182445585728,0.251674473286,0.954340338707,-1.34925556183,2.28780388832,-0.0983469113708,0.137867435813,-0.651499986649,-0.474892199039,1.03379893303,2.09934067726,-0.653971672058,-0.239254772663,2.18266630173
3553,-0.767977774143,0.822243392467,-0.71182012558,-0.462294399738,-0.0597315207124,-0.646007299423,-0.336154788733,0.0311818178743,0.48244586587,1.18184745312,-1.17900002003,0.449863016605,0.34542453289,-1.49612307549,0.0824694037437,0.241157099605,-0.518108248711
427,-1.09554564953,-0.343268036842,-0.964728951454,0.0171959102154,0.0718908011913,-0.945063829422,-0.652471423149,-1.54264712334,-1.05723452568,-0.114158451557,-0.866199970245,1.16522431374,0.439263194799,-0.506271839142,-0.676787793636,0.846468031406,-1.30854380131
5898,0.225222691894,-1.41801798344,0.594793081284,0.157149106264,-0.433391720057,-2.215487957,0.560360074043,-0.218567639589,-0.314585149288,-0.374142348766,-1.00639998913,-0.804181933403,0.622352659702,-0.110324800014,-0.218061208725,-0.931448996067,0.472614377737
23365,-0.152223020792,2.75268983841,0.568799614906,0.220574349165,-0.295820951462,-0.330380439758,0.544714927673,0.764636278152,0.39561188221,0.880391001701,-0.627250015736,-0.207389652729,0.141125351191,0.621219038963,0.0114507377148,-0.0153748840094,0.117466077209
6657,-0.474570095539,-0.0918604284525,-0.689963459969,-0.353062212467,0.0760747790337,1.14006817341,0.10812240839,-0.0475088208914,0.851976275444,1.25340294838,1.13429999352,-0.419052302837,0.93475663662,0.409602373838,-0.171937376261,1.13834023476,-0.137885868549
