rid,DOS058_A375_24H:BRD-K75964506-019-01-1:5,DOS058_A549_24H:BRD-K75964506-019-01-1:5,DOS058_PC3_24H:BRD-K75964506-019-01-1:5,ERG012_PC3_24H:BRD-K75964506-019-01-1:10.0531,ERG012_PC3_6H:BRD-K75964506-019-01-1:10.0531,ERG017_VCAP_24H:BRD-K75964506:10.05,ERG017_VCAP_24H:BRD-K75964506:3.35,ERG017_VCAP_24H:BRD-K75964506:1.12,ERG017_VCAP_24H:BRD-K75964506:0.37,ERG012_VCAP_24H:BRD-K75964506-019-01-1:10.0531,ERG012_VCAP_6H:BRD-K75964506-019-01-1:10.0531
5720,-0.763650000095,-1.11494994164,-2.0827498436,-0.300335764885,0.479702234268,-0.300103664398,-0.114023424685,-0.161625802517,-0.353663682938,-0.902466773987,0.225673764944
466,0.912299990654,-0.0956500172615,-1.17190003395,-0.234685838223,-0.445552587509,-1.81844949722,-1.7687485218,-2.77074575424,-1.84332895279,0.849018633366,0.121617138386
6009,-0.398500025272,-0.677749991417,-1.05425000191,1.00445795059,0.100343286991,-1.05078625679,-0.679887592793,-0.774177014828,-0.403221309185,0.326166152954,0.640133798122
2309,0.735800027847,-0.135250002146,-0.750400006771,-0.461633861065,-1.07387411594,0.235347419977,0.05334944278,0.249826341867,-0.91563129425,0.264317572117,-0.834018826485
387,0.853500008583,-0.0169500112534,-0.860400021076,-0.0668109878898,-1.08938169479,-0.449021905661,-0.229342162609,-0.707618176937,-0.713111102581,0.093031167984,-1.06255078316
3553,-0.460399985313,1.17925000191,0.799950003624,0.251512527466,-0.392818003893,1.81356036663,0.39879655838,0.581480264664,0.608422517776,-0.810985028744,0.48439347744
427,-0.538800001144,0.849600017071,0.949450016022,0.603252887726,0.0158663913608,-1.05614721775,-0.405192792416,-1.4714474678,-0.753121316433,0.88633787632,-0.191430747509
5898,-1.20305001736,0.141450002789,0.251950025558,-0.353339701891,-2.15045118332,-0.893898069859,-0.728054881096,-1.55043649673,-1.25890862942,0.293645828962,0.912891566753
23365,-0.293799996376,1.15374994278,0.950600028038,-0.870658755302,-0.737736344337,0.527471721172,0.143412023783,-0.787833213806,0.0637130141258,-0.193835601211,-0.478830307722
6657,-0.89335000515,0.403899997473,0.717450022697,-0.750744462013,1.50347971916,1.49261057377,0.962408781052,0.888830542564,0.56013327837,0.40030002594,0.122305579484
