rid,CPC002_HA1E_6H:BRD-K69195780-004-03-5:10,CPC002_HA1E_24H:BRD-K69195780-004-03-5:10,CPC002_HCC515_6H:BRD-K69195780-004-03-5:10,CPC002_HCC515_24H:BRD-K69195780-004-03-5:10,CPC002_PC3_6H:BRD-K69195780-004-03-5:10,CPC002_PC3_24H:BRD-K69195780-004-03-5:10,CPC002_VCAP_6H:BRD-K69195780-004-03-5:10,CPC002_VCAP_24H:BRD-K69195780-004-03-5:10,CPC018_A375_6H:BRD-K69195780-001-01-5:10,CPC018_A549_6H:BRD-K69195780-001-01-5:10,CPC018_ASC_24H:BRD-K69195780-001-01-5:10,CPC018_HEPG2_6H:BRD-K69195780-001-01-5:10,CPC018_HT29_6H:BRD-K69195780-001-01-5:10,CPC018_MCF7_6H:BRD-K69195780-001-01-5:10,CPC018_MCF7_24H:BRD-K69195780-001-01-5:10,CPC018_NPC_24H:BRD-K69195780-001-01-5:10,CPC018_PHH_24H:BRD-K69195780-001-01-5:10
5720,-1.35928893089,0.205403804779,-4.2112197876,-0.323641359806,-0.371389389038,0.352414876223,0.560231506824,0.0815155059099,0.332543432713,0.165182262659,3.66240000725,0.763892114162,-0.764629721642,-0.0517333298922,-0.200670987368,-0.53024995327,6.46979999542
466,-1.08534145355,-0.135010927916,-4.134724617,-0.481868326664,0.0675103440881,0.0657588988543,0.746472239494,0.433297872543,0.645830154419,0.760854482651,2.20020008087,1.09632146358,-0.753403842449,0.603599965572,0.40047287941,0.357053041458,4.49650001526
6009,0.684782266617,0.508559703827,0.34484142065,0.428101480007,-0.0679235085845,-0.189146667719,0.463567197323,-0.118704751134,-0.173645764589,-0.992178797722,-9.70829963684,0.496341794729,-1.02317345142,0.110233344138,-0.17069619894,-3.77843213081,-5.42350006104
2309,0.0322331190109,0.855768322945,-0.076829560101,-1.69163870811,-0.351012378931,-0.464151084423,0.241759061813,0.28834310174,0.0826061591506,-1.05611085892,-0.993399977684,-1.53531980515,-0.280709177256,0.272299975157,-0.251785695553,-0.253578037024,5.36210012436
387,-1.0392844677,0.464861392975,3.22210907936,0.0777465850115,-0.379843235016,-0.114914223552,0.0377666503191,0.224416434765,0.147116065025,-0.786599397659,-1.89579999447,-0.0775306969881,-0.412850856781,0.0401333421469,0.714121580124,-2.30138874054,5.56839990616
3553,0.168410897255,0.0881508588791,1.92519557476,0.180886074901,0.404563874006,0.0455941557884,0.39733889699,-0.77661460638,-0.801332890987,0.968364417553,10.0,0.215005084872,1.06725811958,0.664533376694,-0.834033310413,-1.19633615017,0.655399978161
427,-0.303716063499,-0.843685507774,1.64662837982,-1.36331105232,1.09337210655,0.114554874599,-0.324283778667,-0.330657452345,0.539597034454,0.73038071394,-0.161899998784,-0.385234326124,0.0612438619137,0.432733297348,0.339022815228,8.92168617249,7.66610002518
5898,-0.53549259901,0.22669968009,-1.50083076954,-1.03837347031,-0.668838918209,0.200230941176,0.91388630867,0.346591085196,-0.434431791306,-0.379640728235,1.3098000288,-0.0415330976248,-0.505184054375,0.136200010777,-0.341744482517,4.10656929016,0.150600001216
23365,-0.30492824316,-0.402329385281,2.17171549797,-0.044199552387,-0.767686605453,0.970017254353,1.07417654991,0.194086134434,-0.106385052204,-0.899391889572,4.21150016785,1.0481069088,-0.275603175163,0.13480001688,2.17204356194,0.713413119316,1.51339995861
6657,0.534936666489,0.348274350166,1.38869464397,-0.0177443921566,0.713817238808,-0.10893471539,1.11547827721,-0.763895213604,0.28530690074,0.799924135208,10.0,-0.108749113977,1.16716873646,-0.673433363438,-0.772674441338,0.0396694689989,9.46730041504
