rid,DOS026_VCAP_6H:BRD-K15230829-001-01-8:5,DOS026_VCAP_24H:BRD-K15230829-001-01-8:5,DOS048_A375_24H:BRD-K15230829-001-01-8:5,DOS048_A549_24H:BRD-K15230829-001-01-8:5,MUC.CP005_MCF7_6H:BRD-K15230829-001-01-8:9.995,MUC.CP005_MCF7_6H:BRD-K15230829-001-01-8:3.3317,MUC.CP005_MCF7_6H:BRD-K15230829-001-01-8:1.1106,MUC.CP005_MCF7_6H:BRD-K15230829-001-01-8:0.3702,MUC.CP005_MCF7_24H:BRD-K15230829-001-01-8:9.995,MUC.CP005_MCF7_24H:BRD-K15230829-001-01-8:3.3317,MUC.CP005_MCF7_24H:BRD-K15230829-001-01-8:1.1106,MUC.CP005_MCF7_24H:BRD-K15230829-001-01-8:0.3702
5720,-0.0644618719816,-0.194582074881,0.233800023794,-0.315223187208,6.00837945938,-0.468956887722,-0.921000003815,-0.92027759552,-0.266505539417,-0.586603343487,-0.0695099085569,0.303238928318
466,0.107569009066,0.979490995407,1.54054999352,0.537338256836,5.46505212784,0.531356930733,-0.203350007534,0.0554504692554,0.622174263,-0.00097830966115,0.786973416805,1.24674105644
6009,0.373704195023,-0.51229172945,0.376399993896,0.0441023781896,-5.83513832092,1.55855488777,-0.463750004768,-1.15317499638,-0.467922359705,0.0423074439168,0.507525026798,-0.197400912642
2309,0.262055695057,-0.966182649136,0.580399990082,0.476046651602,-1.98444056511,0.567911565304,0.095400005579,0.0538598895073,-0.598797082901,-0.919554829597,-0.53298586607,0.327859759331
387,0.335853725672,-1.42097747326,-1.71584999561,0.377623081207,0.739157795906,0.967373013496,0.773999989033,-0.163591921329,-1.05242848396,0.0671619474888,0.680046260357,0.506146550179
3553,0.140891179442,-0.295447200537,-0.310950011015,-0.216658353806,6.24059963226,-1.03329634666,-0.672299981117,-0.490024328232,0.397068709135,0.669152379036,-0.673709690571,-0.620152711868
427,-1.38752150536,0.61096650362,1.60879993439,0.563239812851,0.578341960907,1.4339966774,0.162650004029,-0.42201936245,0.357682257891,-0.0977388322353,0.293633490801,0.16420455277
5898,-0.0423624999821,-0.019372522831,-0.156550019979,0.215578615665,-6.00208187103,0.0598185919225,0.248950004578,0.586484849453,0.868246912956,0.155769139528,0.588873744011,0.497938960791
23365,-1.28183364868,0.657836973667,-0.0647999942303,-0.0989827662706,2.95190429688,-0.43064686656,0.298950016499,0.636225044727,-0.50259578228,-0.480902373791,-0.113575294614,0.694890022278
6657,-0.648818731308,-0.45703715086,-1.37520003319,-0.469455242157,5.80487728119,-0.531837582588,-0.374450027943,0.726966142654,0.661693155766,1.01378691196,-0.825876176357,-1.55656385422
