rid,CPC012_A375_6H:BRD-K29003210-001-06-9:10,CPC012_A549_6H:BRD-K29003210-001-06-9:10,CPC012_A549_24H:BRD-K29003210-001-06-9:10,CPC012_ASC_24H:BRD-K29003210-001-06-9:10,CPC012_HA1E_6H:BRD-K29003210-001-06-9:10,CPC012_HCC515_6H:BRD-K29003210-001-06-9:10,CPC012_HT29_6H:BRD-K29003210-001-06-9:10,CPC012_MCF7_6H:BRD-K29003210-001-06-9:10,CPC012_MCF7_24H:BRD-K29003210-001-06-9:10,CPC012_NEU_24H:BRD-K29003210-001-06-9:10,CPC012_NPC_24H:BRD-K29003210-001-06-9:10,CPC012_PC3_6H:BRD-K29003210-001-06-9:10,CPC012_PC3_24H:BRD-K29003210-001-06-9:10,CPC012_PHH_24H:BRD-K29003210-001-06-9:10,CPC012_SKB_24H:BRD-K29003210-001-06-9:10,CPC012_VCAP_6H:BRD-K29003210-001-06-9:10,CPC012_VCAP_24H:BRD-K29003210-001-06-9:10
5720,-3.03785943985,-1.76409053802,0.625600039959,0.022963270545,-3.13227438927,0.101988688111,-1.10315966606,-1.54234695435,-0.822572350502,-0.942118406296,0.18214468658,-0.0375051051378,-3.2898607254,-0.613331973553,-0.063088208437,-0.194827660918,-0.537132263184
466,-0.64146900177,-1.74566435814,0.0243000090122,-0.879296064377,-0.446193009615,-0.147241994739,-0.98330360651,-1.40132880211,0.306726276875,-1.13097035885,-0.303811341524,-0.886603832245,-1.17361652851,0.915294647217,0.277166128159,0.0757183730602,-0.362316250801
6009,-3.05826926231,-0.296286821365,0.480199992657,0.79525822401,-1.60034894943,-0.839734435081,-0.258999854326,-0.345234453678,1.03798675537,0.435806632042,0.240326479077,0.856386601925,-0.253188729286,0.860524833202,0.633899986744,-0.0146005842835,-0.869280457497
2309,-2.03417801857,1.09822618961,-0.616549968719,0.135582283139,-3.15464448929,-0.202715560794,0.0829654112458,-0.145628541708,0.234788492322,-0.059969753027,-0.681996941566,-4.82288789749,2.70730900764,0.391567915678,0.0122184604406,0.219729274511,0.738436281681
387,-4.12607574463,-0.864643156528,-0.079150006175,1.82946121693,-2.92764186859,0.493788808584,0.426861286163,0.180533155799,-0.417678654194,-0.270860075951,-0.75315028429,0.262135058641,-1.93860960007,1.04999172688,-0.0179291293025,0.0804024189711,0.0660792291164
3553,2.01048183441,1.54407942295,-0.455700010061,2.93033432961,2.65760684013,-0.0786028951406,0.883647799492,0.680154800415,0.33696809411,-0.0715104341507,1.23754072189,-0.438440948725,-0.916408479214,-0.780619740486,0.15202100575,-0.387207329273,0.148406863213
427,0.591616809368,1.86105334759,-0.389550030231,-0.46422085166,0.31195923686,0.392301797867,1.79407143593,0.44932860136,2.06301689148,-0.186472266912,0.949919164181,2.08888959885,-0.141199231148,0.254312336445,0.217225521803,-0.417291611433,1.57564473152
5898,-0.407752007246,1.11019206047,-1.3831499815,0.863523900509,-0.199454307556,0.0823766589165,-0.939912617207,-0.494541108608,0.0746475830674,0.253728687763,0.401025831699,0.101875752211,0.988430976868,0.692033171654,-0.244413524866,-0.0462945066392,0.593404471874
23365,1.05111515522,0.317664444447,0.115049988031,-0.859577178955,-0.0533043257892,0.442531108856,0.369625329971,0.289362490177,0.0477635264397,0.105234578252,0.00509744882584,0.0267473682761,-0.145712971687,0.274554014206,0.877276718616,0.173380568624,0.218889147043
6657,-0.149311125278,1.72762668133,-0.813650012016,-0.760637462139,1.88250613213,-3.17248678207,0.762013912201,0.6119338274,0.337564229965,0.399145901203,-0.720358133316,1.64560186863,0.557286202908,-1.49590623379,-0.57498717308,-0.476226091385,0.0331379398704
5054,0.705164730549,0.115103274584,0.938699960709,1.9469794035,1.62266016006,-0.00273182988167,1.13082575798,2.52485394478,1.1660681963,-0.450557410717,-0.0590777099133,1.96045827866,-0.855873346329,1.51960778236,0.744312345982,-0.0412447080016,-0.0854483097792
3108,-3.78541207314,1.34056162834,0.0696000009775,-0.460790514946,1.66219353676,-0.00145027041435,-0.287412852049,0.224146068096,0.704528272152,4.93890571594,6.44265460968,-0.531283736229,0.484356880188,4.11540126801,2.6541352272,-0.988968253136,0.379115253687
1950,2.60732960701,1.77674388885,-0.431400001049,0.993100047112,0.907616019249,0.85663485527,0.861397743225,1.22223520279,0.872982442379,-0.122162371874,0.976327717304,0.0221528708935,0.35343259573,-1.04597568512,-0.370835036039,0.148027479649,0.751354813576
351,2.5448038578,0.714498996735,-1.05085003376,-2.70277786255,2.12526893616,-0.706080973148,0.0401984229684,-0.400011718273,0.90273475647,0.000129304200527,0.314576774836,-0.086116284132,1.22144627571,-0.62664192915,-1.10270380974,-0.363234221935,0.208057165146
4846,2.22870373726,0.174106448889,-0.590950012207,0.1034309268,1.98076868057,0.926741242409,1.00567126274,-0.302261769772,0.305178970098,-0.431032896042,-0.241155594587,0.102425694466,0.383623570204,-0.136562988162,0.784028589725,-0.466550022364,-0.357800424099
1452,0.647623896599,1.19208717346,0.693650007248,0.858567655087,0.514342367649,0.131481051445,0.605104267597,-0.398074805737,-0.193111166358,0.71070086956,-0.645460367203,-0.0459936261177,-0.911440253258,0.15442225337,0.79943138361,-0.273438930511,-0.395231574774
4776,3.53770685196,1.47636532784,-0.755100011826,-0.755188882351,1.42738223076,0.296521306038,1.37329638004,0.854167580605,0.430596023798,-0.215134173632,0.560706973076,0.192973315716,0.660505354404,2.79406285286,-1.29554724693,-0.394248574972,-0.0379518046975
6908,-2.45842003822,0.228119403124,0.542299985886,0.214276999235,-2.17024421692,-0.0759010314941,0.732452750206,0.107357472181,-0.627438545227,-0.246989935637,-0.749666810036,-0.694198131561,0.176394030452,1.33179116249,0.20713762939,0.365838497877,0.0175220072269
672,0.764570951462,-3.46829891205,0.24169999361,-1.20523548126,-0.630275785923,-0.470532894135,0.183978334069,0.867065370083,-0.793003320694,-0.522776246071,-1.26094281673,-0.521463215351,-1.51092100143,-0.537804305553,-0.446566224098,0.0337755791843,-2.33798933029
5710,0.488649278879,-2.07348966599,0.978599965572,1.69021511078,-0.0403291583061,-0.589072108269,0.298994630575,-0.235047414899,1.48129630089,-0.982394576073,-0.884066164494,-0.496598482132,1.55448007584,0.79849421978,1.09195744991,0.291700989008,0.758504927158
2115,-0.858580112457,-0.0937253534794,-0.946050047874,0.322513341904,0.533689975739,-0.586408853531,0.201650321484,0.545331001282,0.790897369385,2.56863570213,-0.134474232793,0.3806181252,-0.940396666527,-1.21374726295,2.24856734276,-0.520655751228,1.57546722889
7015,3.08518981934,0.346937984228,0.683150053024,-0.283508718014,2.98615789413,0.30796277523,0.904974281788,0.862181484699,0.40220451355,-0.459406167269,1.05400621891,-0.0875827670097,0.40109282732,-0.400174617767,0.336616486311,-0.209783062339,-0.246612131596
