rid,CPC004_A375_6H:BRD-K17075857-001-06-9:10,CPC004_HA1E_6H:BRD-K17075857-001-06-9:10,CPC004_HA1E_24H:BRD-K17075857-001-06-9:10,CPC004_HCC515_6H:BRD-K17075857-001-06-9:10,CPC004_HCC515_24H:BRD-K17075857-001-06-9:10,CPC004_HEPG2_6H:BRD-K17075857-001-06-9:10,CPC004_HT29_6H:BRD-K17075857-001-06-9:10,CPC004_MCF7_6H:BRD-K17075857-001-06-9:10,CPC004_PC3_6H:BRD-K17075857-001-06-9:10,CPC004_PC3_24H:BRD-K17075857-001-06-9:10,CPC004_VCAP_6H:BRD-K17075857-001-06-9:10,CPC004_VCAP_24H:BRD-K17075857-001-06-9:10,CPC016_A375_6H:BRD-K17075857-001-06-9:10,CPC016_A549_6H:BRD-K17075857-001-06-9:10,CPC016_A549_24H:BRD-K17075857-001-06-9:10,CPC016_ASC_24H:BRD-K17075857-001-06-9:10,CPC016_HEPG2_6H:BRD-K17075857-001-06-9:10,CPC016_HT29_6H:BRD-K17075857-001-06-9:10,CPC016_MCF7_6H:BRD-K17075857-001-06-9:10,CPC016_MCF7_24H:BRD-K17075857-001-06-9:10,CPC016_NEU_24H:BRD-K17075857-001-06-9:10,CPC016_NPC_24H:BRD-K17075857-001-06-9:10,CPC016_SKB_24H:BRD-K17075857-001-06-9:10,CPD001_MCF7_6H:BRD-K17075857-001-10-1:10,CPD001_MCF7_24H:BRD-K17075857-001-10-1:10,CPD001_PC3_24H:BRD-K17075857-001-10-1:10
5720,-0.406570315361,0.351059526205,-2.47638750076,-0.172325491905,0.648831963539,-0.95721411705,-0.236396238208,0.0234328210354,0.0201417393982,-0.114185191691,0.457970559597,0.547101974487,-0.614676356316,0.316100001335,0.491439551115,-0.282672047615,-2.39342331886,-0.98770070076,-0.904963850975,-0.146466329694,-2.55234289169,-0.277685761452,-0.502050638199,-0.97216117382,-0.147556722164,-0.0357234030962
466,-3.01524281502,0.25162217021,-1.17252552509,-0.904693484306,0.578149199486,-0.822851121426,-1.16560876369,-0.155649632215,-0.263568788767,0.0461417809129,-0.0400897674263,0.0219331532717,-1.01514291763,0.0974499881268,0.314345151186,0.892032563686,-2.53127145767,-0.993238449097,-0.066035553813,-0.160282582045,-1.22803139687,-0.350922763348,-0.790361046791,0.804154455662,-0.411554068327,0.521390676498
6009,0.0770152658224,0.827377676964,0.797256886959,0.778991520405,1.41861665249,0.111532784998,0.512214064598,1.3712195158,0.357266753912,0.0381857901812,-0.586481392384,1.0287668705,-0.259411603212,1.05760002136,0.347080051899,0.130342647433,0.179625853896,-0.63549888134,1.06993186474,0.0233658701181,0.0481866784394,1.08199620247,0.771510720253,0.0899791568518,-0.727790653706,-0.22439263761
2309,0.709452033043,-0.505946934223,0.889974534512,0.891925215721,1.11797821522,0.931925773621,1.8918145895,0.287658691406,0.983504056931,0.309293866158,-0.606280326843,0.0979434251785,2.04003882408,-0.497650027275,2.18774962425,0.121884927154,-2.01602244377,0.733496487141,0.378875374794,1.29054522514,0.846650362015,0.315122395754,0.584067344666,0.831994116306,1.08608222008,0.979589223862
387,-0.364624470472,-0.423701196909,-1.10132265091,0.102175340056,0.279263287783,-0.279700011015,-0.262763142586,0.464804440737,0.0648572966456,-0.204535022378,-0.609619617462,0.326766192913,-0.956212818623,-0.520400047302,1.60580039024,0.0533165186644,-1.93730080128,0.274691402912,-0.48911690712,0.889804840088,-1.47350347042,-0.796804130077,1.45888185501,-0.245732724667,-0.162210941315,-1.34999406338
3553,0.261823475361,0.711493909359,2.86628866196,-0.235626861453,1.29353308678,0.0847857743502,0.693299174309,0.270668506622,-1.45967054367,1.34060931206,0.225414931774,0.222216397524,0.248594090343,1.81015002728,-0.525579452515,0.244034290314,2.89310741425,0.7160166502,0.141698569059,0.00824567675591,0.187667459249,-0.800291657448,-0.440340340137,-0.779619812965,-0.0430045202374,2.74452161789
427,-0.22437864542,0.640238046646,-1.51269948483,-1.84827589989,-0.235615849495,0.475738525391,1.85586678982,-0.111356735229,0.542594790459,-0.429930329323,-0.0846588760614,1.03132629395,0.549248218536,-0.217000037432,0.0384656488895,0.0824565440416,-0.651740670204,0.1468308568,0.689512193203,0.486648410559,-0.24061717093,-0.970077514648,-0.632360816002,0.942097365856,-0.21038171649,-0.15147548914
5898,-0.760698676109,-0.155865550041,1.17726898193,0.176882892847,-0.0465120151639,-0.15146060288,0.607871890068,-0.0855278521776,-0.432336390018,0.0571823716164,0.441930860281,-0.740788400173,-0.865224719048,0.0881999731064,-0.427209705114,0.349627912045,0.33459213376,-0.929928541183,-0.309640258551,-0.95547491312,-0.718565821648,0.218267500401,2.50541400909,0.199445158243,-0.637593984604,0.141443103552
23365,-0.76588588953,-1.33200669289,1.20739221573,0.403837740421,-0.341619640589,-0.274740070105,-0.727118730545,-0.105528004467,0.259212493896,-0.111174851656,-0.107070341706,0.44945448637,0.280953526497,-0.148550003767,0.343078374863,-0.304804742336,-0.854540467262,0.38783711195,-0.611671924591,0.11415746063,-0.295961856842,0.0339651405811,-0.586334705353,-0.29273301363,-0.38085398078,-0.599816560745
6657,-0.287466824055,1.05864846706,-0.373480916023,-0.16187402606,-1.12315630913,1.08146929741,0.448853611946,-0.492691159248,-0.24728782475,0.0151515454054,-0.0171119049191,0.0203807651997,0.549814045429,0.462650001049,-0.682153105736,-0.903485238552,1.4005035162,0.777964711189,0.16447481513,0.372621566057,0.18816703558,1.0294624567,-0.420292139053,-0.577820956707,0.219767361879,0.07834020257
